 	tu	peux	partir	devant	je	t'	atteindrai	en	route	</S>
a23	0.435689	0.171776	0.103015	0.0835786	0.0797551	0.0520248	0.0246053	0.0140748	0.0152344	0.0202477
a85	0.418539	0.139112	0.100126	0.0766075	0.0669359	0.0469966	0.0233766	0.0243537	0.035744	0.0682089
a87	0.123455	0.0757845	0.0636474	0.0604376	0.0601178	0.0652525	0.0613152	0.0930441	0.152532	0.244413
a23	0.143279	0.107671	0.0853416	0.0586663	0.0520736	0.0475697	0.0455991	0.0838216	0.141555	0.234422
a97	0.113428	0.0627873	0.0451041	0.0257662	0.0201555	0.0240433	0.0345171	0.108348	0.199309	0.366542
a40	0.106639	0.0655794	0.0505364	0.032397	0.0279784	0.0334235	0.0395078	0.111772	0.199665	0.332501
a73	0.35911	0.180368	0.0717292	0.0348606	0.0259351	0.0222438	0.0241155	0.0578309	0.0905156	0.133291
a26	0.266423	0.254448	0.16789	0.0969419	0.0758186	0.0436102	0.0238641	0.0215256	0.0230298	0.0264494
a20	0.156379	0.181237	0.179785	0.153113	0.138877	0.0750807	0.0318762	0.025632	0.0276639	0.0303571
a30	0.165718	0.181973	0.155859	0.122668	0.121087	0.0823682	0.0488786	0.0400048	0.0404944	0.040949
a44	0.208318	0.208011	0.162515	0.128045	0.127468	0.0748379	0.036697	0.0196207	0.0173705	0.0171163
a26	0.20078	0.217957	0.164804	0.12098	0.119211	0.0726801	0.0398154	0.0226947	0.0205403	0.0205366
a20	0.137684	0.169202	0.166856	0.151111	0.151164	0.0912713	0.0452794	0.0282006	0.0278611	0.0313705
a69	0.148672	0.174903	0.182397	0.148025	0.134959	0.0810207	0.0500682	0.0282236	0.0252416	0.0264908
a4	0.140855	0.171024	0.18304	0.156558	0.146331	0.0839567	0.0461886	0.0265198	0.0223648	0.0231612
a57	0.0984167	0.121149	0.156197	0.16924	0.161212	0.105789	0.0622495	0.0426003	0.0391236	0.0440231
a53	0.0477411	0.0638268	0.121723	0.179009	0.188095	0.15189	0.0793652	0.0476394	0.0510359	0.0696744
a90	0.0567017	0.0648149	0.098023	0.151451	0.157329	0.128377	0.0883554	0.0718676	0.0768994	0.106181
a32	0.0648685	0.0700924	0.0949117	0.140179	0.144861	0.136012	0.0920356	0.0745888	0.0773197	0.105132
a90	0.0526744	0.045115	0.0583365	0.0977191	0.103847	0.14184	0.12033	0.108395	0.118087	0.153655
a57	0.0459512	0.0444088	0.0574728	0.0890471	0.100852	0.132368	0.120031	0.117998	0.127645	0.164226
a3	0.0456048	0.0394199	0.0503777	0.0879434	0.100851	0.152732	0.151797	0.124372	0.112076	0.134826
a87	0.0326625	0.0269679	0.0454173	0.083982	0.0969085	0.123513	0.150364	0.123222	0.131253	0.18571
a23	0.0355314	0.0346323	0.061061	0.0957653	0.0899891	0.0826649	0.101156	0.134163	0.149097	0.21594
a38	0.0240676	0.0172937	0.0317117	0.0604582	0.0547807	0.0547152	0.0551668	0.113621	0.191044	0.397141
a20	0.0246694	0.0225692	0.0285468	0.0481712	0.0547177	0.0664646	0.075628	0.126695	0.193447	0.359091
a0	0.0421511	0.03998	0.0528205	0.0874371	0.0921275	0.0896035	0.0825207	0.110844	0.154516	0.247999
a24	0.0327222	0.0331106	0.0404866	0.0648193	0.0713257	0.0812529	0.0883331	0.147332	0.182043	0.258575
a18	0.0138032	0.0111228	0.0153709	0.0270834	0.0326653	0.0509643	0.0796745	0.189318	0.252692	0.327305
a9	0.0142491	0.0111585	0.0147828	0.0190207	0.0212256	0.0335909	0.0558794	0.159903	0.261517	0.408674
a10	0.00421685	0.00381083	0.00805001	0.0168661	0.0229366	0.036233	0.0591787	0.146846	0.258903	0.442959
a20	0.00378578	0.00309065	0.00586792	0.0105307	0.0120885	0.0173251	0.0347613	0.122163	0.277476	0.512911
a73	0.00644645	0.00504599	0.00749302	0.0115534	0.0123183	0.0221551	0.0478902	0.138098	0.258012	0.490988
a35	0.00196877	0.00215949	0.004727	0.0103762	0.0126145	0.0229926	0.0454126	0.157925	0.27376	0.468064
a94	0.00279082	0.0024224	0.00432951	0.00739606	0.00819898	0.0163418	0.0494191	0.167682	0.27031	0.471109
a69	0.00139547	0.00126825	0.00287734	0.00536775	0.00562314	0.0115098	0.0306433	0.132823	0.279018	0.529473
a58	0.0025757	0.00181539	0.00326446	0.0054538	0.00507928	0.00949036	0.0244051	0.116952	0.262519	0.568444
a82	0.00167851	0.00105901	0.00197349	0.00331205	0.00332107	0.00697677	0.0213984	0.121655	0.282154	0.556472
a58	0.00228385	0.00104287	0.00156069	0.00321669	0.00358793	0.00770131	0.0262378	0.136606	0.286617	0.531146
a53	0.00249682	0.00106946	0.00137612	0.00305756	0.00391636	0.00772785	0.0244341	0.133675	0.29991	0.522337
a4	0.0040911	0.00157465	0.00191733	0.00401583	0.00433206	0.00763539	0.0173057	0.111232	0.292386	0.55551
a57	0.006508	0.00251385	0.00253317	0.00447486	0.00480103	0.00855285	0.0192231	0.115731	0.281612	0.55405
a3	0.0031328	0.00138921	0.00146217	0.00271332	0.00357927	0.00692482	0.0179028	0.113308	0.282737	0.566851
a87	0.0123303	0.00720691	0.00685655	0.00935807	0.0101264	0.017052	0.03463	0.154908	0.316346	0.431186
</S>	0.0261423	0.0146997	0.0103246	0.0123651	0.0106545	0.0183618	0.0346097	0.146699	0.269855	0.456288
