 	cet	homme	souffre	d'	une	infection	de	la	vessie	</S>
a87	0.155551	0.107738	0.0616953	0.068417	0.0886056	0.199495	0.25126	0.0468189	0.0130017	0.00741717
a23	0.491282	0.303899	0.080799	0.0224338	0.00995161	0.0132812	0.0219296	0.0186383	0.0165065	0.0212785
a87	0.269257	0.208466	0.125267	0.0665951	0.0504843	0.0493528	0.0504618	0.0279681	0.056562	0.0955854
a23	0.278085	0.185049	0.114754	0.0819039	0.0840889	0.0723571	0.0622996	0.0377529	0.039135	0.0445743
a87	0.34956	0.278121	0.137734	0.0617318	0.0455643	0.0309955	0.0201001	0.0163537	0.0254418	0.0343978
a23	0.234552	0.157001	0.104098	0.0603492	0.0540452	0.0544545	0.0699624	0.0739246	0.0990932	0.0925203
a87	0.339464	0.221573	0.0998166	0.0429598	0.0355382	0.0412851	0.0362484	0.0342668	0.0661149	0.0827325
a23	0.213007	0.141362	0.0915955	0.0549119	0.0490111	0.0600154	0.0775193	0.0806498	0.118488	0.11344
a83	0.263176	0.154252	0.0805039	0.0397857	0.0386787	0.0595217	0.0470994	0.051725	0.109847	0.155411
a18	0.391703	0.293033	0.134362	0.0429883	0.0245335	0.0287603	0.0112697	0.0109152	0.0417013	0.0207336
a54	0.347936	0.285265	0.15991	0.0632714	0.0395687	0.0357023	0.0178746	0.0116461	0.0258285	0.0129973
a30	0.248202	0.257513	0.161145	0.0834978	0.0525738	0.040405	0.0271078	0.0247493	0.064138	0.0406683
a41	0.213164	0.160322	0.0951732	0.0926043	0.0913221	0.123765	0.0885094	0.0435937	0.046795	0.0447519
a26	0.190065	0.165181	0.112208	0.123882	0.106694	0.132294	0.0803272	0.0299959	0.0283908	0.0309614
a31	0.0782919	0.0639064	0.0511483	0.0808411	0.112977	0.173827	0.122196	0.0720649	0.0856929	0.159055
a32	0.113241	0.112908	0.095353	0.123722	0.118684	0.201058	0.141995	0.0450449	0.0234602	0.0245342
a61	0.0670849	0.0607991	0.0596926	0.12053	0.150337	0.25745	0.173361	0.0555016	0.0225754	0.0326684
a75	0.0550701	0.0474635	0.0461878	0.103039	0.138032	0.257969	0.192317	0.0817207	0.0352205	0.0429813
a85	0.0959945	0.0775566	0.0615842	0.117284	0.145921	0.21782	0.138158	0.0508853	0.0419036	0.0528943
a37	0.0875581	0.084459	0.0730087	0.115374	0.135278	0.194385	0.1212	0.0581961	0.0626626	0.0678788
a66	0.0825055	0.0551323	0.0353528	0.0625331	0.093637	0.229544	0.173746	0.0782804	0.0841797	0.105089
a75	0.038437	0.0241999	0.0158734	0.0293419	0.0518164	0.175248	0.23744	0.144604	0.117925	0.165115
a47	0.0739568	0.0457567	0.0245496	0.0320055	0.0405622	0.111301	0.0983968	0.0851378	0.226706	0.261628
a37	0.0508139	0.0295485	0.0166106	0.0238034	0.0331886	0.107679	0.0883414	0.0972383	0.219141	0.333636
a5	0.063174	0.0370448	0.019499	0.0235276	0.0307303	0.0839535	0.092971	0.119963	0.235937	0.2932
a18	0.0704263	0.0360118	0.0177321	0.0251968	0.0324627	0.0815297	0.0701861	0.122262	0.28743	0.256763
a0	0.0151409	0.00795963	0.00467258	0.00866426	0.0156931	0.0481774	0.0609703	0.108705	0.386355	0.343662
a31	0.0117747	0.00561037	0.00265564	0.00434503	0.0070778	0.0231217	0.0351802	0.0937243	0.491897	0.324613
a88	0.00881157	0.00432241	0.00199685	0.00324431	0.00518391	0.0151907	0.022075	0.0774368	0.50873	0.353008
a9	0.00281339	0.0013752	0.000639358	0.00103959	0.00171223	0.00522795	0.0102423	0.0562709	0.471904	0.448775
a99	0.00564507	0.0037307	0.00169168	0.00163828	0.00170467	0.00536174	0.0109439	0.0574427	0.324618	0.587223
a87	0.0182808	0.00827843	0.00238501	0.00192457	0.00199383	0.00729682	0.0127505	0.0750465	0.261302	0.610742
a23	0.0633285	0.037543	0.0118116	0.0102071	0.0132926	0.0728801	0.0765793	0.142397	0.202698	0.369262
a38	0.0267256	0.0191653	0.00681687	0.0038673	0.00339893	0.0239691	0.0273006	0.0790712	0.272602	0.537083
a26	0.00621243	0.00300304	0.000924497	0.000862615	0.0011631	0.0133845	0.017748	0.0500603	0.311781	0.594861
</S>	0.00260412	0.0012118	0.000509135	0.000648874	0.00112707	0.0164217	0.0201982	0.0408909	0.250973	0.665416
