 	prenez	quelque	chose	pour	vous	en	servir	au	besoin	</S>
a85	0.319106	0.175348	0.146402	0.0876895	0.0517513	0.0408149	0.0267363	0.0404484	0.053029	0.0586751
a87	0.350662	0.148582	0.166287	0.102398	0.0479271	0.0308351	0.0261887	0.0291999	0.0410869	0.0568325
a23	0.200728	0.13384	0.178016	0.146296	0.0650571	0.0533877	0.0413665	0.0491872	0.0577276	0.0743948
a53	0.182166	0.0797914	0.0934554	0.0594158	0.0240478	0.023445	0.0297962	0.0735786	0.163012	0.271292
a4	0.389892	0.256979	0.200953	0.0615231	0.02511	0.0170907	0.0100322	0.00951574	0.0134275	0.0154764
a53	0.225722	0.254759	0.221664	0.139781	0.0719224	0.0376786	0.0177395	0.00931441	0.0100484	0.0113703
a20	0.136565	0.171828	0.214679	0.160814	0.0826992	0.0551508	0.0399551	0.03614	0.0468597	0.0553081
a73	0.121617	0.151679	0.213344	0.175752	0.0952741	0.0747731	0.0568647	0.0383455	0.0363135	0.0360375
a41	0.134829	0.144574	0.204394	0.193551	0.105307	0.0767058	0.0509262	0.0310932	0.0290029	0.0296165
a24	0.124343	0.126061	0.17418	0.188983	0.112035	0.091587	0.0649518	0.0437181	0.0373617	0.0367796
a41	0.108672	0.134112	0.181827	0.197027	0.122661	0.103218	0.0650381	0.0309726	0.0268817	0.0295902
a88	0.107261	0.136076	0.174584	0.213429	0.143443	0.101252	0.0512114	0.0227563	0.021329	0.0286585
a31	0.0776618	0.110195	0.138871	0.184438	0.140051	0.138338	0.0976324	0.04283	0.0320459	0.0379376
a21	0.083129	0.118359	0.122899	0.155412	0.127508	0.145039	0.125111	0.050909	0.0341496	0.0374835
a85	0.0859702	0.110096	0.126323	0.174571	0.135124	0.13673	0.105923	0.0450593	0.0359655	0.0442382
a73	0.0643625	0.0873594	0.121146	0.188673	0.156053	0.147401	0.085464	0.0462421	0.0435878	0.0597117
a2	0.0671203	0.0866523	0.108143	0.179261	0.144191	0.121502	0.0804575	0.0596236	0.0649564	0.0880924
a57	0.0273779	0.0383283	0.0569952	0.136307	0.152079	0.198716	0.142835	0.0857211	0.0733171	0.0883236
a87	0.0147955	0.0234077	0.0457016	0.109342	0.12912	0.187377	0.155873	0.110721	0.0984484	0.125214
a23	0.0256083	0.0340545	0.0563571	0.0785327	0.0923392	0.179048	0.145496	0.145906	0.116751	0.125906
a20	0.0228131	0.0205192	0.0357958	0.0686943	0.0888072	0.179173	0.163201	0.144848	0.119168	0.15698
a73	0.0208706	0.0249102	0.0297448	0.0323603	0.0289346	0.0425232	0.0517169	0.11384	0.24357	0.411529
a94	0.0309022	0.0580548	0.0739857	0.0964823	0.0902142	0.125998	0.099926	0.11309	0.13833	0.173017
a76	0.0356593	0.0526481	0.0522454	0.0735533	0.0739218	0.108845	0.115021	0.129483	0.159483	0.199141
a90	0.042823	0.0474986	0.0476287	0.0670568	0.0665682	0.0987879	0.0990955	0.133753	0.176902	0.219886
