 	les	danseurs	de	kyebé-kyebé	obtiennent	un	rythme	en	battant	la	main	sur	le	bras	gauche	plié	</S>
a66	0.0794751	0.0931193	0.101792	0.132554	0.136711	0.104384	0.0752273	0.0541007	0.0483924	0.0410229	0.0374058	0.0284879	0.0239158	0.0178001	0.0119069	0.00773487	0.0059702
a97	0.13634	0.11146	0.11862	0.182085	0.179437	0.0717996	0.0515044	0.0333788	0.0279283	0.0173901	0.0106342	0.00858107	0.00700881	0.00807225	0.00908875	0.011603	0.015069
a87	0.200806	0.183464	0.163674	0.161588	0.0815457	0.0390558	0.0368095	0.0272652	0.0264649	0.0155464	0.00935853	0.00762914	0.00624089	0.00668144	0.00713257	0.00928168	0.0174567
a10	0.16752	0.165281	0.155284	0.160028	0.0955912	0.0530119	0.0468912	0.0352805	0.031906	0.0157873	0.0112833	0.00882442	0.0070229	0.00821713	0.00871187	0.0119168	0.0174418
a87	0.151016	0.138254	0.136547	0.175066	0.101523	0.0484572	0.0512942	0.0362316	0.033694	0.0175597	0.0145945	0.012645	0.010652	0.0132076	0.0138937	0.0210926	0.0242713
a23	0.148025	0.132724	0.121841	0.155766	0.103791	0.0529943	0.0561984	0.0382739	0.0363066	0.0202938	0.016422	0.0146103	0.0127983	0.0166244	0.0169089	0.0258891	0.0305335
a87	0.140015	0.112411	0.120687	0.246649	0.0939539	0.0319231	0.0353052	0.0262352	0.0255384	0.0185262	0.0151543	0.0152522	0.0150857	0.0191204	0.0192901	0.0326984	0.0321553
a23	0.123023	0.0934573	0.111697	0.24671	0.0906397	0.0377812	0.0398655	0.0349446	0.0314037	0.0203157	0.0169683	0.0205422	0.0189088	0.0210415	0.0226266	0.0363845	0.03369
a97	0.125662	0.102452	0.104825	0.279216	0.0782228	0.0312607	0.0320644	0.021056	0.0189269	0.0158958	0.0151408	0.018494	0.0194885	0.022321	0.0225836	0.0455765	0.0468138
a38	0.111148	0.128649	0.11812	0.237226	0.0812875	0.0488904	0.0390286	0.0259295	0.0188116	0.0189223	0.0183397	0.0229021	0.021958	0.0204657	0.0197668	0.0343884	0.0341663
a43	0.163524	0.170268	0.13079	0.20439	0.0652383	0.0646342	0.0506648	0.0281078	0.0175828	0.0137771	0.0092496	0.0109607	0.0108874	0.0115661	0.0105531	0.0200072	0.0177993
a11	0.120809	0.112841	0.0887041	0.158693	0.0787399	0.0881983	0.0839403	0.0681809	0.0487515	0.0288862	0.0156829	0.0153198	0.0151678	0.016791	0.0153708	0.0260807	0.0178435
a21	0.0710532	0.0710224	0.0653988	0.10798	0.0851976	0.105599	0.103502	0.0982193	0.0763281	0.0425371	0.0258795	0.0248767	0.0238163	0.0251284	0.0224794	0.0307005	0.0202819
a47	0.0352647	0.0369078	0.0477784	0.106005	0.124061	0.136309	0.11641	0.12963	0.0999229	0.0449104	0.0304172	0.0241782	0.0205939	0.0156588	0.0115471	0.0127085	0.00769759
a88	0.0288832	0.029244	0.0492747	0.102227	0.101232	0.114592	0.111662	0.142054	0.112406	0.057648	0.0400431	0.0309906	0.0230337	0.017249	0.0153495	0.0146048	0.00950708
