 	les	champignons	mous	pourrissent	dans	la	forêt	car	ils	sont	incomestibles	</S>
a66	0.391986	0.236293	0.0711248	0.0441922	0.0529384	0.0495743	0.0473151	0.0516645	0.0260814	0.0140164	0.00947995	0.00533425
a87	0.359685	0.105451	0.0459912	0.0107506	0.035773	0.0442346	0.0429957	0.0591058	0.0496237	0.0691231	0.100726	0.0765406
a23	0.318385	0.205889	0.0535064	0.0339111	0.0423835	0.0387147	0.0460666	0.0547743	0.0374652	0.046671	0.0504423	0.0717908
a40	0.230909	0.158196	0.0732512	0.0558828	0.0719271	0.069689	0.0648964	0.0763796	0.0429442	0.0489954	0.0432933	0.0636365
a36	0.329913	0.219127	0.0428883	0.0182287	0.0481735	0.0474996	0.0488331	0.0741357	0.0413586	0.0468359	0.0499206	0.0330857
a75	0.284721	0.23844	0.0470436	0.0238336	0.0394764	0.0373544	0.0410547	0.0511634	0.0332217	0.0582494	0.0817433	0.0636982
a56	0.120359	0.134007	0.0601478	0.043444	0.0767344	0.0794457	0.0921618	0.105799	0.0526075	0.0701173	0.0879767	0.0771998
a98	0.212202	0.18976	0.0761436	0.0652425	0.0854268	0.0750153	0.0775925	0.0884881	0.0317082	0.0334066	0.0346404	0.0303747
a79	0.0674739	0.0836048	0.0853735	0.087475	0.126456	0.116093	0.10988	0.105497	0.0491754	0.0471574	0.0599449	0.061868
a98	0.0673948	0.0741336	0.0824832	0.0881285	0.13525	0.131265	0.116306	0.106286	0.0454256	0.0404994	0.0537114	0.0591166
a92	0.0388408	0.0505138	0.0841236	0.095286	0.145123	0.145328	0.131304	0.114552	0.0618218	0.0389947	0.0435633	0.0505485
a37	0.0651171	0.0793568	0.101346	0.111775	0.147329	0.139592	0.121724	0.0966437	0.0432366	0.0263321	0.031896	0.0356523
a47	0.0635888	0.0868914	0.113322	0.136192	0.157047	0.13921	0.119537	0.0917982	0.0349481	0.0178441	0.0190815	0.0205395
