 	il	me	demande	de	l'	argent	</S>
a66	0.343532	0.218313	0.172423	0.126532	0.0695909	0.0406889	0.0289206
a87	0.366676	0.264153	0.152848	0.0923456	0.0525965	0.0376776	0.0337031
a23	0.517085	0.294955	0.0765028	0.029653	0.022801	0.0254226	0.0335804
a10	0.395908	0.271535	0.0763734	0.0422738	0.0475658	0.0660451	0.100299
a87	0.340016	0.242898	0.0762084	0.061385	0.072417	0.0901855	0.11689
a23	0.374495	0.276608	0.0836541	0.0508132	0.0577554	0.0716137	0.0850611
a57	0.308832	0.19255	0.0701319	0.0652174	0.0862661	0.117054	0.159949
a20	0.249299	0.175803	0.0747826	0.0756107	0.0986504	0.138274	0.18758
a58	0.438621	0.288172	0.123534	0.0613093	0.0371218	0.0263774	0.0248644
a53	0.233086	0.227359	0.140078	0.108907	0.0952331	0.0884113	0.106926
a79	0.186053	0.209318	0.201546	0.147402	0.104871	0.0761221	0.0746881
a54	0.172207	0.227316	0.224413	0.139621	0.0923139	0.0713346	0.0727955
a15	0.176489	0.215093	0.213653	0.133585	0.0970518	0.081133	0.082994
a47	0.176225	0.220525	0.246883	0.134689	0.0888751	0.0673355	0.0654663
a6	0.076604	0.116558	0.204964	0.150484	0.140447	0.146252	0.164691
a85	0.102869	0.131481	0.203927	0.147569	0.130076	0.131101	0.152977
a36	0.0732881	0.0966263	0.201616	0.165531	0.142021	0.142971	0.177947
a37	0.0542119	0.0550934	0.126838	0.137683	0.172173	0.196488	0.257514
a79	0.0527378	0.0511455	0.100554	0.115087	0.167283	0.216423	0.29677
a37	0.0193749	0.0180766	0.0479554	0.0725972	0.158241	0.275909	0.407846
a54	0.0114692	0.00887766	0.0209199	0.0380092	0.109954	0.286638	0.524132
a47	0.00488574	0.00453754	0.0135825	0.0270553	0.0955595	0.299212	0.555167
a36	0.0017637	0.00150113	0.00622547	0.0165009	0.0768745	0.300941	0.596193
a2	0.00669787	0.00518798	0.0145476	0.0214664	0.0674869	0.262268	0.622346
a54	0.0497913	0.0394792	0.0569228	0.0599314	0.109509	0.236598	0.447768
a47	0.00711388	0.00674425	0.0201148	0.0375401	0.0957476	0.26904	0.563699
a36	0.00101378	0.000946472	0.00501446	0.0130496	0.0624378	0.292903	0.624635
a2	0.00291918	0.00263854	0.00866878	0.0175146	0.0659137	0.2682	0.634146
a57	0.0611136	0.0475366	0.0687053	0.0893425	0.140809	0.231615	0.360878
a87	0.150842	0.102397	0.0891683	0.089911	0.132893	0.18793	0.246858
a23	0.350187	0.19816	0.107089	0.0657243	0.076852	0.0978055	0.104182
a10	0.214821	0.116887	0.08173	0.0622251	0.0971058	0.175862	0.251369
</S>	0.0517354	0.0253353	0.0318082	0.0384219	0.105173	0.260245	0.48728
