 	le	pêcheur	est	en	train	de	chercher	sa	machette	qui	est	tombée	dans	l'	eau	</S>
a87	0.153609	0.0945532	0.0585241	0.0518084	0.0525428	0.0612212	0.0635191	0.0759436	0.0732222	0.0990179	0.086305	0.0684632	0.0270197	0.015145	0.0104667	0.00863864
a23	0.232837	0.0984068	0.0414418	0.032005	0.0279111	0.0359282	0.0368361	0.0454624	0.0479849	0.0675878	0.0856938	0.0966028	0.0474227	0.0360105	0.0324339	0.0354348
a10	0.129065	0.0812047	0.0715177	0.0672819	0.0605239	0.0673362	0.0612702	0.0600735	0.0519843	0.0583768	0.0647888	0.0569387	0.0378411	0.0381664	0.0448454	0.0487853
a87	0.107365	0.0934277	0.0837374	0.0737335	0.0699467	0.0725931	0.0725463	0.0701709	0.0542683	0.0516194	0.0489028	0.0479174	0.0341464	0.0349227	0.0400957	0.0446072
a10	0.0682859	0.054752	0.0688511	0.0696151	0.068577	0.0689098	0.0637811	0.0573376	0.0446804	0.0411733	0.0478928	0.0593705	0.0666353	0.0657576	0.0776714	0.076709
a87	0.0876785	0.0651735	0.0701199	0.0666239	0.0628368	0.0632466	0.0581964	0.0572417	0.0493526	0.0508324	0.0570765	0.0757226	0.0659956	0.0593298	0.0588637	0.0517095
a97	0.0891275	0.0540292	0.0520093	0.0476889	0.0437914	0.0436282	0.041203	0.0434224	0.0423231	0.0490744	0.0572593	0.0911769	0.0971665	0.0903322	0.0880181	0.0697495
a87	0.0963639	0.0636632	0.0590437	0.0468849	0.0402946	0.0390141	0.0345221	0.0381768	0.0375023	0.0433734	0.0506177	0.0820483	0.0946675	0.0948915	0.0996878	0.079248
a79	0.0948666	0.0464287	0.038346	0.0333679	0.032488	0.0369861	0.0411828	0.0581202	0.0614782	0.0781091	0.087271	0.118969	0.0871651	0.0713802	0.0641664	0.0496747
a15	0.0890501	0.0731309	0.0704635	0.0613806	0.0559728	0.049608	0.0425835	0.0352569	0.0329594	0.0462423	0.0580096	0.0928917	0.079677	0.0775637	0.068721	0.066489
a92	0.130465	0.125124	0.101985	0.0713811	0.0571057	0.0517873	0.0472173	0.0429498	0.0370466	0.0514805	0.0509493	0.045114	0.0450096	0.0482167	0.0486302	0.045538
a37	0.0989773	0.0899678	0.085447	0.0737019	0.0698191	0.0719557	0.0725996	0.0732498	0.0693131	0.0797186	0.0596233	0.0376826	0.0281105	0.0283607	0.0296415	0.0318315
a98	0.060043	0.0631549	0.0735768	0.0777922	0.0784822	0.0869991	0.0879201	0.0872617	0.0738425	0.0910123	0.0716207	0.041301	0.0284457	0.025322	0.0262027	0.0270231
a92	0.080251	0.0930974	0.0926805	0.0860002	0.0805559	0.0753364	0.0676156	0.0631969	0.0593079	0.0651243	0.0561139	0.0381848	0.0317413	0.0321704	0.0373848	0.0412386
a61	0.0604485	0.0581377	0.0708321	0.0756	0.080132	0.087635	0.0845779	0.0848098	0.0759622	0.0874945	0.0688018	0.0443832	0.0296585	0.0262992	0.0296232	0.0356043
a66	0.0476942	0.0490594	0.0657922	0.0852318	0.0927635	0.106944	0.0973699	0.0949184	0.0777775	0.0933408	0.0707335	0.0348772	0.0211917	0.0186121	0.02119	0.0225041
a44	0.0264071	0.0337935	0.0554145	0.0852572	0.110381	0.128863	0.127961	0.123638	0.0855632	0.0745537	0.0482904	0.0216827	0.0156844	0.0164424	0.0209975	0.0250697
a90	0.0321168	0.0354778	0.0531168	0.0832026	0.107518	0.124094	0.122445	0.11737	0.0913457	0.0806736	0.0528799	0.0257087	0.0161318	0.0151971	0.0184956	0.0242261
a92	0.0257041	0.0249696	0.0378383	0.0624708	0.0857171	0.106684	0.108402	0.110112	0.0901864	0.0884394	0.0677432	0.0425755	0.0325086	0.0303616	0.0380315	0.0482562
a85	0.0208521	0.0176595	0.0250116	0.0387209	0.060663	0.0793943	0.0961721	0.114673	0.104001	0.0917515	0.0736069	0.0532929	0.0460536	0.0456287	0.0581986	0.0743208
a5	0.0244734	0.020247	0.0240544	0.0301034	0.0412777	0.0522407	0.0649438	0.0887313	0.0925637	0.0904698	0.0752294	0.0533829	0.0562917	0.0719679	0.0992947	0.114728
a66	0.0312604	0.0215106	0.0266405	0.0351026	0.0476808	0.0628834	0.0783092	0.102398	0.0964045	0.0921043	0.0739469	0.0471063	0.0473994	0.0564365	0.0828203	0.0979961
a38	0.0189737	0.0190347	0.0239555	0.034953	0.0499157	0.0634982	0.0930852	0.127569	0.135362	0.100747	0.0803792	0.0460634	0.0391775	0.0397993	0.0567455	0.070742
a61	0.00956302	0.0110337	0.0163422	0.0267577	0.0463813	0.0594652	0.10098	0.14818	0.160242	0.0923464	0.0649231	0.0347529	0.0348789	0.0404031	0.0649441	0.0888062
a44	0.0178253	0.016037	0.0203694	0.0276866	0.0414123	0.053789	0.0796274	0.110168	0.123552	0.0890518	0.0698898	0.048996	0.0559085	0.0614347	0.0831479	0.101104
a90	0.0101999	0.0100369	0.0142982	0.0221951	0.0380694	0.0486655	0.0735126	0.100782	0.107336	0.0720086	0.0602929	0.0407607	0.0594933	0.0747075	0.116266	0.151376
a15	0.0120047	0.0126512	0.0189929	0.0264239	0.0458218	0.0553046	0.0773173	0.101484	0.106231	0.0720494	0.0567353	0.0356057	0.0421387	0.0606263	0.112743	0.16387
a69	0.0136113	0.0148204	0.0205367	0.0267761	0.0399365	0.043586	0.0548686	0.0715305	0.0816058	0.0649891	0.0612209	0.0438415	0.0607108	0.0837074	0.135588	0.18267
a58	0.00647541	0.0066218	0.010223	0.0158165	0.025461	0.0307793	0.0416414	0.0554252	0.0646873	0.0444295	0.0411089	0.0317718	0.0542837	0.100708	0.190015	0.280552
a82	0.00267482	0.00244612	0.00261576	0.00423581	0.0076811	0.0104091	0.0161761	0.022489	0.0276901	0.013825	0.0135267	0.01616	0.0373422	0.0995807	0.252591	0.470557
a53	0.0131755	0.00566399	0.00459265	0.00627437	0.00961131	0.0132404	0.0253897	0.0470016	0.0646983	0.036233	0.0330599	0.0304524	0.0468664	0.0933275	0.215895	0.354518
a98	0.00275102	0.00225962	0.00224981	0.00372875	0.00663307	0.00906516	0.0127968	0.0174424	0.0219889	0.0145927	0.0183422	0.0264914	0.0494197	0.120644	0.25894	0.432654
a85	0.00714162	0.00912241	0.014284	0.0213995	0.0330971	0.035246	0.0421697	0.0474045	0.0541334	0.0368448	0.0325693	0.0294126	0.0465988	0.106032	0.203347	0.281197
a73	0.0149068	0.0176455	0.0227314	0.0292879	0.0377233	0.039306	0.0433733	0.0489203	0.0565624	0.0480296	0.044779	0.0429308	0.0582355	0.109391	0.171805	0.214371
a15	0.00665606	0.00723502	0.00945469	0.012006	0.0156225	0.0170712	0.0183854	0.0207606	0.0249034	0.02161	0.0250446	0.0319108	0.0673806	0.14958	0.253851	0.318528
a69	0.00213588	0.00243637	0.00327873	0.0053013	0.00871935	0.0107448	0.0150844	0.0201838	0.0233024	0.0147198	0.0170482	0.0203219	0.0503861	0.129706	0.265101	0.41153
a44	0.00100353	0.00135773	0.0019604	0.00363562	0.00694889	0.0104853	0.0163849	0.0245159	0.025525	0.013256	0.0146113	0.0177923	0.0416629	0.108559	0.254354	0.457947
a76	0.0013049	0.00159655	0.00201314	0.00312995	0.00523066	0.00746596	0.0109765	0.0155362	0.0177531	0.0117298	0.014051	0.0218744	0.0533387	0.138724	0.281701	0.413575
a44	0.00378302	0.00448658	0.00578298	0.00919776	0.0154995	0.022848	0.0282334	0.0383509	0.0374246	0.0226881	0.0217387	0.0290872	0.0531435	0.113636	0.230867	0.363233
