 	la	chambre	du	malade	dégage	l'	odeur	ammoniacale	des	urines	</S>
a83	0.203508	0.117338	0.0857069	0.119582	0.0900815	0.098457	0.146399	0.0871072	0.0283387	0.0144477	0.00903454
a21	0.0586099	0.0365262	0.0467816	0.0828262	0.113956	0.159907	0.275644	0.182818	0.0276517	0.00853805	0.00674138
a25	0.300621	0.193011	0.0863024	0.0797986	0.0427926	0.0663875	0.126344	0.0652454	0.0147762	0.013446	0.0112743
a69	0.337849	0.280452	0.12052	0.0945225	0.0341305	0.0308867	0.0382601	0.0244133	0.00956802	0.0129362	0.0164615
a90	0.319088	0.269592	0.125522	0.105069	0.035537	0.0227724	0.0205558	0.0135783	0.00988348	0.0257653	0.0526372
a92	0.222414	0.214692	0.15093	0.125008	0.0497149	0.0306629	0.0295707	0.0258494	0.0243088	0.051407	0.0754419
a21	0.161433	0.148328	0.128395	0.121025	0.0691189	0.0451231	0.038941	0.029839	0.0357687	0.0872496	0.13478
a12	0.142093	0.139119	0.134701	0.142071	0.0891521	0.0697115	0.0649203	0.0477963	0.0362475	0.0577891	0.0763994
a18	0.0661259	0.0590582	0.0770558	0.0905508	0.0778438	0.0502613	0.0476453	0.05154	0.0760459	0.163381	0.240492
a61	0.0187358	0.0195627	0.0300861	0.0396201	0.049918	0.0356793	0.044985	0.0791953	0.128804	0.266469	0.286945
a21	0.0300246	0.0273772	0.0410861	0.0586035	0.0913221	0.0632501	0.0623412	0.0660213	0.106933	0.222166	0.230875
a92	0.0319136	0.0254952	0.0259671	0.0312411	0.0469752	0.0432499	0.0489413	0.0570656	0.132852	0.264944	0.291355
a5	0.0123445	0.00966716	0.0101092	0.0131896	0.0253002	0.020481	0.0203822	0.0298959	0.0903385	0.28229	0.486002
a61	0.00804715	0.00626762	0.00689371	0.00852912	0.0172829	0.0194348	0.0229095	0.0302788	0.0908657	0.281086	0.508404
a21	0.00172181	0.0014086	0.00191278	0.00249583	0.00804648	0.00839272	0.00827375	0.0205968	0.077295	0.250447	0.61941
a85	0.00277089	0.00207153	0.00218182	0.00313598	0.00914388	0.0083909	0.00615869	0.0138108	0.0488071	0.204004	0.699525
a37	0.00149847	0.00100888	0.00114483	0.00168185	0.00529882	0.00616228	0.00443989	0.0108908	0.0661711	0.282491	0.619212
a61	0.000671946	0.00052156	0.000724471	0.00130319	0.00605109	0.00613261	0.00441146	0.0102127	0.0407254	0.214449	0.714796
a62	0.0012344	0.00102044	0.00152722	0.00223552	0.0108467	0.0102691	0.00877137	0.0195868	0.0581561	0.217139	0.669213
a88	0.0036407	0.00312723	0.00375524	0.0054637	0.0166677	0.0244781	0.0249509	0.0530171	0.0685575	0.204594	0.591748
a66	0.0106796	0.0100152	0.0098887	0.0165947	0.0373594	0.055425	0.0509664	0.0879703	0.0930155	0.172243	0.455842
a9	0.0387621	0.0325714	0.0268755	0.0323988	0.0678047	0.0971804	0.0727095	0.11636	0.108427	0.12672	0.280191
a99	0.0527239	0.0413065	0.0366989	0.0408026	0.086603	0.105307	0.0838559	0.125581	0.147233	0.120108	0.15978
a87	0.0231502	0.0200094	0.0238779	0.0239468	0.0488067	0.0726548	0.0875793	0.178879	0.218501	0.157339	0.145256
a30	0.0223583	0.0188171	0.0216542	0.0245114	0.0503234	0.0760464	0.0937597	0.206309	0.202252	0.135521	0.148447
a87	0.03548	0.0342331	0.0424218	0.0465538	0.0820098	0.106705	0.122121	0.203727	0.126387	0.087132	0.113229
a23	0.0282518	0.0260687	0.0323365	0.0393874	0.0748619	0.0994953	0.119745	0.197377	0.155639	0.0949896	0.131848
a99	0.0158764	0.0129895	0.0169941	0.0215054	0.0559603	0.0504525	0.0543036	0.110562	0.187409	0.156419	0.317528
a87	0.0329417	0.0270502	0.0273792	0.0288199	0.0729366	0.0692358	0.0675696	0.111291	0.118267	0.123581	0.320929
a97	0.0170008	0.0151501	0.0176256	0.0181476	0.0417555	0.0609533	0.0688755	0.144108	0.139529	0.145182	0.331672
</S>	0.0331267	0.0284728	0.030448	0.0261227	0.0432508	0.0657382	0.0737164	0.155926	0.144904	0.129463	0.268831
