 	un	assesseur	destructeur	tue	les	gens	</S>
a66	0.343865	0.325117	0.173398	0.112619	0.0272385	0.0118038	0.00595797
a87	0.457566	0.262459	0.160556	0.0867066	0.0138032	0.0100721	0.00883679
a23	0.38302	0.332226	0.226857	0.037185	0.00794147	0.00604921	0.00672205
a30	0.360179	0.306991	0.196904	0.0448814	0.0218325	0.0266821	0.0425305
a4	0.375707	0.295225	0.200284	0.0503317	0.0227597	0.0244256	0.0312677
a75	0.392404	0.376556	0.160517	0.0533096	0.00657936	0.00559028	0.00504311
a21	0.380377	0.362162	0.179277	0.0628255	0.00614187	0.00483037	0.00438609
a5	0.229347	0.292287	0.270549	0.142914	0.0257425	0.0196372	0.0195239
a75	0.227026	0.274112	0.278456	0.154044	0.0263758	0.0194624	0.0205241
a85	0.179556	0.239327	0.249604	0.244932	0.0432496	0.0246891	0.018641
a6	0.148013	0.153746	0.181462	0.284566	0.100886	0.0713707	0.0599563
a92	0.149243	0.173127	0.208585	0.272505	0.0878052	0.0549106	0.0538236
a56	0.137352	0.154338	0.182288	0.286274	0.108366	0.0692413	0.0621399
a44	0.0645477	0.0912893	0.181419	0.36966	0.15145	0.0771246	0.06451
a93	0.022598	0.0301544	0.0898107	0.308649	0.280557	0.149947	0.118284
a56	0.0110643	0.0122342	0.0335271	0.152128	0.354723	0.23791	0.198414
a25	0.00638612	0.00608189	0.0222685	0.117889	0.363328	0.260874	0.223173
a98	0.00152118	0.00138737	0.00678996	0.0318559	0.285013	0.306742	0.366691
a85	0.00110658	0.00108695	0.00569741	0.0280949	0.222105	0.298134	0.443775
a6	0.000312768	0.000262951	0.00163068	0.0108133	0.153434	0.29932	0.534227
a36	0.00110891	0.000784102	0.00289681	0.0112097	0.125587	0.281008	0.577406
a27	0.00127645	0.000604515	0.0011722	0.0066719	0.0838909	0.250285	0.656099
a82	0.0527678	0.0368875	0.0268675	0.0495123	0.134028	0.232307	0.46763
a87	0.280976	0.226799	0.138194	0.0761148	0.064554	0.08608	0.127283
a23	0.280748	0.265471	0.213273	0.110411	0.0402851	0.0398544	0.049957
a87	0.077382	0.0548746	0.0871625	0.0915948	0.219381	0.23779	0.231815
</S>	0.0218913	0.0154969	0.0196307	0.0457559	0.161177	0.270342	0.465706
