 	masse-moi	le	pied	</S>
a87	0.786961	0.160997	0.0361783	0.0158641
a23	0.789452	0.0867067	0.05519	0.0686511
a83	0.846583	0.102066	0.027638	0.0237133
a54	0.563381	0.299561	0.0831823	0.0538753
a37	0.504371	0.31625	0.117516	0.0618628
a11	0.409929	0.432914	0.108784	0.0483732
a75	0.221848	0.378979	0.244133	0.15504
a85	0.293877	0.296088	0.227291	0.182744
a5	0.132489	0.307331	0.314461	0.245719
a61	0.0692414	0.219322	0.402009	0.309428
a47	0.0224751	0.104569	0.410274	0.462683
a83	0.0333132	0.126164	0.386913	0.453609
a25	0.0114397	0.0672048	0.350429	0.570926
a53	0.00518809	0.0385397	0.246142	0.71013
a13	0.00288469	0.0188998	0.195442	0.782774
a99	0.00116354	0.0121706	0.17509	0.811576
a87	0.00881905	0.0275031	0.189296	0.774382
a23	0.424388	0.153476	0.165758	0.256379
a87	0.129598	0.105706	0.267475	0.497221
</S>	0.0247452	0.0331896	0.207346	0.734719
