 	redresse-toi	tu	es	bossu	</S>
a23	0.431634	0.220781	0.152271	0.0924513	0.102862
a10	0.251206	0.168759	0.158856	0.165177	0.256003
a62	0.34783	0.197261	0.137286	0.12094	0.196683
a61	0.630489	0.23643	0.0762241	0.031237	0.0256202
a54	0.651828	0.228123	0.0672471	0.0284748	0.0243273
a41	0.474571	0.262726	0.122876	0.074717	0.0651097
a37	0.520662	0.29798	0.0983609	0.0453256	0.0376719
a75	0.469317	0.293624	0.124358	0.057487	0.0552143
a34	0.336201	0.275637	0.170838	0.113131	0.104193
a70	0.341763	0.273247	0.201862	0.10172	0.0814087
a34	0.160001	0.151571	0.218489	0.256747	0.213192
a56	0.136345	0.135645	0.201024	0.277604	0.249383
a66	0.083068	0.103202	0.193116	0.324533	0.296081
a61	0.0161712	0.0422543	0.138468	0.309143	0.493964
a75	0.0172713	0.0443918	0.132116	0.337954	0.468266
a34	0.013999	0.0296609	0.0716852	0.3285	0.556155
a96	0.00682438	0.0158025	0.0564479	0.329191	0.591735
a93	0.00496419	0.0120525	0.0426379	0.296941	0.643404
a34	0.00310826	0.0086492	0.0406515	0.314259	0.633332
a12	0.00329912	0.00770375	0.0350042	0.293599	0.660394
a18	0.00560284	0.0132144	0.0435667	0.295869	0.641747
a25	0.00574837	0.0166763	0.0565807	0.288056	0.632938
a87	0.00336637	0.00909402	0.0309753	0.237994	0.71857
a23	0.0460542	0.0545983	0.102435	0.261615	0.535298
a87	0.0647978	0.0680521	0.103857	0.262161	0.501132
</S>	0.0240825	0.0329242	0.061875	0.265291	0.615828
