 	ma	mère	m'	a	acheté	du	pain	pour	que	je	prenne	avec	du	thé	</S>
a66	0.0556924	0.053577	0.0466586	0.0581848	0.070388	0.0763347	0.125492	0.0919799	0.122005	0.177391	0.0859855	0.0165129	0.0101595	0.00615141	0.00348671
a87	0.14427	0.100977	0.0822305	0.0792964	0.0838142	0.0692646	0.0656392	0.0666082	0.0654724	0.0790798	0.0378965	0.0287542	0.0359818	0.0402337	0.0204816
a23	0.204527	0.138729	0.0814863	0.0633254	0.0576978	0.0508933	0.049428	0.0421168	0.0405178	0.0472222	0.0548452	0.0566148	0.0471055	0.0456802	0.0198102
a99	0.237952	0.165755	0.101787	0.097404	0.0716147	0.050092	0.0533563	0.0343909	0.0274976	0.0245128	0.0246368	0.0320556	0.0289491	0.0310736	0.0189235
a53	0.116875	0.102805	0.0820688	0.0918605	0.0788146	0.0647325	0.0804393	0.0492791	0.0471794	0.0440294	0.0685874	0.0555093	0.0465123	0.0445901	0.0267175
a15	0.135957	0.149003	0.128984	0.116711	0.0912212	0.0549566	0.0490753	0.0262328	0.0217825	0.0223359	0.0274373	0.0346107	0.0518752	0.068592	0.0212249
a98	0.0954819	0.103882	0.106521	0.103684	0.109582	0.0817112	0.0698376	0.0439325	0.0347314	0.0284954	0.0269385	0.0318756	0.0542699	0.0830178	0.0260395
a79	0.0665892	0.0854369	0.109528	0.112077	0.124147	0.103585	0.0901698	0.0611158	0.046036	0.0384769	0.0237446	0.0271417	0.0369621	0.0504818	0.024509
a56	0.0744264	0.0930709	0.128093	0.125838	0.12772	0.111359	0.0942476	0.0607445	0.0421014	0.03259	0.018845	0.0173777	0.0211524	0.0281429	0.0242905
a75	0.0743164	0.0819163	0.116853	0.134168	0.143271	0.123652	0.102725	0.0632725	0.0477386	0.0333858	0.0175453	0.0123446	0.0126991	0.0183483	0.017764
a56	0.0534158	0.0549463	0.0923735	0.123589	0.132774	0.12161	0.105561	0.0763368	0.0612732	0.0537776	0.0280561	0.0186929	0.019573	0.0270362	0.0309838
a34	0.0432713	0.0411503	0.0770037	0.113403	0.132573	0.131505	0.127434	0.0948352	0.0806204	0.0663512	0.0263521	0.0154276	0.0137383	0.0162398	0.0200951
a96	0.0202547	0.0176263	0.0395779	0.0814301	0.126877	0.147045	0.146769	0.120138	0.100526	0.0824467	0.0325189	0.0177538	0.0160387	0.0201467	0.030852
a34	0.011666	0.00971957	0.0182853	0.040362	0.0888711	0.135426	0.154742	0.139321	0.117146	0.0926319	0.0409942	0.0233868	0.0247202	0.0362747	0.0664528
a75	0.0109524	0.00881758	0.0155408	0.0316377	0.0696106	0.116236	0.161825	0.148436	0.135144	0.112695	0.0459168	0.022457	0.0223025	0.0342732	0.0641554
