 	la	maison	sur	pilotis	avance	sur	le	fleuve	</S>
a10	0.281394	0.110524	0.0790308	0.111827	0.121869	0.107503	0.0724149	0.0623871	0.0530516
a87	0.273642	0.11225	0.0733628	0.0813497	0.0917148	0.103276	0.0930404	0.0919453	0.0794188
a23	0.303927	0.154878	0.0880397	0.0518602	0.0443669	0.0709074	0.075592	0.105222	0.105207
a50	0.350969	0.254375	0.165957	0.0580861	0.0285822	0.0392671	0.0341876	0.036762	0.0318151
a70	0.530573	0.24713	0.150965	0.0340208	0.00840236	0.00815018	0.00622104	0.00707284	0.0074642
a62	0.43401	0.307819	0.175262	0.0426699	0.0117636	0.00914521	0.00666454	0.00605046	0.00661554
a41	0.287407	0.303378	0.254355	0.0879741	0.0231737	0.0140744	0.010306	0.00915469	0.0101772
a14	0.169803	0.218516	0.255415	0.13875	0.0618813	0.0464668	0.0385209	0.0347416	0.0359052
a44	0.177298	0.205768	0.225381	0.13935	0.0753676	0.052188	0.043179	0.0405673	0.0409019
a84	0.142238	0.182524	0.225281	0.1647	0.0847317	0.0551657	0.0461743	0.0466509	0.0525338
a11	0.0679345	0.0873447	0.120076	0.161837	0.133947	0.0905909	0.0877791	0.105366	0.145124
a35	0.0715983	0.0920524	0.125369	0.161027	0.141602	0.0908037	0.0831987	0.0973998	0.136949
a90	0.0993823	0.109653	0.155869	0.180344	0.13758	0.110396	0.0767671	0.062604	0.0674047
a13	0.0814132	0.0871513	0.129896	0.21124	0.152788	0.122783	0.0821216	0.0633387	0.069268
a9	0.0461629	0.0530694	0.0878302	0.233843	0.226948	0.139661	0.0785815	0.0614637	0.0724401
a3	0.0264851	0.0364164	0.0607054	0.175996	0.292993	0.127484	0.087082	0.0831189	0.10972
a97	0.0247037	0.043207	0.0768807	0.187692	0.249636	0.110631	0.0884285	0.0934133	0.125409
a87	0.0619013	0.0939852	0.126602	0.161206	0.178761	0.131363	0.0913607	0.0724793	0.0823428
a23	0.109862	0.100343	0.117293	0.110599	0.115333	0.146601	0.105241	0.0950064	0.0997217
a13	0.0519185	0.0489263	0.0716026	0.124457	0.114957	0.13084	0.123599	0.152385	0.181315
a90	0.0209903	0.0268207	0.0469641	0.100997	0.0740115	0.0961887	0.109892	0.197425	0.326711
a41	0.0404706	0.0386303	0.0541087	0.114333	0.11658	0.113858	0.107488	0.147011	0.267519
a66	0.0293722	0.0269967	0.0409892	0.0924489	0.155554	0.12978	0.116891	0.15956	0.248407
a38	0.0111327	0.0109716	0.0154954	0.054173	0.116512	0.124983	0.141357	0.2005	0.324875
a98	0.0127849	0.0122266	0.0165747	0.0498195	0.128975	0.121292	0.144562	0.195306	0.318459
a41	0.0114317	0.0106516	0.0159883	0.0437415	0.122766	0.13199	0.149822	0.195158	0.318451
a56	0.0087644	0.0075662	0.0112419	0.0252017	0.104726	0.130984	0.157147	0.227544	0.326825
a98	0.0161003	0.0118794	0.0167148	0.0372933	0.110918	0.135628	0.166873	0.207603	0.296991
a41	0.0144019	0.0111606	0.016604	0.034373	0.122747	0.131118	0.150912	0.212317	0.306367
a44	0.0103544	0.0079627	0.0110855	0.020259	0.0895497	0.118978	0.160549	0.248016	0.333245
a26	0.00575147	0.00477729	0.00683104	0.0169372	0.0653396	0.0941914	0.156414	0.2589	0.390858
a84	0.00194259	0.00161035	0.00209007	0.00579565	0.0310085	0.057391	0.13235	0.29652	0.471292
a11	0.00424095	0.0039432	0.00482924	0.00883679	0.0495021	0.0713786	0.142818	0.295541	0.41891
a75	0.00233415	0.00173025	0.00184853	0.00471299	0.0245126	0.0550344	0.139115	0.312251	0.458461
a12	0.0061381	0.00451817	0.00544193	0.0123268	0.0511465	0.0863545	0.153016	0.268244	0.412814
a18	0.00195297	0.001374	0.0016933	0.00534092	0.0275543	0.0645461	0.136977	0.305297	0.455265
a25	0.00207915	0.00153555	0.0018176	0.00431872	0.025522	0.0467505	0.114058	0.307199	0.496719
a87	0.00249805	0.00171143	0.00191651	0.0031929	0.0148893	0.0337143	0.0972633	0.314391	0.530423
a23	0.0157855	0.00736895	0.00539141	0.00367978	0.0195237	0.0684734	0.14341	0.333572	0.402796
a11	0.064326	0.0301942	0.018348	0.00953428	0.0359811	0.0934813	0.149804	0.270094	0.328237
a32	0.0314128	0.013813	0.00863036	0.0084663	0.0295729	0.0715974	0.128904	0.289527	0.418076
a75	0.00692809	0.00349866	0.00241395	0.00440924	0.0301526	0.094803	0.164897	0.296611	0.396286
a21	0.00574408	0.00318676	0.00254258	0.00481331	0.0311783	0.095404	0.186606	0.310875	0.35965
a96	0.00361947	0.002478	0.00251092	0.00588308	0.0250142	0.0952016	0.183391	0.31315	0.368752
a66	0.00143993	0.00095802	0.00100672	0.0027373	0.0168857	0.065034	0.153465	0.328629	0.429844
a75	0.00194013	0.00140474	0.00156126	0.00320775	0.0212583	0.0455141	0.121023	0.319254	0.484836
a98	0.00209384	0.00151535	0.0015642	0.00330845	0.0199013	0.0530536	0.136951	0.317781	0.463831
a73	0.00131484	0.00108241	0.00133321	0.00306515	0.0212078	0.0512357	0.123125	0.304885	0.492751
a44	0.00116162	0.00109764	0.00142458	0.00288595	0.0143033	0.036791	0.101943	0.312557	0.527835
a84	0.0006593	0.000496345	0.000585566	0.0012596	0.00840045	0.024217	0.0875828	0.315259	0.561539
a87	0.00118017	0.000850267	0.00102359	0.00179853	0.00889724	0.0247769	0.0851119	0.313507	0.562854
</S>	0.00570232	0.00363987	0.00370794	0.00348001	0.0143587	0.0439072	0.109875	0.321636	0.493693
