 	avec	cette	manière	de	pêcher	au	harpon	on	aura	beaucoup	de	protoptère	s	</S>
a82	0.155762	0.0842223	0.0453074	0.0465906	0.0592324	0.092062	0.127607	0.138505	0.119755	0.0543391	0.0328711	0.0182421	0.0149239	0.0105793
a87	0.157381	0.0745662	0.0393841	0.0385152	0.0416026	0.0445137	0.0808895	0.0726961	0.145923	0.0767286	0.0569861	0.0498923	0.0627669	0.0581546
a23	0.245364	0.132965	0.0855875	0.0460235	0.0360307	0.0384077	0.0541312	0.0558787	0.0708537	0.0436847	0.0439976	0.0471781	0.0515158	0.0483809
a3	0.204238	0.182492	0.177656	0.0940509	0.0639131	0.0561248	0.0613732	0.0383236	0.0326839	0.014321	0.0142912	0.0163396	0.0204095	0.0237834
a62	0.201073	0.177179	0.141992	0.0840688	0.0650793	0.0651197	0.0736852	0.0529191	0.0388178	0.0193381	0.0192559	0.0197992	0.0219723	0.0197008
a96	0.313658	0.245423	0.128105	0.0601828	0.0440337	0.0416719	0.0350705	0.0279004	0.0142664	0.00895233	0.0131041	0.0207354	0.0281712	0.0187248
a70	0.242418	0.266915	0.192125	0.0737144	0.0485883	0.0410141	0.0346394	0.0272906	0.0137535	0.0062548	0.00761104	0.0115986	0.0195149	0.0145615
a88	0.150731	0.198408	0.213136	0.112728	0.0756932	0.0609724	0.0573267	0.0465396	0.0258684	0.00885312	0.00910011	0.0097989	0.0169412	0.0139033
a62	0.104944	0.147638	0.195141	0.124895	0.0877978	0.0733009	0.0681039	0.0575764	0.0340347	0.0138482	0.0147201	0.017114	0.0320873	0.0287984
a61	0.151517	0.157508	0.16582	0.116635	0.089488	0.0879074	0.0754469	0.0603358	0.0371966	0.012088	0.0103278	0.00820337	0.0143853	0.0131405
a47	0.113392	0.115727	0.13501	0.115342	0.101944	0.114812	0.0991422	0.0821699	0.0567535	0.0169965	0.0123901	0.00877363	0.0138402	0.0137063
a31	0.0991931	0.0997348	0.111786	0.108302	0.106905	0.12885	0.110662	0.0939389	0.0705495	0.0247177	0.0150929	0.00907025	0.0101197	0.0110787
a47	0.0561597	0.0606902	0.0760461	0.100027	0.117003	0.149524	0.130021	0.11768	0.0968315	0.0344193	0.0192716	0.0122123	0.0138743	0.0162412
a21	0.0305645	0.0356837	0.0462693	0.0676737	0.103403	0.166125	0.153847	0.143159	0.122932	0.0504594	0.0274703	0.0170986	0.0153792	0.019934
a12	0.0198645	0.0255697	0.0368283	0.0563124	0.0958352	0.156132	0.147096	0.147948	0.139875	0.0624429	0.0370775	0.0231407	0.0223817	0.0294961
a18	0.00960292	0.0144183	0.0252224	0.0392457	0.0738003	0.144564	0.148497	0.15433	0.153919	0.0855074	0.05279	0.0326682	0.0287484	0.0366857
a88	0.00738166	0.00991737	0.015061	0.0299185	0.0620157	0.139953	0.16553	0.158569	0.12246	0.0787061	0.062844	0.0485168	0.0436624	0.0554641
a62	0.0105674	0.0126494	0.0160884	0.0279738	0.0488891	0.104263	0.137384	0.133109	0.117354	0.0913351	0.0876814	0.0761496	0.0682319	0.0683242
a21	0.00902918	0.0104285	0.0127317	0.0232568	0.0422033	0.0912673	0.125305	0.124422	0.116716	0.0992787	0.0984245	0.0881499	0.0846515	0.074136
a47	0.00636002	0.0077621	0.0107781	0.0193091	0.0389184	0.0662398	0.0639216	0.0712468	0.0911399	0.117315	0.114413	0.113928	0.123076	0.155593
a88	0.00467745	0.00669767	0.0115593	0.026259	0.0504863	0.0931296	0.0947428	0.096681	0.0788806	0.09963	0.113063	0.103053	0.0989128	0.122227
a62	0.0028813	0.00358218	0.00562215	0.0117526	0.0254934	0.0533755	0.0516026	0.0510661	0.0549353	0.0842683	0.117272	0.171824	0.187048	0.179277
a21	0.00290068	0.00377298	0.00587385	0.00983404	0.0172051	0.0315556	0.0318589	0.0332072	0.0435733	0.0657722	0.102041	0.191589	0.255733	0.205083
a85	0.00413492	0.00470942	0.00648556	0.0121235	0.022689	0.0315733	0.0269528	0.0312821	0.0452733	0.0697192	0.0890802	0.136397	0.232992	0.286587
a5	0.00406538	0.00498281	0.00662075	0.0133725	0.0281268	0.0398536	0.0277731	0.0291508	0.0285403	0.0611504	0.0881923	0.127794	0.209315	0.331062
a92	0.00217957	0.00268152	0.00409442	0.00940949	0.0192953	0.0290548	0.0230645	0.0252926	0.025549	0.047306	0.0762251	0.143205	0.25177	0.340872
a37	0.00132798	0.00182832	0.00308516	0.00695194	0.0137323	0.0199508	0.0142196	0.0152686	0.0134337	0.0316678	0.0616591	0.13541	0.269731	0.411733
a98	0.000729695	0.000857292	0.00144221	0.00328052	0.00664274	0.0108073	0.00819396	0.00773791	0.00631673	0.0127648	0.0325285	0.106097	0.24013	0.562472
a85	0.00105738	0.00150497	0.00294	0.00579056	0.0115599	0.01592	0.011117	0.0101121	0.0108973	0.0236287	0.0437366	0.12215	0.237189	0.502397
a5	0.000833479	0.00119535	0.00231048	0.00439451	0.00849179	0.0112676	0.0082941	0.00861662	0.00986207	0.023194	0.04649	0.11813	0.233108	0.523813
