 	le	chef	de	notre	village	est	malade	</S>
a66	0.32026	0.176743	0.114482	0.117147	0.0889878	0.0753234	0.058689	0.048368
a87	0.226115	0.172135	0.15102	0.125492	0.0851486	0.0750723	0.0718677	0.0931499
a23	0.43343	0.208787	0.13353	0.0684964	0.0438443	0.0351206	0.0346273	0.0421643
a20	0.433028	0.234844	0.145087	0.0681624	0.0343194	0.022699	0.0253131	0.0365474
a79	0.478697	0.26021	0.101404	0.0432947	0.0272661	0.0233305	0.0286033	0.0371947
a37	0.374499	0.31679	0.150242	0.0609109	0.0329388	0.0213993	0.0219987	0.0212204
a75	0.306815	0.316171	0.192784	0.0774855	0.0413372	0.0226177	0.0206582	0.0221301
a5	0.250323	0.258548	0.192811	0.11121	0.0701941	0.0428079	0.0352023	0.0389043
a36	0.183594	0.213675	0.204624	0.14923	0.0976491	0.0596111	0.0441121	0.0475047
a15	0.0953911	0.131731	0.185122	0.18655	0.141148	0.0972526	0.0753944	0.0874104
a69	0.0461428	0.0775082	0.125519	0.17849	0.16855	0.142391	0.116099	0.145301
a44	0.0370708	0.0567357	0.100872	0.171845	0.17114	0.151936	0.132016	0.178383
a32	0.0518542	0.0646267	0.101141	0.177255	0.187408	0.152546	0.119465	0.145704
a11	0.0314852	0.0346663	0.0534637	0.123122	0.19081	0.205526	0.157636	0.20329
a24	0.0212986	0.0233095	0.0323225	0.0711019	0.132206	0.187781	0.200076	0.331904
a54	0.0159034	0.0171199	0.0194347	0.0356664	0.0742526	0.15942	0.241559	0.436644
a5	0.00888592	0.00999864	0.0166554	0.0354137	0.0618342	0.144288	0.242683	0.480241
a23	0.0082969	0.00840917	0.0127734	0.0273347	0.054783	0.151899	0.274511	0.461992
a12	0.00270449	0.00293517	0.00485316	0.0125922	0.0285166	0.0988775	0.250612	0.598909
a96	0.0025356	0.00244659	0.00388938	0.00915806	0.0216393	0.082199	0.255512	0.62262
a11	0.00205411	0.00192981	0.00294157	0.00647297	0.0150482	0.0609876	0.221177	0.689388
a93	0.00397504	0.00326237	0.00403546	0.00783949	0.0175069	0.0721271	0.247627	0.643626
a44	0.00195304	0.00171307	0.00202821	0.00459735	0.0119258	0.0565922	0.230722	0.690468
a79	0.00265422	0.00231943	0.00279821	0.0061246	0.0142721	0.059334	0.219396	0.693101
a7	0.00157638	0.00139803	0.00168059	0.00350808	0.00852077	0.04	0.176597	0.76672
a53	0.00368372	0.00299224	0.00314756	0.00610074	0.0129331	0.0558603	0.209821	0.705462
a44	0.0141132	0.0121434	0.0119515	0.0202062	0.0358718	0.101465	0.250617	0.553631
a84	0.0114944	0.00984154	0.0101122	0.0170564	0.0311408	0.0912927	0.247166	0.581896
a87	0.0834649	0.0678461	0.0589568	0.0674683	0.0796037	0.121512	0.201426	0.319723
a23	0.253576	0.149663	0.12378	0.105625	0.0878163	0.0900223	0.0940844	0.0954329
a87	0.141428	0.0888524	0.0819931	0.0755885	0.07537	0.105565	0.177029	0.254174
</S>	0.0425773	0.0307738	0.0318077	0.0340245	0.0442271	0.0979472	0.220449	0.498194
