 	l'	enfant	est	monté	sur	le	safoutier	</S>
a66	0.374635	0.215442	0.116645	0.107741	0.0875292	0.0487724	0.0253776	0.0238579
a87	0.329666	0.20889	0.123805	0.1306	0.084966	0.0499394	0.0329166	0.0392173
a23	0.408897	0.284193	0.166092	0.0934633	0.0198946	0.0099064	0.00778442	0.00976929
a87	0.346227	0.241058	0.152872	0.122116	0.0540829	0.0324513	0.0240442	0.0271487
a23	0.388059	0.240011	0.157226	0.101909	0.0425223	0.0254303	0.0210784	0.023765
a18	0.320162	0.168937	0.101628	0.103491	0.0946739	0.0698399	0.0645418	0.0767254
a53	0.133694	0.0968941	0.0792518	0.138069	0.169595	0.13248	0.117919	0.132097
a44	0.206028	0.220016	0.178307	0.148612	0.0953389	0.0569909	0.0466967	0.0480095
a94	0.122602	0.186677	0.181087	0.155631	0.109337	0.0829603	0.0803073	0.0813979
a70	0.0815764	0.153708	0.201587	0.179246	0.110854	0.0946898	0.0918112	0.0865275
a96	0.0581839	0.102622	0.170341	0.17659	0.119821	0.119131	0.127126	0.126184
a70	0.0461879	0.07392	0.131127	0.156046	0.12523	0.135535	0.160413	0.171541
a54	0.0422256	0.0564941	0.10791	0.159907	0.152166	0.155211	0.159633	0.166454
a44	0.0419931	0.063281	0.114387	0.178227	0.158146	0.139733	0.145874	0.158359
a70	0.0292706	0.0338635	0.0521463	0.102265	0.140025	0.158248	0.213211	0.270969
a90	0.0276625	0.0268743	0.0391694	0.0690524	0.137668	0.175236	0.227054	0.297284
a4	0.029178	0.0325902	0.053013	0.121564	0.227015	0.20623	0.173202	0.157207
a44	0.0184323	0.0172428	0.0279675	0.0626099	0.170649	0.219879	0.232721	0.250498
a94	0.0162213	0.0157894	0.0264739	0.0648417	0.190811	0.245619	0.219334	0.220909
a11	0.00997683	0.0093639	0.0151518	0.0416065	0.141396	0.241246	0.248892	0.292366
a38	0.00672677	0.00601936	0.00816385	0.021393	0.0802533	0.188136	0.275364	0.413945
a54	0.00491146	0.00441497	0.00565414	0.0143521	0.0601666	0.15008	0.291372	0.469049
a36	0.00763631	0.00678707	0.00991784	0.0242577	0.069482	0.145646	0.28184	0.454433
a26	0.00136491	0.0011636	0.00137907	0.00364259	0.0224451	0.0887149	0.326968	0.554321
a2	0.0287329	0.0171997	0.0126726	0.0134498	0.0412535	0.113699	0.334095	0.438897
a57	0.143271	0.0717919	0.0386966	0.0298943	0.050561	0.0956302	0.23717	0.332985
a23	0.385874	0.197614	0.0842725	0.0426559	0.029158	0.0448628	0.0994496	0.116113
a87	0.304038	0.163167	0.0716063	0.0471767	0.0461942	0.078319	0.144268	0.145231
a23	0.109165	0.0688907	0.0359486	0.0287321	0.0506052	0.134929	0.270324	0.301405
a87	0.212192	0.125971	0.0674831	0.0527104	0.0672898	0.115933	0.160865	0.197556
a23	0.124071	0.112733	0.0767779	0.0667827	0.0894669	0.135073	0.180741	0.214353
a87	0.172454	0.136971	0.0867538	0.074157	0.0882602	0.109379	0.144969	0.187056
a23	0.130353	0.116914	0.0721266	0.0675692	0.0955795	0.136306	0.169986	0.211167
</S>	0.177498	0.143908	0.0878934	0.0771119	0.0982182	0.113313	0.129617	0.172441
