 	il	est	aveugle	de	naissance	</S>
a10	0.32188	0.149322	0.172686	0.135999	0.112978	0.107135
a38	0.339996	0.205673	0.205671	0.0990594	0.0729522	0.0766483
a36	0.349117	0.153626	0.0986077	0.0940437	0.11948	0.185126
a11	0.456432	0.209735	0.102569	0.0804296	0.0683362	0.0824984
a10	0.64812	0.25026	0.060367	0.0220372	0.010094	0.00912175
a57	0.536212	0.258402	0.106121	0.0438738	0.0275504	0.0278415
a87	0.465575	0.250853	0.119464	0.0660482	0.0468113	0.0512483
a23	0.338247	0.212754	0.145811	0.105561	0.0885208	0.109105
a53	0.303151	0.226174	0.134119	0.103287	0.0923031	0.140966
a90	0.444216	0.238458	0.120572	0.0943929	0.050941	0.0514197
a20	0.380414	0.268139	0.153473	0.0949133	0.0543119	0.0487488
a73	0.381149	0.253878	0.163946	0.104375	0.055766	0.0408863
a2	0.328018	0.267707	0.207469	0.106388	0.0515697	0.0388484
a57	0.231486	0.221507	0.247305	0.141353	0.078054	0.0802961
a40	0.163955	0.173617	0.186874	0.149095	0.12731	0.199148
a30	0.181916	0.193568	0.195419	0.158042	0.12874	0.142316
a73	0.193382	0.216908	0.23999	0.162027	0.102496	0.0851966
a26	0.160392	0.171953	0.225773	0.177761	0.136512	0.12761
a76	0.0937158	0.115519	0.208055	0.227463	0.180785	0.174463
a20	0.0988356	0.104416	0.195341	0.214527	0.189056	0.197825
a76	0.0742733	0.0791824	0.177003	0.21938	0.209189	0.240973
a94	0.0876355	0.0872421	0.159015	0.189817	0.21322	0.26307
a54	0.0445857	0.0450783	0.0931302	0.195947	0.268979	0.35228
a73	0.046793	0.0486582	0.101985	0.172113	0.254813	0.375637
a2	0.0278561	0.0309581	0.0828063	0.176843	0.274331	0.407205
a10	0.0224729	0.0235455	0.0414503	0.0987556	0.298064	0.515711
a87	0.0256486	0.0240115	0.051448	0.105173	0.259811	0.533908
a10	0.0336414	0.0252268	0.0616184	0.131373	0.25051	0.497631
a82	0.025012	0.0221357	0.0581358	0.14749	0.261988	0.485239
a38	0.0266904	0.0212215	0.0696777	0.164763	0.281311	0.436336
a96	0.0438166	0.030798	0.0664046	0.144896	0.238636	0.475449
a12	0.0657156	0.0505241	0.0800551	0.164047	0.20937	0.430288
a43	0.0546058	0.0437034	0.0617339	0.124098	0.230981	0.484878
a75	0.0204553	0.0188354	0.0332353	0.0769181	0.219029	0.631527
a85	0.0377657	0.0311659	0.0444589	0.0983998	0.238589	0.549621
a73	0.00978101	0.00999502	0.0283144	0.0934845	0.257482	0.600943
a69	0.0150194	0.0151151	0.0257743	0.0713418	0.258224	0.614526
a76	0.00689965	0.00793161	0.015496	0.0386909	0.190864	0.740118
a73	0.0459663	0.0357034	0.053688	0.0859514	0.210926	0.567765
a69	0.00924198	0.00924396	0.0179474	0.0457209	0.228205	0.689641
a20	0.00652528	0.00623228	0.0134892	0.0325338	0.186082	0.755138
a84	0.0180526	0.0127102	0.0218983	0.0468586	0.234433	0.666047
a82	0.00536255	0.00511775	0.00950357	0.0253817	0.181068	0.773567
a58	0.00956833	0.00667285	0.0136406	0.0400483	0.237775	0.692294
a97	0.0107193	0.00683473	0.014119	0.0361156	0.228506	0.703705
a27	0.0102272	0.00546065	0.0119125	0.0437429	0.245011	0.683646
a82	0.0126687	0.00680461	0.0144039	0.0459714	0.272344	0.647808
a10	0.0427973	0.0220775	0.0516776	0.0989976	0.277551	0.506899
a87	0.0864898	0.0426788	0.0701546	0.115231	0.251426	0.43402
a10	0.0813546	0.0410014	0.0717685	0.117746	0.230896	0.457233
a82	0.11987	0.0666375	0.106927	0.151686	0.219196	0.335684
a10	0.129196	0.0643572	0.106012	0.130298	0.207324	0.362812
a87	0.0958206	0.048542	0.0803189	0.12192	0.226296	0.427103
a23	0.13492	0.0667096	0.0973689	0.132776	0.207914	0.36031
a10	0.0548932	0.0439872	0.0928156	0.17569	0.302786	0.329829
a97	0.0735015	0.0503418	0.0969502	0.162009	0.252386	0.364811
a82	0.0695079	0.0435038	0.0706224	0.127856	0.238111	0.450399
</S>	0.0866419	0.0506723	0.0802674	0.127041	0.225816	0.429562
