 	la	chaleur	fait	pourrir	les	aliments	</S>
a66	0.234685	0.174679	0.154718	0.224223	0.130003	0.0575167	0.0241753
a87	0.29864	0.0966507	0.108804	0.220893	0.154947	0.07819	0.0418747
a99	0.507466	0.178791	0.130182	0.104203	0.0356323	0.0224126	0.0213131
a87	0.427874	0.239723	0.193949	0.0894601	0.0230132	0.0135398	0.0124406
a23	0.371392	0.195911	0.202947	0.154453	0.041261	0.0202019	0.0138332
a62	0.396651	0.190921	0.169369	0.115681	0.0464909	0.0405638	0.0403222
a5	0.420191	0.211172	0.121666	0.0931271	0.0529439	0.0549849	0.0459145
a37	0.330591	0.234972	0.173378	0.123601	0.0549411	0.049702	0.0328159
a5	0.246341	0.277198	0.224041	0.128692	0.0522347	0.043338	0.028156
a21	0.183057	0.23488	0.248367	0.165973	0.0722149	0.0579077	0.0375997
a47	0.139095	0.214001	0.263693	0.214808	0.0870717	0.0524272	0.0289042
a31	0.133544	0.219306	0.270569	0.202885	0.0836248	0.0509423	0.0391286
a0	0.0982102	0.203027	0.277165	0.235023	0.0884694	0.0530704	0.0450357
a21	0.0666991	0.174202	0.26331	0.239118	0.111282	0.0784213	0.0669678
a12	0.0465679	0.102397	0.175274	0.245728	0.196651	0.128909	0.104473
a0	0.01968	0.0757182	0.168145	0.248742	0.219754	0.147118	0.120843
a21	0.0217464	0.0750441	0.149086	0.197152	0.203645	0.178878	0.174449
a61	0.0278403	0.0471948	0.0688453	0.112503	0.24424	0.267249	0.232128
a21	0.00989717	0.033758	0.0713726	0.0957959	0.222912	0.281396	0.284869
a5	0.0102115	0.0195387	0.0302153	0.0503078	0.19184	0.30312	0.394767
a18	0.00542491	0.0146788	0.0268289	0.0369621	0.151985	0.282825	0.481295
a61	0.0110111	0.014355	0.0225043	0.0234134	0.0691326	0.160937	0.698647
a88	0.00396065	0.00793058	0.0147515	0.0168465	0.0713705	0.176787	0.708353
a0	0.00230061	0.00391861	0.00872393	0.0130843	0.0597969	0.173334	0.738842
a75	0.0134351	0.0142651	0.0160548	0.0185048	0.0663173	0.160866	0.710557
a6	0.00101307	0.00152285	0.00293364	0.00759414	0.0519732	0.147925	0.787038
a36	0.000474897	0.000700195	0.00117229	0.00317191	0.028333	0.117334	0.848813
a2	0.015464	0.0135897	0.0127176	0.0172507	0.0736388	0.18255	0.684789
a57	0.141756	0.100621	0.0757964	0.0709225	0.105925	0.165369	0.339611
a87	0.33976	0.134441	0.110946	0.105137	0.0801483	0.0886267	0.14094
a23	0.317503	0.107891	0.0897826	0.0994022	0.0852981	0.105847	0.194276
a87	0.176973	0.0675718	0.0378657	0.0552843	0.091007	0.151776	0.419522
</S>	0.0523259	0.0222592	0.0174136	0.024487	0.0575079	0.147417	0.67859
