 	maman	est	en	train	de	moudre	le	sésame	avec	la	pierre	noire	</S>
a23	0.302542	0.128734	0.0721106	0.0399892	0.034866	0.0191571	0.0256933	0.0398529	0.0492872	0.0424466	0.047964	0.0793824	0.117974
a99	0.379141	0.153462	0.0566917	0.0320345	0.036208	0.0205288	0.0440391	0.0865907	0.0501221	0.0348478	0.0240859	0.0323406	0.0499077
a54	0.192276	0.119762	0.0634288	0.041795	0.0423492	0.0396281	0.0492845	0.075705	0.0648166	0.0568043	0.0531583	0.0701684	0.130824
a73	0.470942	0.223802	0.0796321	0.0356948	0.0260874	0.0176875	0.0206676	0.0230072	0.0261642	0.0216217	0.0165244	0.0165156	0.0216539
a7	0.293397	0.20649	0.124697	0.0734139	0.0588302	0.0387141	0.0290806	0.031129	0.0375775	0.028651	0.0236813	0.0253616	0.0289771
a53	0.149457	0.155685	0.138966	0.105508	0.0824389	0.067668	0.0477575	0.0529571	0.0548689	0.045073	0.0338581	0.033519	0.0322434
a15	0.0444297	0.0627878	0.0813239	0.0895629	0.0852036	0.120247	0.0955663	0.105602	0.078283	0.0667646	0.0508849	0.0577564	0.0615873
a98	0.0525438	0.0672269	0.0765693	0.0701308	0.07137	0.114465	0.104014	0.121932	0.0869348	0.0715532	0.0560704	0.0567202	0.0504689
a41	0.0603638	0.0757255	0.082463	0.0684138	0.0693812	0.105617	0.100014	0.119089	0.0839872	0.0720762	0.0558037	0.0562369	0.050829
a0	0.0497489	0.0557946	0.0622901	0.0611619	0.069934	0.133042	0.110781	0.134089	0.0862228	0.0735033	0.0559023	0.0568327	0.0506986
a11	0.0472423	0.0535578	0.0591193	0.055875	0.0694948	0.126395	0.109346	0.138329	0.0924072	0.0759415	0.0561187	0.0595598	0.0566134
a75	0.0501529	0.055643	0.0686221	0.0806893	0.10636	0.146943	0.105016	0.125071	0.0958658	0.0626374	0.0392242	0.0329765	0.0307992
a15	0.0259476	0.0290051	0.0314622	0.0339217	0.0451527	0.103928	0.113903	0.151147	0.115149	0.117668	0.0857193	0.0784269	0.0685689
a69	0.0151432	0.0174963	0.0210699	0.0267839	0.039461	0.10582	0.125334	0.161715	0.117521	0.126243	0.094685	0.0816028	0.067124
a0	0.00873662	0.00983087	0.0130299	0.0215773	0.0331051	0.11638	0.138942	0.188115	0.134655	0.127977	0.0891361	0.0690327	0.049483
a11	0.0165669	0.0176512	0.0220951	0.0351614	0.0455389	0.110077	0.125895	0.186168	0.134914	0.11375	0.0701862	0.0618131	0.0601824
a75	0.0203141	0.0220004	0.027999	0.0457451	0.0605322	0.120051	0.121853	0.174979	0.142785	0.104338	0.0605564	0.0479016	0.0509457
a56	0.0122666	0.0141722	0.0182989	0.0314206	0.0444694	0.104471	0.106815	0.157209	0.120837	0.121915	0.104057	0.0933706	0.0706988
a94	0.00731991	0.00806778	0.0103858	0.0208271	0.0323015	0.094219	0.101018	0.167976	0.139163	0.14005	0.113451	0.0947574	0.0704637
a90	0.00558393	0.00609866	0.00792249	0.0164116	0.0251867	0.0794069	0.085598	0.150682	0.132483	0.153172	0.130631	0.11287	0.0939536
a13	0.00642408	0.00723928	0.00958093	0.0212976	0.0293039	0.0867126	0.0898725	0.158502	0.122913	0.128763	0.123458	0.12092	0.095013
a53	0.00202602	0.00187694	0.00232606	0.00636999	0.0117879	0.0553398	0.0727214	0.139427	0.113705	0.164313	0.147026	0.139264	0.143817
a93	0.00683462	0.00673852	0.00811952	0.0176004	0.0240491	0.0792859	0.0742261	0.130784	0.10819	0.130875	0.132175	0.14241	0.138711
a98	0.00414641	0.00407772	0.00467215	0.00948018	0.0150847	0.0579571	0.0568186	0.104813	0.0931831	0.139515	0.154974	0.172416	0.182861
a44	0.00435155	0.00445257	0.00532946	0.0117775	0.0177974	0.0596068	0.0622287	0.105405	0.0881504	0.123417	0.139844	0.167656	0.209983
a53	0.00233824	0.00232383	0.00285663	0.00681646	0.0118637	0.0492191	0.0532934	0.0859576	0.0699188	0.112806	0.148886	0.195321	0.258399
a90	0.00212862	0.00193258	0.00235679	0.00598177	0.0109521	0.0501009	0.0485305	0.0747167	0.0582258	0.0925135	0.12811	0.194497	0.329954
a93	0.00354947	0.00360421	0.00436667	0.00958915	0.0146425	0.0562291	0.0582174	0.103032	0.0746516	0.107852	0.127321	0.174428	0.262517
a54	0.000994753	0.000941501	0.0012326	0.00315853	0.00615022	0.0316908	0.0348453	0.0490772	0.0368564	0.0637501	0.110935	0.231677	0.42869
a73	0.00207426	0.00185628	0.00245053	0.00716726	0.012929	0.059979	0.0649094	0.0942393	0.0508555	0.0639867	0.0850788	0.174659	0.379815
a2	0.00235682	0.00196733	0.00252105	0.00747369	0.0121901	0.0501846	0.0640981	0.0971048	0.0481847	0.0640609	0.0913576	0.187675	0.370826
a57	0.000656664	0.000479033	0.000486976	0.00104164	0.00153488	0.00779457	0.0169022	0.0375941	0.0235014	0.0497452	0.107125	0.29123	0.461908
a87	0.00575236	0.00278976	0.00171368	0.00172473	0.00184285	0.0045092	0.0119525	0.021853	0.0206207	0.0524313	0.103589	0.281302	0.489919
a23	0.0453299	0.024182	0.0141706	0.0118879	0.0111305	0.0204615	0.0398419	0.0757671	0.043114	0.0598949	0.0786142	0.215392	0.360214
a87	0.0510711	0.0261798	0.0149713	0.0106262	0.0106569	0.0246489	0.0512623	0.0797114	0.0588504	0.0921891	0.08906	0.186371	0.304401
</S>	0.0333	0.0196692	0.0138931	0.0133412	0.0112593	0.030669	0.0603578	0.086728	0.0463202	0.0669028	0.0685667	0.186796	0.362197
