 	monzo	peigne	ses	cheveux	</S>
a66	0.612704	0.185662	0.0969698	0.0675432	0.0371211
a87	0.378503	0.204835	0.16134	0.137288	0.118035
a97	0.674473	0.234085	0.0474485	0.024328	0.0196647
a87	0.734825	0.197419	0.0363389	0.0165248	0.0148923
a23	0.748675	0.190225	0.0322786	0.0152999	0.0135212
a53	0.79936	0.123204	0.0359399	0.0225063	0.0189903
a44	0.774487	0.154292	0.0394329	0.0186526	0.0131353
a90	0.312245	0.308555	0.209167	0.106344	0.0636895
a92	0.148405	0.293213	0.306397	0.163949	0.0880358
a47	0.101278	0.175905	0.302916	0.251094	0.168807
a0	0.0613404	0.142468	0.252249	0.289815	0.254128
a25	0.0546813	0.114889	0.215642	0.283405	0.331383
a98	0.0181128	0.0531999	0.152798	0.3036	0.472289
a15	0.0110432	0.0372933	0.14254	0.315454	0.493669
a56	0.00561708	0.018644	0.0773662	0.252066	0.646306
a32	0.00365069	0.0127279	0.0555981	0.200707	0.727317
a88	0.0009021	0.00355047	0.0199189	0.117514	0.858114
a71	0.00184173	0.00486822	0.0193958	0.117965	0.855929
a9	0.013361	0.0164632	0.0403059	0.153354	0.776516
a87	0.250668	0.102043	0.091387	0.14807	0.407832
a23	0.402937	0.158629	0.0908386	0.122124	0.225471
a87	0.122248	0.116434	0.0832881	0.166704	0.511327
a97	0.0510593	0.0557245	0.089167	0.219742	0.584307
a87	0.180103	0.143902	0.114805	0.171977	0.389212
a23	0.198936	0.19683	0.146883	0.171254	0.286097
a87	0.0618897	0.12278	0.120373	0.198175	0.496783
</S>	0.0388369	0.0845225	0.124286	0.238129	0.514226
