 	petite	brousse	qui	pousse	après	la	plantation	</S>
a23	0.283765	0.12524	0.105034	0.0977667	0.108446	0.0959718	0.0874935	0.0962844
a79	0.34297	0.134615	0.137138	0.0974595	0.0789601	0.0687933	0.0677235	0.0723404
a4	0.406866	0.208323	0.116581	0.0403213	0.0376754	0.0433706	0.0611228	0.08574
a58	0.479951	0.294519	0.119183	0.030685	0.0207507	0.0186493	0.0179466	0.0183161
a4	0.282752	0.284567	0.189651	0.086029	0.0464542	0.0333618	0.0340471	0.043138
a70	0.144626	0.178275	0.155084	0.114491	0.0858836	0.0804328	0.0983788	0.142829
a35	0.0926509	0.122719	0.128549	0.120888	0.105329	0.107046	0.133288	0.18953
a14	0.0910279	0.111671	0.121269	0.124506	0.116067	0.119486	0.139592	0.176381
a30	0.152531	0.152158	0.142086	0.143949	0.138674	0.110597	0.0834475	0.0765569
a2	0.0629225	0.0824278	0.131022	0.169011	0.140029	0.11578	0.142046	0.156761
a57	0.0565496	0.0696846	0.104746	0.127338	0.0994321	0.0966978	0.182764	0.262789
a87	0.0521915	0.0663549	0.104163	0.152831	0.131578	0.110901	0.151767	0.230213
</S>	0.158002	0.145162	0.168662	0.171961	0.119875	0.0734373	0.0645292	0.0983722
