 	la	manière	dont	il	est	blessé	au	dos	montre	que	quelqu'	un	l'	a	poignardé	</S>
a66	0.0542831	0.0404812	0.0425594	0.0722614	0.0979396	0.125639	0.126159	0.149347	0.0806679	0.0892356	0.0569594	0.0281021	0.0171496	0.00894816	0.00552764	0.00474077
a87	0.373653	0.188932	0.0888013	0.0529107	0.0294167	0.0344698	0.0344289	0.0405421	0.0193205	0.0214093	0.0229112	0.0217914	0.0198011	0.0192658	0.015082	0.0172647
a23	0.390004	0.12091	0.0802081	0.0656527	0.0561524	0.057591	0.0447827	0.0631832	0.0347611	0.0255566	0.0181991	0.010228	0.00751955	0.00673154	0.00692563	0.0115948
a18	0.260415	0.130046	0.107931	0.0638919	0.0642373	0.0720593	0.0513244	0.0829269	0.0432444	0.0347647	0.029324	0.0181041	0.0130046	0.00992842	0.00799936	0.0107993
a53	0.185429	0.123759	0.128034	0.0804864	0.074226	0.0749095	0.0572485	0.0937287	0.0465577	0.0398293	0.0287706	0.0190338	0.0145895	0.0114441	0.0101899	0.0117633
a79	0.251421	0.177239	0.141128	0.103811	0.0685648	0.0652983	0.0452902	0.0442503	0.0175041	0.0207527	0.0138918	0.0117809	0.0102377	0.0103768	0.0088314	0.00962111
a56	0.301955	0.204977	0.140428	0.113046	0.0639399	0.0566284	0.0350263	0.028028	0.00985461	0.0107368	0.00762666	0.00599867	0.00534296	0.00535861	0.00573873	0.00531409
a43	0.180124	0.221404	0.19849	0.135353	0.0858959	0.066968	0.0339544	0.0296694	0.0097266	0.0079496	0.00586574	0.00386526	0.00417196	0.00470161	0.00559361	0.00626547
a11	0.130542	0.184057	0.212852	0.144432	0.103621	0.0752558	0.0361275	0.0371609	0.0147215	0.0114683	0.00910988	0.0072717	0.007557	0.0085253	0.0087301	0.00856962
a31	0.0980757	0.135684	0.182191	0.132427	0.123998	0.097658	0.0502996	0.0556306	0.0261723	0.018328	0.0146171	0.0114996	0.0110762	0.0126604	0.0136953	0.0159868
a21	0.0963787	0.132667	0.173902	0.136163	0.116158	0.0984416	0.0582891	0.064226	0.0311229	0.0227843	0.0174898	0.012815	0.0113949	0.011164	0.00900634	0.00799572
a5	0.0430141	0.0685685	0.105865	0.123993	0.123766	0.12099	0.0959406	0.10495	0.0650124	0.0525188	0.0393443	0.0210494	0.0142297	0.00939689	0.00594741	0.00541414
a37	0.0130926	0.02241	0.0580834	0.103973	0.130812	0.131855	0.1032	0.119098	0.084987	0.0760908	0.0631573	0.0390667	0.0237768	0.0143	0.00826823	0.0078307
a36	0.0129558	0.0153797	0.038872	0.076591	0.121606	0.136597	0.116543	0.136308	0.109924	0.0821454	0.0571535	0.0304377	0.0209481	0.0151758	0.0130229	0.0163409
a90	0.0112663	0.00980485	0.0199268	0.0526136	0.108182	0.131987	0.11506	0.139837	0.124924	0.0957162	0.0650331	0.0349719	0.0261232	0.0191778	0.0178963	0.0274785
a56	0.00573484	0.00497868	0.0105472	0.031847	0.0870684	0.117455	0.118384	0.140925	0.152585	0.115583	0.0747344	0.0393263	0.028744	0.0200401	0.0188202	0.0332267
a43	0.00297217	0.003458	0.00784258	0.0224652	0.0712596	0.106235	0.1163	0.147824	0.150228	0.126818	0.083669	0.0450866	0.0310581	0.0240321	0.0230253	0.0377251
