 	cet	enfant	a	cassé	l'	assiette	</S>
a66	0.412604	0.202347	0.114564	0.118525	0.0850801	0.0393155	0.0275634
a87	0.326128	0.203719	0.141417	0.139509	0.0882574	0.0542964	0.0466731
a10	0.523488	0.186665	0.0908888	0.0543437	0.0472049	0.0478003	0.0496096
a97	0.547057	0.217706	0.100429	0.0484454	0.0304806	0.0253733	0.0305092
a10	0.502359	0.216822	0.111939	0.0568486	0.0362776	0.0333643	0.0423897
a97	0.515135	0.195846	0.101899	0.0575311	0.039879	0.0396285	0.0500801
a38	0.493306	0.187088	0.0993057	0.0604263	0.0470694	0.0498418	0.0629621
a90	0.451344	0.178022	0.111783	0.0810326	0.0608304	0.0561434	0.0608441
a98	0.427004	0.233723	0.153128	0.0850855	0.0444833	0.0295336	0.0270426
a85	0.213656	0.209115	0.235777	0.16886	0.0828257	0.0489482	0.0408183
a98	0.176002	0.217178	0.246099	0.199531	0.0910133	0.0411929	0.0289835
a15	0.14322	0.220047	0.270519	0.205638	0.0925394	0.0400323	0.0280039
a79	0.130663	0.202954	0.255654	0.208689	0.114807	0.0526009	0.0346334
a56	0.128242	0.190629	0.254255	0.209066	0.109561	0.0572972	0.0509494
a96	0.0961989	0.122453	0.165768	0.218642	0.168856	0.108588	0.119495
a70	0.0522462	0.0572295	0.0818104	0.164126	0.212888	0.195606	0.236094
a93	0.0381418	0.038195	0.0489092	0.101729	0.186578	0.26268	0.323767
a75	0.024091	0.0235368	0.0318579	0.0747695	0.172203	0.296802	0.376739
a85	0.00296903	0.00436003	0.00938831	0.0350049	0.114961	0.312168	0.521149
a0	0.000948726	0.00165341	0.00407264	0.0188269	0.0787873	0.319615	0.576096
a54	0.00181409	0.00246754	0.00404519	0.0143657	0.0654468	0.273385	0.638475
a6	0.000945991	0.00158422	0.00275885	0.0109962	0.0548579	0.269273	0.659584
a37	0.00068781	0.00111281	0.00173803	0.00644515	0.0342849	0.235607	0.720124
a26	0.00190991	0.003422	0.005852	0.0188715	0.0786013	0.282195	0.609149
a82	0.026346	0.0335253	0.0419405	0.0792648	0.148503	0.263231	0.407189
a97	0.148545	0.0786246	0.0641632	0.0838955	0.1256	0.192291	0.306881
a87	0.284115	0.124267	0.075547	0.076044	0.0931209	0.151096	0.195809
a97	0.201326	0.104862	0.0782237	0.0805627	0.10756	0.19361	0.233855
a10	0.15692	0.100539	0.0796165	0.0775174	0.102555	0.204915	0.277937
a3	0.0712734	0.058611	0.0601524	0.0716035	0.110011	0.245313	0.383036
</S>	0.0786996	0.0781482	0.0846863	0.0946459	0.119699	0.218163	0.325958
