 	la	plante	parasite	lekumu	a	déjà	détruit	ce	palmier	à	huile	</S>
a66	0.14094	0.0956322	0.0957729	0.0814558	0.112634	0.14655	0.142619	0.0946494	0.0515642	0.0205088	0.0104851	0.00718921
a87	0.329109	0.0854971	0.0272826	0.0121318	0.0219106	0.0521674	0.114454	0.13957	0.0984724	0.0607183	0.0322032	0.0264831
a97	0.122931	0.0702161	0.0715351	0.0301708	0.0405362	0.0787146	0.110192	0.150352	0.125494	0.0856235	0.0608334	0.0534011
a99	0.13289	0.088955	0.137782	0.0537407	0.070558	0.114315	0.128346	0.124786	0.0755643	0.0338531	0.0209555	0.0182535
a97	0.145106	0.105107	0.227127	0.0616254	0.0743868	0.10822	0.10167	0.0868695	0.0416474	0.0225893	0.0133016	0.0123502
a83	0.148543	0.0889825	0.171945	0.0765296	0.082397	0.117776	0.117185	0.0970762	0.0459448	0.0250701	0.0152542	0.0132973
a62	0.199898	0.169081	0.252748	0.0718805	0.0606231	0.0658264	0.0703772	0.0647964	0.0223972	0.0112875	0.00641831	0.00466606
a70	0.194926	0.242532	0.273473	0.0685086	0.037879	0.0449118	0.0464476	0.0492607	0.0257304	0.00931028	0.00445077	0.00257008
a66	0.202021	0.231379	0.221389	0.0875001	0.0444662	0.0470634	0.0450381	0.0447527	0.0380258	0.0190277	0.0121003	0.00723653
a70	0.10601	0.197755	0.179774	0.117011	0.0703719	0.0652635	0.0549345	0.0533264	0.0644889	0.0380903	0.0298697	0.0231044
a34	0.0937957	0.181812	0.162026	0.162809	0.105621	0.0893785	0.0638093	0.0400073	0.042368	0.0223151	0.0203805	0.0156774
a61	0.103201	0.185689	0.145827	0.193001	0.0974308	0.079947	0.0560823	0.0335966	0.0405051	0.0239598	0.0227536	0.0180069
a62	0.0697819	0.107658	0.0971392	0.227826	0.143952	0.112656	0.0730344	0.0393086	0.0416692	0.0263327	0.0309138	0.0297283
a0	0.0673175	0.0845354	0.0686489	0.197044	0.150529	0.127118	0.0933813	0.0565022	0.0574055	0.0342724	0.0325005	0.0307456
a93	0.0288918	0.0318163	0.0296111	0.153713	0.16209	0.14899	0.120257	0.0788793	0.0822664	0.0564059	0.053737	0.0533424
a70	0.0396913	0.0452089	0.041331	0.159526	0.1424	0.129671	0.10419	0.0724124	0.0772883	0.0611483	0.0634459	0.0636858
a93	0.0227666	0.0243966	0.0196813	0.094983	0.108076	0.113601	0.108078	0.102327	0.116199	0.105457	0.0959061	0.0885286
a96	0.025166	0.0246835	0.0208122	0.0808731	0.0906772	0.0978435	0.0991127	0.102131	0.116468	0.118531	0.115343	0.108359
a12	0.0107527	0.0110973	0.00786151	0.0306386	0.0399535	0.0476211	0.05687	0.0842562	0.124313	0.19146	0.206006	0.18917
a47	0.00341102	0.00373477	0.00234344	0.0108711	0.0140849	0.0178417	0.0246656	0.0451538	0.08127	0.206263	0.297681	0.29268
a62	0.00338176	0.00439017	0.00249274	0.0115114	0.0141577	0.0181294	0.0253843	0.0503841	0.0877826	0.235869	0.276361	0.270157
a88	0.00107314	0.00163416	0.000861526	0.00545687	0.00701884	0.00912405	0.0121222	0.0344752	0.0730347	0.227364	0.303875	0.323961
a62	0.00069672	0.000958803	0.000486679	0.00368565	0.0054054	0.00811193	0.0123425	0.0341537	0.0599386	0.191568	0.294185	0.388467
a21	0.000904175	0.00147052	0.000781879	0.00518143	0.00663124	0.00910303	0.0120767	0.0318897	0.0573019	0.18669	0.304655	0.383314
a12	0.000140961	0.000223175	0.000110595	0.000789784	0.00107521	0.00193298	0.00367879	0.0097947	0.0181804	0.0932635	0.302437	0.568373
a18	0.000188108	0.000332688	0.000123317	0.00121765	0.00136587	0.00226575	0.00396695	0.00980092	0.0192415	0.0983371	0.292776	0.570384
a88	0.000990766	0.000983771	0.000393382	0.00407845	0.00469043	0.00682634	0.00993077	0.0168555	0.0239713	0.0820955	0.249269	0.599915
a9	0.00136627	0.0013822	0.000522773	0.00525481	0.00683449	0.00997067	0.0140975	0.0213073	0.027487	0.0966856	0.259641	0.55545
a99	0.0238865	0.0189648	0.00918846	0.0184983	0.024097	0.0394235	0.0578976	0.0596426	0.0565382	0.135778	0.22935	0.326735
a97	0.0738941	0.0353314	0.0218961	0.016282	0.0222431	0.036779	0.0495126	0.0646587	0.0741617	0.1242	0.186689	0.294352
a3	0.0829121	0.030207	0.0193582	0.0109731	0.0158954	0.0318413	0.045106	0.0589835	0.0747684	0.137721	0.209896	0.282338
a97	0.0380095	0.0169889	0.0139348	0.00727399	0.0109777	0.0190689	0.026622	0.0365099	0.0510418	0.129321	0.245902	0.404349
a57	0.0267479	0.0127573	0.0110907	0.00841516	0.0125625	0.0209416	0.0272031	0.0337307	0.0425388	0.102169	0.234065	0.467778
</S>	0.0249282	0.0138273	0.0121031	0.0118209	0.0155591	0.0220801	0.0277369	0.0312023	0.0389628	0.0913263	0.217478	0.492975
