 	cette	machette-ci	est	émoussée	</S>
a66	0.31272	0.333579	0.153081	0.1413	0.0593197
a87	0.236991	0.352471	0.175318	0.149317	0.0859023
a82	0.241847	0.264647	0.130964	0.230762	0.131779
a97	0.310859	0.26674	0.0964321	0.199043	0.126926
a3	0.320993	0.30632	0.106031	0.175046	0.0916096
a38	0.287588	0.287199	0.114371	0.20171	0.109132
a11	0.269682	0.323752	0.137763	0.186489	0.0823147
a34	0.312494	0.298572	0.131851	0.160257	0.096826
a35	0.4771	0.220881	0.0958205	0.0989517	0.107247
a75	0.363645	0.217541	0.132728	0.12105	0.165036
a96	0.501943	0.231339	0.106209	0.0652685	0.0952413
a90	0.396239	0.234407	0.133891	0.102698	0.132764
a25	0.37963	0.245869	0.138477	0.0929228	0.143101
a41	0.27455	0.236236	0.161437	0.129077	0.1987
a44	0.13179	0.149704	0.173118	0.235639	0.309749
a34	0.115955	0.179356	0.181054	0.22829	0.295345
a56	0.142959	0.22698	0.200869	0.209614	0.219578
a75	0.0741379	0.193716	0.221441	0.266676	0.244029
a56	0.0407171	0.104127	0.17977	0.313858	0.361527
a13	0.0364414	0.102384	0.18723	0.335438	0.338507
a9	0.0151563	0.0810953	0.16529	0.353521	0.384937
a38	0.00969143	0.0340286	0.0871117	0.311995	0.557173
a94	0.00712922	0.0232532	0.0714279	0.377896	0.520294
a70	0.00151665	0.00971279	0.0419987	0.321953	0.624819
a99	0.00211841	0.0124736	0.0581402	0.440005	0.487263
a9	0.00974886	0.0287975	0.0798945	0.466059	0.415501
a87	0.040458	0.0691085	0.113586	0.425835	0.351013
a97	0.0882426	0.138869	0.167081	0.348572	0.257236
a99	0.0859871	0.182674	0.149251	0.337912	0.244176
a82	0.0727219	0.112422	0.10988	0.26066	0.444317
</S>	0.116109	0.139449	0.114429	0.238084	0.391928
