 	la	femme	était	en	train	de	frotter	la	marmite	contre	le	sol	</S>
a66	0.135219	0.0886383	0.0692371	0.077784	0.131233	0.128805	0.157302	0.0753514	0.0508093	0.0421403	0.0203758	0.0155328	0.00757264
a87	0.167594	0.103478	0.0776128	0.0725581	0.0847302	0.0798453	0.0616594	0.05177	0.049097	0.0463904	0.0455105	0.0709304	0.0888235
a23	0.34876	0.21514	0.11977	0.079259	0.0569858	0.0342894	0.018892	0.0127447	0.0148682	0.0179731	0.0159594	0.0231336	0.0422244
a87	0.297485	0.183159	0.121778	0.0755544	0.0565663	0.0410994	0.0322773	0.0300007	0.0313777	0.0344876	0.0268345	0.030466	0.0389147
a97	0.214749	0.150489	0.122411	0.08563	0.0676124	0.0493448	0.042144	0.0384521	0.0460575	0.0509912	0.0423539	0.044008	0.0457568
a87	0.198067	0.135473	0.1041	0.07363	0.062442	0.0502664	0.0487272	0.0384154	0.0489678	0.0586127	0.0541713	0.0605791	0.0665488
a23	0.190653	0.127448	0.0902116	0.0636964	0.0560422	0.0477084	0.0505542	0.0427916	0.0548418	0.0683437	0.0636263	0.0718515	0.0722317
a30	0.173889	0.11682	0.0816062	0.0548931	0.0472471	0.0433105	0.0663115	0.0526206	0.0613498	0.0808262	0.0734574	0.078791	0.0688783
a70	0.177443	0.158793	0.117669	0.073632	0.0548249	0.0418789	0.0584289	0.0443385	0.0477374	0.0624835	0.0532712	0.0580129	0.051487
a62	0.255278	0.225559	0.164406	0.0911526	0.0605328	0.0378781	0.0332405	0.0202975	0.0205326	0.0232652	0.0222803	0.0247191	0.0208575
a93	0.237962	0.224344	0.167146	0.098466	0.0664042	0.0399666	0.0333916	0.0235117	0.02307	0.0232267	0.0215384	0.0219477	0.0190253
a79	0.146251	0.162791	0.164164	0.123107	0.0956141	0.063394	0.0528776	0.0357866	0.0333736	0.0324229	0.0310945	0.0321432	0.0269807
a47	0.100878	0.116975	0.131283	0.108221	0.092332	0.0757276	0.0758878	0.0624101	0.0544483	0.0491026	0.0467001	0.0459181	0.0401166
a85	0.0946576	0.100275	0.107308	0.0925774	0.0873293	0.0898545	0.103235	0.0904531	0.0665414	0.0529881	0.0443169	0.0394881	0.0309761
a37	0.0744254	0.0946683	0.123251	0.120834	0.117703	0.108587	0.105644	0.0766179	0.054309	0.0369053	0.0295491	0.0266036	0.0309023
a47	0.0762584	0.0917021	0.123247	0.127516	0.130983	0.119571	0.108317	0.0744623	0.0479532	0.0328886	0.0257815	0.0211643	0.0201553
a75	0.0473137	0.0635168	0.0957026	0.111073	0.121742	0.128371	0.12956	0.111888	0.0707867	0.0394839	0.031235	0.0234495	0.0258767
a85	0.0265048	0.0361125	0.0649295	0.0939936	0.129226	0.141803	0.156659	0.111046	0.0800551	0.0530899	0.0421062	0.0331969	0.0312788
a47	0.0231855	0.0331048	0.0598412	0.0893959	0.116726	0.127004	0.129522	0.109286	0.0840656	0.058321	0.0602801	0.0555311	0.0537378
a7	0.00993019	0.0160242	0.0329224	0.0641405	0.104063	0.147196	0.179924	0.151057	0.100127	0.0557024	0.0471689	0.0375798	0.0541644
a26	0.0125765	0.0155629	0.0270373	0.0502973	0.0859612	0.118138	0.173447	0.16356	0.11014	0.0666703	0.0564189	0.0431517	0.077038
a70	0.0135274	0.016169	0.0219494	0.0336729	0.0568121	0.0886037	0.153538	0.211378	0.143286	0.0906447	0.0639113	0.0452266	0.0612806
a93	0.0110994	0.0120619	0.0161261	0.0244881	0.043993	0.073013	0.152975	0.183557	0.143844	0.104542	0.0830526	0.0651384	0.0861091
a98	0.00772319	0.00941663	0.0144391	0.0242025	0.0468511	0.0734861	0.152357	0.137308	0.127187	0.103255	0.0996653	0.0873656	0.116743
a47	0.00317885	0.00376145	0.00548145	0.00918578	0.019018	0.0365862	0.101228	0.135154	0.135665	0.113233	0.13334	0.121926	0.182242
a37	0.00459665	0.00559519	0.00771019	0.0130963	0.0267965	0.0499284	0.10757	0.155283	0.137803	0.10451	0.109307	0.0895856	0.188218
