 	il	fut	traité	avec	bonté	</S>
a40	0.289041	0.195495	0.128499	0.10265	0.13349	0.150825
a6	0.16411	0.132963	0.0952191	0.111973	0.187253	0.308481
a36	0.34951	0.256756	0.0985469	0.0797827	0.102977	0.112427
a27	0.37342	0.208023	0.0680177	0.0633837	0.118153	0.169003
a75	0.351729	0.200737	0.0958434	0.0707006	0.117264	0.163727
a25	0.170451	0.135393	0.128601	0.148559	0.188196	0.228801
a69	0.215392	0.203606	0.168867	0.134494	0.132066	0.145575
a58	0.179134	0.169426	0.156628	0.139596	0.164418	0.190797
a26	0.129909	0.127016	0.132451	0.144456	0.203346	0.262821
a75	0.076747	0.0765893	0.103229	0.142614	0.232242	0.368579
a5	0.0570375	0.0742496	0.144212	0.190023	0.238325	0.296153
a18	0.0696337	0.0887892	0.203548	0.213643	0.204241	0.220146
a25	0.0418275	0.0467328	0.101701	0.143786	0.26029	0.405662
a87	0.0124876	0.0158705	0.0386331	0.0910091	0.264326	0.577673
a23	0.00288696	0.00441086	0.0156952	0.0682594	0.282777	0.62597
a87	0.00552359	0.00955032	0.0405609	0.143102	0.291623	0.50964
</S>	0.00531175	0.0117431	0.0504425	0.147458	0.292787	0.492258
