 	le	fou	a	porté	des	habits	déchiquetés	</S>
a87	0.0757996	0.0658478	0.156507	0.295659	0.23295	0.127636	0.0295331	0.0160667
a97	0.0988506	0.074038	0.125454	0.204201	0.187584	0.184766	0.0680815	0.0570254
a87	0.245225	0.204491	0.219601	0.177875	0.0738146	0.0455992	0.015386	0.0180082
a99	0.273964	0.237655	0.21559	0.141348	0.062721	0.0409785	0.0144585	0.0132842
a87	0.272715	0.211786	0.25655	0.124047	0.0549865	0.035143	0.023405	0.0213677
a23	0.222713	0.174132	0.240798	0.148647	0.0830698	0.0521518	0.0394346	0.039053
a10	0.188545	0.170497	0.208377	0.127014	0.0912862	0.0707451	0.0658628	0.0776729
a62	0.242246	0.148479	0.107666	0.0709985	0.067797	0.0572027	0.101669	0.203942
a21	0.401337	0.250224	0.158442	0.0798938	0.0421788	0.022676	0.0231484	0.0221001
a56	0.364369	0.249688	0.211327	0.0846392	0.0375468	0.0164607	0.0181606	0.0178087
a90	0.235955	0.195326	0.201	0.0959844	0.0769539	0.0581877	0.0708615	0.0657321
a75	0.179581	0.173476	0.184813	0.140488	0.129027	0.0722931	0.0651356	0.0551865
a96	0.138489	0.150589	0.201755	0.194324	0.145085	0.067677	0.0528516	0.0492298
a47	0.120289	0.124075	0.10845	0.125118	0.199875	0.124616	0.106926	0.0906511
a75	0.10461	0.101666	0.0706504	0.105027	0.210646	0.152484	0.142447	0.11247
a85	0.124312	0.095061	0.083282	0.134365	0.178289	0.116102	0.135653	0.132935
a21	0.122676	0.111404	0.089371	0.137639	0.173934	0.106059	0.131415	0.127503
a47	0.144332	0.107132	0.0872091	0.117729	0.166659	0.144173	0.134353	0.0984137
a88	0.0918412	0.058226	0.033523	0.0499662	0.122471	0.19959	0.250885	0.193498
a71	0.028728	0.0171677	0.00899627	0.013802	0.0431963	0.12661	0.413913	0.347586
a75	0.0108372	0.00757488	0.00455822	0.00564419	0.0175727	0.0450218	0.384474	0.524317
a85	0.0168946	0.00818645	0.00525194	0.00814421	0.0236439	0.0546019	0.320941	0.562336
a66	0.0116708	0.00537663	0.00322638	0.00478229	0.0156712	0.0413693	0.350813	0.56709
a38	0.00160245	0.000851557	0.000574762	0.000725861	0.00319312	0.0119596	0.248987	0.732106
a75	0.00203438	0.00096552	0.000807321	0.000886502	0.00283836	0.00942422	0.202742	0.780301
a36	0.00273634	0.00172937	0.00155439	0.00190377	0.00916235	0.0267523	0.228375	0.727786
a57	0.00154638	0.000651165	0.000522111	0.000701089	0.00287726	0.0123637	0.231775	0.749564
a87	0.0338925	0.0140738	0.0106019	0.013931	0.0211565	0.0417113	0.22586	0.638773
a23	0.0408945	0.0217035	0.0308327	0.0640922	0.071697	0.112087	0.26319	0.395503
a87	0.0214062	0.0139141	0.0208582	0.037007	0.0441107	0.0884834	0.224871	0.54935
a23	0.00454599	0.00320472	0.00570864	0.0109957	0.0233974	0.078489	0.261379	0.61228
a87	0.00370569	0.00222877	0.00324398	0.00812379	0.0224449	0.0727453	0.227672	0.659836
</S>	0.00351166	0.00268236	0.00502148	0.0111536	0.0276771	0.0773455	0.238944	0.633665
