 	la	promenade	à	laquelle	ils	sont	partis	s'	est	mal	terminée	</S>
a66	0.260945	0.182666	0.0730254	0.0733164	0.0572853	0.0755056	0.099803	0.0638601	0.0372676	0.0277177	0.0252888	0.0233193
a87	0.275352	0.0786255	0.0385433	0.0987776	0.0669201	0.0494777	0.0703775	0.0755144	0.0555967	0.0529932	0.0659233	0.0718985
a23	0.522242	0.232128	0.0762086	0.037712	0.0217326	0.0175579	0.0146514	0.0129134	0.0130763	0.0117418	0.0152464	0.0247904
a83	0.339029	0.372512	0.150654	0.029015	0.0147817	0.00920097	0.00698326	0.0050165	0.00697387	0.00909909	0.0200551	0.0366795
a12	0.304847	0.358007	0.0778571	0.044921	0.0371961	0.0406388	0.0380451	0.0183801	0.0186464	0.0173852	0.0207432	0.023333
a96	0.358712	0.262177	0.0585869	0.0464928	0.0512453	0.0630937	0.0743821	0.0284085	0.0218732	0.0159331	0.0117182	0.0073774
a98	0.303935	0.229185	0.0885092	0.0660627	0.0721174	0.076442	0.0727594	0.0257608	0.0199898	0.0182234	0.0166513	0.0103636
a92	0.0681587	0.0726079	0.0577238	0.0841927	0.11479	0.148386	0.170227	0.0745321	0.0645646	0.0586815	0.0509111	0.0352245
a37	0.054731	0.0463101	0.0552991	0.135036	0.164476	0.151765	0.161902	0.0621674	0.0488836	0.0425838	0.0470327	0.0298131
a11	0.0808534	0.0731526	0.069065	0.194236	0.165087	0.139032	0.132732	0.0463161	0.0281929	0.0235384	0.0290795	0.0187156
a62	0.0206085	0.0214205	0.0322561	0.151944	0.179683	0.184378	0.168848	0.0741241	0.0471195	0.039709	0.0486455	0.0312652
a96	0.00884924	0.00930396	0.0142568	0.0832217	0.127511	0.175524	0.162487	0.111889	0.0895258	0.0697881	0.0851625	0.0624808
a88	0.0113823	0.00841811	0.010399	0.0325337	0.0921745	0.188335	0.155189	0.136951	0.106494	0.0819991	0.0888711	0.0872527
a31	0.00719759	0.00430546	0.00509549	0.0133662	0.0487989	0.132717	0.118824	0.124444	0.124105	0.125054	0.139054	0.157038
a24	0.00564073	0.00426245	0.00528679	0.0116934	0.0397296	0.0948288	0.0802447	0.110832	0.135331	0.156574	0.164922	0.190655
a0	0.00220271	0.00119966	0.0015054	0.00320968	0.0098815	0.0359191	0.041287	0.0682105	0.108058	0.160267	0.219694	0.348565
a11	0.00320498	0.00125625	0.00129302	0.0033512	0.00793666	0.0263803	0.0329566	0.0592406	0.1014	0.148406	0.21961	0.394964
a93	0.00243874	0.0013596	0.00125536	0.00298967	0.00628381	0.0233218	0.0299176	0.0580169	0.104172	0.141394	0.195984	0.432866
a4	0.00130933	0.000646788	0.000630773	0.00131661	0.00414503	0.0159326	0.0221471	0.0481028	0.096052	0.144899	0.20976	0.455058
a13	0.000467949	0.000152436	0.00013469	0.000300872	0.000630526	0.00186624	0.00366166	0.014068	0.0436952	0.0977023	0.177981	0.65934
a34	0.000870856	0.000177858	0.000148629	0.000344206	0.000573668	0.00201168	0.00528684	0.0271581	0.0854466	0.171733	0.248667	0.457582
a62	0.000528233	0.000116229	8.65265e-05	0.000218338	0.000455153	0.00159991	0.00441611	0.0189694	0.0614839	0.141859	0.212553	0.557715
a88	0.000299199	8.50119e-05	6.33381e-05	0.000142957	0.000246587	0.000753828	0.0018119	0.0098414	0.040666	0.121031	0.212136	0.612922
a71	0.000213813	6.51859e-05	6.42725e-05	0.00013018	0.00026677	0.00114114	0.00290608	0.0133563	0.051739	0.14176	0.21311	0.575246
a9	0.00264021	0.000923915	0.000773544	0.00169662	0.00300569	0.0110021	0.0183751	0.0531328	0.103272	0.186166	0.214306	0.404707
a99	0.0274574	0.013826	0.00851896	0.0166561	0.0252228	0.0460104	0.0469765	0.0821751	0.101328	0.141763	0.149287	0.340778
a87	0.0810992	0.0348705	0.0171656	0.0238167	0.0380553	0.0642122	0.0654296	0.0943366	0.110135	0.127676	0.149601	0.193603
a23	0.179844	0.0463301	0.0305301	0.0410142	0.0462807	0.0590799	0.0535232	0.0664443	0.0827205	0.102721	0.106732	0.18478
a87	0.034019	0.00830913	0.00818488	0.0121143	0.0125253	0.0134722	0.0154792	0.0287268	0.068952	0.140037	0.230749	0.427431
</S>	0.00830143	0.00273848	0.00232371	0.00360771	0.00387696	0.00493497	0.00692832	0.0146019	0.0479365	0.119323	0.298471	0.486955
