 	l'	éléphant	barrit	</S>
a23	0.731405	0.170013	0.0528235	0.0457586
a87	0.713191	0.183581	0.0519765	0.0512515
a23	0.485179	0.287445	0.114995	0.112382
a13	0.618348	0.224699	0.0725734	0.0843804
a38	0.64578	0.220603	0.0687301	0.0648869
a90	0.48198	0.366308	0.100213	0.0515
a76	0.313069	0.41143	0.176753	0.0987479
a12	0.425277	0.349764	0.131658	0.0933009
a24	0.281981	0.342627	0.210305	0.165086
a43	0.161327	0.231332	0.283019	0.324323
a20	0.10047	0.177928	0.302907	0.418694
a73	0.0846934	0.135763	0.27787	0.501674
a94	0.073131	0.129215	0.323995	0.473659
a96	0.0256772	0.0478953	0.239471	0.686957
a24	0.0187246	0.0370902	0.211972	0.732213
a41	0.0176058	0.0344858	0.203204	0.744704
a27	0.0312507	0.0582942	0.227461	0.682994
a57	0.0362608	0.0484171	0.171401	0.743921
a87	0.0644091	0.0593749	0.136044	0.740172
</S>	0.20299	0.109047	0.180208	0.507755
