 	il	m'	a	appelé	pour	juger	l'	affaire	qui	l'	opposait	à	sa	femme	</S>
a66	0.107566	0.127077	0.086281	0.103642	0.108966	0.0927326	0.110891	0.0771497	0.0740965	0.0592533	0.0371716	0.00350983	0.00360136	0.00394239	0.00411986
a87	0.242033	0.269277	0.130866	0.108226	0.0700077	0.0378354	0.034224	0.0237451	0.0189418	0.0132994	0.00698967	0.00584536	0.0100886	0.0128542	0.0157657
a23	0.258389	0.207252	0.124179	0.108953	0.0581201	0.0459758	0.0519661	0.0365201	0.0235168	0.0154909	0.00972266	0.00607261	0.00995655	0.0160467	0.027839
a79	0.260526	0.241244	0.107997	0.083897	0.0311468	0.0221906	0.0277951	0.023363	0.0252772	0.0142367	0.00848926	0.012507	0.0245429	0.0383401	0.0784477
a20	0.20384	0.147806	0.0963384	0.0611702	0.056274	0.0440659	0.0400688	0.0352328	0.0446257	0.0474595	0.0444217	0.0287817	0.0388682	0.045914	0.0651329
a44	0.199667	0.151086	0.11177	0.071221	0.0550461	0.0371768	0.0360823	0.0401772	0.0557408	0.0592949	0.0572238	0.0333356	0.0326683	0.0280635	0.0314465
a12	0.149768	0.13289	0.131501	0.110038	0.099604	0.0736621	0.073916	0.0536408	0.0439453	0.0313966	0.0238896	0.0178185	0.0206663	0.0163863	0.0208765
a47	0.123963	0.0908817	0.086705	0.0779658	0.0811625	0.0682776	0.0791517	0.0776304	0.092583	0.0800089	0.0598418	0.0203696	0.019941	0.0164456	0.0250729
a62	0.0946731	0.0747595	0.0732796	0.0687018	0.0766622	0.0818124	0.105535	0.104474	0.110028	0.0811189	0.0566549	0.0229736	0.0189575	0.0153476	0.0150218
a88	0.0529251	0.0449988	0.0564581	0.0540775	0.0719386	0.0798217	0.113223	0.13143	0.149553	0.112166	0.0776765	0.0190633	0.0137361	0.0110788	0.011855
a75	0.0261522	0.0240035	0.0367822	0.0408003	0.0651045	0.0982573	0.142694	0.161472	0.162476	0.117279	0.0723685	0.0197841	0.0128646	0.00984647	0.0101163
a6	0.0201409	0.0201628	0.0289194	0.0392081	0.0510477	0.0639482	0.086052	0.102562	0.144765	0.151012	0.161205	0.0377403	0.0306776	0.0268648	0.0356945
a36	0.0132463	0.0145749	0.0218557	0.0366041	0.0540712	0.068115	0.0891471	0.107139	0.124201	0.127547	0.137586	0.0457991	0.0475302	0.0452994	0.0672841
a2	0.0141912	0.0140396	0.0227794	0.0359506	0.0596132	0.0824995	0.118241	0.137927	0.134644	0.117194	0.10381	0.0333582	0.0359925	0.0350883	0.0546715
a57	0.0113543	0.010783	0.0180064	0.0306511	0.0635094	0.0873079	0.132363	0.184987	0.184175	0.121101	0.0695179	0.0177038	0.0177627	0.0206822	0.0300953
a83	0.0163153	0.0137059	0.0170324	0.0258461	0.0531274	0.0795327	0.115906	0.178254	0.194512	0.113612	0.0658986	0.0235389	0.0257943	0.0308909	0.0460343
a62	0.0148729	0.0115616	0.0138328	0.0175689	0.028484	0.0413279	0.0787362	0.142034	0.160241	0.111742	0.0962345	0.0409119	0.0536649	0.0711639	0.117623
a83	0.0102839	0.00816252	0.0102098	0.0106777	0.0180875	0.0374031	0.0737492	0.147451	0.199321	0.171525	0.152094	0.0351466	0.0322636	0.0366109	0.0570145
a9	0.0107858	0.00868774	0.0101712	0.00970502	0.0140501	0.0305507	0.0596324	0.137438	0.193386	0.174929	0.167134	0.0421187	0.0382253	0.0419529	0.0612324
a54	0.0160922	0.0130899	0.015666	0.0162352	0.025462	0.0418061	0.0576716	0.137464	0.178269	0.149621	0.136121	0.0472886	0.0449299	0.0481855	0.0720989
a79	0.00290925	0.00259942	0.00346573	0.00459322	0.00712412	0.0149294	0.0236811	0.040231	0.0683016	0.0981348	0.166395	0.114083	0.126457	0.138477	0.188619
a7	0.00268186	0.00236539	0.00321206	0.0037865	0.0054248	0.01298	0.0198369	0.0398162	0.0680138	0.113777	0.222198	0.128376	0.127216	0.119379	0.130936
a79	0.00265129	0.00250513	0.00363091	0.00493326	0.00822096	0.0218133	0.034841	0.0813298	0.120445	0.126532	0.161568	0.0995713	0.0977573	0.0980431	0.136157
a6	0.00211606	0.00170159	0.00218749	0.0023816	0.0041062	0.0145952	0.0209399	0.0411036	0.0659036	0.096477	0.172678	0.114879	0.124499	0.145948	0.190483
a37	0.00163725	0.00132845	0.00182363	0.00205094	0.00377667	0.0140473	0.0207139	0.0432756	0.0701131	0.106674	0.199116	0.138131	0.131047	0.126099	0.140166
a96	0.00186403	0.00159268	0.00243995	0.0028748	0.0045914	0.0168382	0.0243048	0.0545815	0.0814714	0.0953069	0.156981	0.135334	0.130831	0.131124	0.159865
a62	0.00200591	0.00172774	0.00254937	0.00292858	0.00408897	0.0141289	0.0185546	0.0434761	0.0721134	0.0945709	0.17491	0.127307	0.122771	0.139082	0.179786
a83	0.00262138	0.00219853	0.00299767	0.00312578	0.00417652	0.0143201	0.0178385	0.0387963	0.0648164	0.0765535	0.147072	0.127353	0.124083	0.151771	0.222276
a53	0.00148884	0.00129365	0.00177004	0.00200068	0.00275421	0.0089296	0.0107236	0.0215847	0.0386588	0.0505175	0.109549	0.147796	0.153545	0.188523	0.260865
a90	0.000607209	0.000555265	0.000805798	0.00105987	0.00162086	0.00493098	0.00597534	0.0140769	0.0294121	0.0523446	0.129628	0.153832	0.149283	0.186968	0.2689
a44	0.000525117	0.00047672	0.000676636	0.000841864	0.00129432	0.00412788	0.00519207	0.0135449	0.0300975	0.0585488	0.137823	0.168194	0.164767	0.186866	0.227025
a70	0.000841653	0.000712215	0.00106618	0.00124798	0.00169916	0.005735	0.00635528	0.0130714	0.0237231	0.0322961	0.0744504	0.154273	0.175615	0.22712	0.281794
a71	0.00076785	0.000676136	0.0010021	0.00114786	0.00162451	0.00541296	0.00574166	0.0107987	0.0174379	0.0226454	0.0542111	0.130862	0.169021	0.25363	0.325021
a9	0.00140657	0.00125107	0.00161493	0.00192804	0.0030138	0.0110477	0.0114217	0.0190948	0.0222232	0.0213098	0.035122	0.122478	0.156476	0.283308	0.308304
a62	0.00434551	0.00384936	0.00376457	0.00350292	0.0050302	0.0192	0.0186045	0.0256149	0.0282626	0.0299468	0.0523968	0.117402	0.142761	0.280423	0.264895
a75	0.000893663	0.000794421	0.000933171	0.00100146	0.0017389	0.00487964	0.00515311	0.00916359	0.0134722	0.0146746	0.0288093	0.101296	0.157283	0.315164	0.344743
a79	0.000108251	0.000100623	0.000115614	0.000127974	0.000213912	0.000726175	0.000683291	0.00132231	0.00266188	0.00503648	0.0189823	0.0773076	0.109815	0.258133	0.524666
a15	8.98889e-05	8.40772e-05	0.000108741	0.000116544	0.000201244	0.000779831	0.000702953	0.00143559	0.00306601	0.00573292	0.0168181	0.0580152	0.0937798	0.247712	0.571357
a7	0.000123009	0.000119623	0.000146387	0.000139984	0.000218896	0.000808968	0.000716923	0.00130761	0.00236651	0.00368824	0.00781178	0.0405334	0.080813	0.241531	0.619675
a15	0.00103004	0.000897553	0.000997925	0.000849575	0.0010905	0.002441	0.00186447	0.00255431	0.00251972	0.0028967	0.00592018	0.050362	0.0991019	0.291119	0.536355
a47	0.0016958	0.00146716	0.00145294	0.00114995	0.00119243	0.00204657	0.00156302	0.00196418	0.00179194	0.00197317	0.00399375	0.0451124	0.10474	0.312428	0.517429
a7	0.00331032	0.00284845	0.00289584	0.002252	0.0023207	0.00297654	0.00233964	0.00277021	0.00234607	0.00253977	0.00523355	0.0617082	0.138489	0.328508	0.439462
a26	0.000532543	0.000520112	0.000606332	0.000472629	0.000538409	0.000818371	0.00058391	0.000750074	0.000705122	0.000869623	0.0016996	0.0329347	0.100427	0.31239	0.546152
a44	0.00734518	0.00613744	0.00606252	0.0043086	0.00477231	0.00866871	0.00601993	0.00738532	0.00628846	0.00680071	0.00989799	0.077887	0.133209	0.332966	0.382251
a7	0.000658046	0.000558618	0.000651941	0.000467257	0.000652616	0.0013254	0.00106429	0.00164903	0.00175993	0.00232429	0.00501533	0.0433231	0.0931319	0.308978	0.53844
a11	0.000531528	0.000465674	0.000536249	0.000369421	0.000549208	0.00120413	0.000806991	0.0013316	0.00146025	0.00194426	0.00367585	0.0373254	0.0856287	0.301707	0.562464
a10	0.00164339	0.0014048	0.0015486	0.00110306	0.00149678	0.00305521	0.00201326	0.00309459	0.00302635	0.00362137	0.00571649	0.0487605	0.104565	0.309005	0.509946
a87	0.0238468	0.0171028	0.0156839	0.0116627	0.0102936	0.01867	0.0127287	0.0142329	0.00976396	0.0104942	0.0159431	0.0771678	0.11671	0.278522	0.367177
a23	0.132642	0.0863997	0.0656541	0.0478362	0.0347301	0.049266	0.0383052	0.0356571	0.0182833	0.0241841	0.0329121	0.07205	0.0786926	0.131805	0.151582
a87	0.0270252	0.0195901	0.0158193	0.0109801	0.00865822	0.0115347	0.0086908	0.0100203	0.00832466	0.0116916	0.0145566	0.109181	0.182024	0.26595	0.295953
</S>	0.0105359	0.00798545	0.00723248	0.0061907	0.00506967	0.00849346	0.00647173	0.00803043	0.00473328	0.00598014	0.00628037	0.0674335	0.159365	0.278665	0.417533
