 	c'	est	dieu	qui	délivre	les	hommes	des	maladies	</S>
a66	0.212365	0.199296	0.15176	0.110264	0.155335	0.0735285	0.0402881	0.0249248	0.0188967	0.0133422
a87	0.318134	0.277406	0.175422	0.0934359	0.0355356	0.0202559	0.0185621	0.01638	0.0187229	0.0261453
a23	0.375902	0.313145	0.154002	0.0783217	0.0287756	0.00926303	0.00635542	0.00566116	0.00833919	0.0202354
a99	0.325997	0.291481	0.147431	0.0761228	0.0275455	0.0174112	0.016272	0.0197547	0.027633	0.0503519
a38	0.297873	0.207135	0.10621	0.0627056	0.037763	0.0507029	0.048655	0.0475409	0.0479873	0.0934274
a36	0.253981	0.188694	0.103016	0.0637259	0.0461261	0.0558259	0.0667951	0.0657045	0.0555114	0.10062
a44	0.177436	0.162073	0.125142	0.0856872	0.066166	0.0725914	0.100181	0.0878401	0.0602477	0.0626349
a54	0.0590741	0.0642715	0.0899265	0.0917174	0.11305	0.11935	0.149332	0.138914	0.0948202	0.0795448
a15	0.0376295	0.0562337	0.100768	0.11736	0.156789	0.126361	0.137229	0.110768	0.0781118	0.0787505
a7	0.0415888	0.0644274	0.126352	0.153677	0.169944	0.113684	0.103088	0.0818508	0.0660328	0.0793546
a44	0.0517904	0.0600148	0.104973	0.135849	0.205253	0.113048	0.0861692	0.0761265	0.0742812	0.0924952
a11	0.0435642	0.0464759	0.0733079	0.0987441	0.173514	0.110446	0.0925039	0.0923169	0.106513	0.162614
a13	0.0387622	0.034921	0.0403791	0.0565815	0.168266	0.12966	0.105233	0.114938	0.130074	0.181185
a4	0.0269591	0.0237627	0.0243207	0.036268	0.13206	0.13888	0.107227	0.124376	0.153864	0.232282
a13	0.026186	0.0213584	0.0186942	0.0244631	0.0884162	0.122005	0.119095	0.147044	0.187625	0.245114
a90	0.0176819	0.0142267	0.0112199	0.0149549	0.0512794	0.101017	0.100612	0.140446	0.224396	0.324167
a15	0.00779489	0.00663122	0.00573909	0.00879479	0.0344771	0.093436	0.127597	0.161961	0.240851	0.312719
a79	0.00657681	0.0057064	0.00536367	0.0109825	0.0392511	0.0986797	0.138825	0.164118	0.240367	0.29013
a92	0.00506416	0.00340822	0.00218863	0.0039444	0.0138207	0.0465643	0.0906892	0.134777	0.270865	0.428678
a6	0.00484527	0.00383399	0.00289311	0.00495615	0.0147007	0.050186	0.0900128	0.122018	0.250866	0.455689
a36	0.00485555	0.00365613	0.00233389	0.00381969	0.00899213	0.0320958	0.0664024	0.104927	0.23461	0.538307
a2	0.00157875	0.00101245	0.000551626	0.000933358	0.00202083	0.00676577	0.0226636	0.0578317	0.198528	0.708114
a44	0.0136751	0.0100325	0.0059649	0.00803596	0.00930582	0.0148931	0.0417044	0.0749077	0.291152	0.530328
a13	0.0110906	0.00753853	0.00341748	0.00408311	0.00380924	0.00972578	0.0405308	0.079075	0.263365	0.577365
a9	0.013151	0.00865782	0.00417047	0.00579612	0.0066961	0.0149675	0.0431904	0.0820472	0.239923	0.581401
a87	0.111407	0.0727791	0.0291096	0.0320499	0.0312638	0.0428224	0.0781076	0.100136	0.190416	0.311909
a23	0.266973	0.190408	0.1056	0.092602	0.0913394	0.0536277	0.0491032	0.044182	0.0519237	0.0542415
a87	0.346689	0.218697	0.0754152	0.0612704	0.0367228	0.0337163	0.0438	0.0418726	0.0597511	0.0820655
</S>	0.0683317	0.0498016	0.0235658	0.0284425	0.0246223	0.0452968	0.0902971	0.114983	0.214539	0.34012
