 	chaque	matin	il	me	fait	insulter	par	ses	enfants	</S>
a66	0.215973	0.132894	0.182412	0.184833	0.15214	0.0749432	0.0254519	0.0129228	0.0097149	0.00871575
a87	0.355036	0.101675	0.0605187	0.0664301	0.0865892	0.0660729	0.0739077	0.0596738	0.0670495	0.0630469
a23	0.234829	0.150617	0.120014	0.118471	0.100545	0.0674171	0.0630509	0.0442965	0.0495097	0.0512495
a87	0.319912	0.236393	0.135568	0.092578	0.0536944	0.0306616	0.035619	0.0256018	0.0317562	0.0382162
a97	0.25911	0.21002	0.122856	0.0898859	0.0599003	0.0472481	0.0668974	0.0444374	0.0474902	0.0521545
a87	0.241412	0.182334	0.111009	0.083655	0.0599949	0.056518	0.0860613	0.057315	0.0594926	0.062208
a97	0.228257	0.155875	0.0928249	0.0673447	0.0559542	0.0723156	0.115633	0.0762727	0.0701712	0.0653516
a87	0.18621	0.124798	0.0933822	0.079489	0.0694152	0.0842936	0.121197	0.090775	0.0801633	0.0702762
a97	0.163673	0.104653	0.0872149	0.0846197	0.0766606	0.089486	0.126866	0.0938695	0.0891984	0.0837594
a87	0.181679	0.107402	0.0740469	0.0673532	0.0628098	0.0852449	0.142771	0.0961402	0.0942539	0.0882984
a97	0.154201	0.108426	0.0892257	0.0809569	0.0720799	0.0895877	0.133334	0.097184	0.0916275	0.083377
a30	0.153766	0.116024	0.0930125	0.0795947	0.0720171	0.0902095	0.121337	0.0985662	0.0926872	0.0827853
a50	0.136704	0.103983	0.089422	0.0869084	0.0853299	0.0937908	0.127396	0.0973929	0.0939293	0.085143
a31	0.209822	0.150986	0.13273	0.0975047	0.0801428	0.0813608	0.0877649	0.0629241	0.0522969	0.044468
a75	0.362255	0.299564	0.146162	0.0687792	0.0335931	0.0203406	0.0189327	0.017834	0.0166239	0.0159146
a56	0.324448	0.27992	0.162326	0.0802481	0.0332547	0.0205997	0.0199715	0.0257763	0.0265832	0.0268716
a47	0.285987	0.312831	0.196572	0.102424	0.0369226	0.0164945	0.0106244	0.012277	0.0125322	0.0133352
a88	0.238505	0.284611	0.187614	0.119955	0.0592305	0.0310315	0.0190481	0.018258	0.0195181	0.0222286
a75	0.146287	0.253193	0.208818	0.154276	0.0820847	0.0397982	0.0223519	0.0253251	0.0301683	0.0376988
a25	0.103106	0.21563	0.206136	0.168199	0.102461	0.0580566	0.0270906	0.0299632	0.0393026	0.0500556
a98	0.055685	0.1355	0.164217	0.162046	0.116818	0.0736687	0.0404254	0.054117	0.0828975	0.114626
a85	0.0369523	0.0897511	0.165483	0.207667	0.162191	0.100204	0.0504498	0.0481943	0.0612232	0.0778853
a6	0.0187687	0.0517459	0.114399	0.152993	0.143163	0.115398	0.073674	0.0773389	0.107359	0.145161
a36	0.0208751	0.044158	0.114177	0.152958	0.145248	0.102119	0.067101	0.0787665	0.119563	0.155034
a37	0.0114836	0.0199015	0.0587418	0.109494	0.14107	0.117912	0.0818545	0.0947282	0.158702	0.206112
a94	0.00841759	0.0134274	0.0346113	0.0767495	0.125356	0.116402	0.0865931	0.102906	0.186163	0.249374
a43	0.00563807	0.00855536	0.0200219	0.0448111	0.0917804	0.123512	0.104517	0.111968	0.205431	0.283765
a75	0.00485837	0.00603283	0.0118609	0.0236906	0.0555222	0.103521	0.11828	0.121214	0.228408	0.326611
a85	0.00156622	0.00259383	0.00516314	0.0124668	0.0350777	0.0943596	0.123542	0.14191	0.237281	0.346039
