 	les	habitants	de	ce	vil	lage	sont	partis	à	la	chasse	</S>
a66	0.0947635	0.229692	0.282576	0.271264	0.0766763	0.0214078	0.00928359	0.00659156	0.00266544	0.0016938	0.00159113	0.00179541
a87	0.322451	0.19642	0.156602	0.165316	0.0732859	0.0286432	0.013521	0.0122502	0.00928665	0.0072033	0.00670853	0.00831152
a23	0.385899	0.176964	0.108794	0.105218	0.0776107	0.0386631	0.0215166	0.0202908	0.0152223	0.0132505	0.0157281	0.0208429
a3	0.368136	0.217357	0.117755	0.0996359	0.0542229	0.025325	0.0125689	0.0126602	0.0127043	0.0146275	0.0215122	0.0434957
a87	0.262031	0.223782	0.147645	0.136979	0.0806401	0.0408335	0.0229248	0.0201806	0.0157501	0.0142153	0.0153944	0.0196241
a99	0.266002	0.170826	0.124365	0.136337	0.103368	0.0596075	0.0335697	0.0307469	0.0214491	0.0175495	0.0163612	0.0198186
a54	0.275011	0.208078	0.134827	0.146111	0.0891152	0.0415085	0.0242745	0.0226155	0.0165651	0.0134009	0.0128345	0.0156593
a47	0.162177	0.177331	0.143677	0.120367	0.145748	0.0661913	0.0503529	0.0462526	0.0311113	0.0216212	0.0187307	0.0164391
a6	0.0920131	0.188856	0.149555	0.0891861	0.0957254	0.0567261	0.057561	0.0621051	0.0601958	0.0536555	0.0521982	0.0422226
a85	0.0667123	0.162325	0.142203	0.0979092	0.108963	0.0655013	0.0623903	0.0657725	0.0531512	0.0536704	0.0611123	0.0602897
a47	0.0472709	0.0855531	0.0746107	0.0539914	0.064206	0.0852358	0.104466	0.116422	0.0951715	0.0898281	0.0911209	0.0921241
a36	0.0803329	0.132345	0.109621	0.0656354	0.0594629	0.0562146	0.056049	0.0624489	0.0578146	0.0768181	0.106995	0.136263
a44	0.0787642	0.145832	0.116685	0.0833896	0.0730697	0.054501	0.0555778	0.0664189	0.0623863	0.0729926	0.088858	0.101525
a93	0.0528858	0.114262	0.108013	0.0790349	0.0679192	0.0608132	0.0639216	0.0717311	0.0667236	0.0845246	0.107034	0.123137
a75	0.048796	0.112891	0.124963	0.10106	0.0926665	0.0820301	0.0751692	0.0756845	0.0601615	0.0672931	0.0773362	0.081949
a85	0.0148405	0.0479988	0.064753	0.054557	0.0525883	0.0695939	0.0766322	0.0895167	0.097798	0.118243	0.140608	0.17287
a92	0.0073397	0.0234634	0.0371281	0.0314943	0.0340113	0.0598062	0.0745454	0.0904557	0.116461	0.139647	0.165917	0.219731
a37	0.00547602	0.0165313	0.0298011	0.0298988	0.0346196	0.0724012	0.0934339	0.109842	0.132492	0.138282	0.147055	0.190168
a75	0.00851438	0.0178207	0.0272573	0.0300242	0.052316	0.110103	0.132219	0.138523	0.121599	0.102584	0.110208	0.148832
a92	0.00226947	0.0042119	0.0071106	0.00933875	0.024022	0.0651573	0.0869334	0.104253	0.131402	0.138451	0.168445	0.258406
a37	0.00187492	0.00294557	0.00480628	0.00681007	0.0191607	0.0603665	0.0874627	0.113277	0.15712	0.149239	0.163393	0.233544
a12	0.00260261	0.00444391	0.00621146	0.00764009	0.024024	0.0589838	0.0765297	0.0923587	0.139375	0.148381	0.175791	0.263659
a96	0.00222059	0.0028905	0.00330869	0.0030789	0.00930691	0.0320106	0.0501166	0.0714034	0.138175	0.17329	0.213025	0.301174
a61	0.00210255	0.00278452	0.00301284	0.00255613	0.007596	0.0221179	0.0345701	0.0508844	0.119074	0.172125	0.236993	0.346184
a21	0.00259775	0.00393349	0.00394307	0.00332499	0.00851212	0.0175446	0.0264903	0.0390574	0.0954271	0.15432	0.244411	0.400439
a85	0.00317421	0.00418097	0.00382519	0.00299029	0.00679632	0.0136572	0.0222333	0.0342794	0.089603	0.163483	0.261199	0.394577
a36	0.000403225	0.000529731	0.000610059	0.000609627	0.00128715	0.00440549	0.00768549	0.0131446	0.0541313	0.128327	0.262697	0.52617
a37	0.000554153	0.000837114	0.000985555	0.00113294	0.00234845	0.00497479	0.00791245	0.0125311	0.048614	0.11765	0.270718	0.531741
a26	0.000996241	0.00127072	0.00169337	0.00210767	0.00376794	0.00675267	0.00962205	0.0148388	0.0583063	0.139996	0.284609	0.476039
a82	0.0038829	0.00394252	0.00439077	0.00365081	0.00518384	0.00713692	0.0111109	0.0174326	0.0614852	0.129229	0.271018	0.481537
a57	0.0103297	0.00987144	0.0125288	0.0132539	0.0238627	0.0255998	0.0362623	0.0479414	0.115793	0.154665	0.225051	0.324841
a87	0.0274106	0.0153093	0.0187769	0.0259118	0.0408786	0.0453015	0.0595463	0.0777856	0.140689	0.15752	0.178274	0.212598
a23	0.0608512	0.0318445	0.0422409	0.0721055	0.10066	0.0974478	0.0881138	0.105951	0.120515	0.105416	0.0903482	0.0845044
a99	0.0261409	0.0101033	0.00929019	0.0135719	0.0203559	0.0290247	0.0306978	0.0429366	0.112382	0.182574	0.229993	0.292929
a97	0.0157676	0.00575914	0.00660109	0.0118624	0.0229463	0.0349323	0.040662	0.055829	0.113351	0.176915	0.228643	0.286732
</S>	0.00851743	0.00369939	0.00439248	0.00832235	0.013349	0.0182937	0.0215765	0.0371067	0.0902654	0.171837	0.261689	0.360951
