 	il	s'	est	fait	une	entorse	à	l'	omoplate	</S>
a66	0.1951	0.180111	0.176975	0.13899	0.11413	0.0885605	0.0468437	0.0242202	0.0199185	0.0151517
a87	0.254699	0.209908	0.168644	0.111017	0.0686193	0.0527719	0.0465877	0.0352552	0.0318647	0.0206326
a23	0.275942	0.201695	0.176776	0.155225	0.10414	0.0400813	0.0160719	0.0106953	0.00882798	0.0105442
a87	0.20616	0.201756	0.212632	0.19038	0.110215	0.0298546	0.00992495	0.00985846	0.0135348	0.0156838
a23	0.208377	0.202777	0.208515	0.182924	0.106927	0.0336187	0.0118836	0.0106106	0.0148901	0.0194778
a79	0.159201	0.164395	0.209582	0.202081	0.145728	0.0459843	0.018852	0.0174747	0.0223503	0.0143517
a20	0.134606	0.142385	0.174797	0.178227	0.163459	0.071241	0.0325548	0.0336974	0.0479276	0.0211054
a6	0.0986612	0.0969648	0.104455	0.117631	0.168073	0.185533	0.0830742	0.0582477	0.0578138	0.0295456
a5	0.0411613	0.0473366	0.062194	0.102833	0.197865	0.226635	0.138484	0.0883563	0.0598636	0.0352704
a36	0.0577546	0.056233	0.0684541	0.122514	0.25114	0.248229	0.101828	0.0473999	0.0266428	0.0198054
a98	0.0586969	0.0584419	0.0690043	0.109099	0.200365	0.216908	0.125003	0.0700742	0.0503397	0.042067
a85	0.0206901	0.0216477	0.0257869	0.0486149	0.124034	0.27465	0.212448	0.120942	0.0900277	0.0611591
a5	0.0236736	0.0233578	0.0245137	0.038003	0.073346	0.185647	0.218985	0.158249	0.131688	0.122537
a61	0.0667348	0.0610788	0.0551353	0.0768216	0.108621	0.163962	0.117268	0.0987684	0.106464	0.145147
a56	0.0514412	0.0413644	0.0347276	0.053912	0.0830554	0.143377	0.156972	0.119668	0.11585	0.199631
a96	0.0281466	0.0221151	0.0172128	0.0261409	0.0421686	0.0869496	0.14509	0.186371	0.164329	0.281475
a88	0.0270627	0.0218228	0.0156495	0.0194735	0.0257382	0.0517599	0.119875	0.207022	0.198362	0.313235
a0	0.0117221	0.00951265	0.00628685	0.00696151	0.00786433	0.0170749	0.0619957	0.175949	0.24873	0.453903
a90	0.00895357	0.00748346	0.00496939	0.00519317	0.00574202	0.0109319	0.0437161	0.14545	0.225817	0.541743
a69	0.00162898	0.00121087	0.000760871	0.000788546	0.000856317	0.00212645	0.0135569	0.0756443	0.193812	0.709615
a58	0.000709975	0.000457995	0.00022681	0.000186512	0.000201253	0.000593727	0.00371943	0.0265106	0.131631	0.835763
a82	0.00209281	0.00149026	0.000850451	0.000553525	0.000483211	0.00121345	0.00569783	0.0379374	0.180243	0.769439
a10	0.217097	0.12883	0.0821237	0.0621396	0.0482475	0.0400547	0.0349087	0.0505946	0.112008	0.223996
a87	0.250084	0.166923	0.136711	0.113053	0.0748705	0.0407776	0.026748	0.0376268	0.0658992	0.0873065
a23	0.205206	0.169186	0.162726	0.136258	0.0922198	0.063646	0.0362766	0.0361035	0.0458334	0.0525436
a82	0.0650648	0.0340681	0.0184726	0.0128069	0.00913659	0.00813762	0.0167653	0.0644766	0.248743	0.522328
</S>	0.0088534	0.00539106	0.00378039	0.00395332	0.00503802	0.0092591	0.0248209	0.0849039	0.26587	0.58813
