 	le	sel	que	j'	ai	mis	dans	la	nourriture	a	suffi	</S>
a82	0.251901	0.108037	0.0764152	0.0567628	0.0490806	0.0523279	0.0630224	0.07394	0.0726448	0.056494	0.0694663	0.069908
a10	0.155368	0.0919617	0.0694743	0.0634285	0.0666053	0.0740403	0.0788385	0.0829254	0.0766995	0.0811309	0.0911284	0.0683997
a76	0.391639	0.120878	0.0630804	0.0427813	0.0393886	0.0401598	0.0389946	0.0380511	0.0365426	0.040816	0.0759758	0.071693
a69	0.441097	0.119997	0.0717424	0.0443848	0.0338612	0.031093	0.0318659	0.0321875	0.0306724	0.028167	0.0589752	0.0759562
a58	0.347561	0.200506	0.156035	0.0971882	0.0577012	0.0330925	0.022209	0.0143063	0.0107996	0.00986897	0.0176121	0.0331204
a15	0.213092	0.189862	0.180626	0.139509	0.0914703	0.0561359	0.0355598	0.0223397	0.0153577	0.0102354	0.0144728	0.031339
a73	0.117049	0.177012	0.200263	0.180375	0.115705	0.0675537	0.0395427	0.0249638	0.0170432	0.0141922	0.0166368	0.0296621
a54	0.0942503	0.159301	0.193524	0.175075	0.111362	0.0748788	0.0496622	0.0346514	0.0250678	0.023001	0.0242521	0.0349731
a73	0.0571878	0.102236	0.137181	0.156008	0.122586	0.100543	0.0814004	0.0614501	0.0448541	0.0395924	0.0410158	0.0559453
a69	0.0370759	0.0761998	0.108841	0.141905	0.125223	0.109176	0.089505	0.0681411	0.0511169	0.0473944	0.0558034	0.0896184
a40	0.0508622	0.0874204	0.109602	0.136443	0.127325	0.113478	0.0927292	0.0704021	0.0493107	0.0427641	0.0454794	0.0741828
a85	0.0254929	0.0413476	0.0556768	0.093487	0.117835	0.136163	0.13434	0.116352	0.0821967	0.0604739	0.0541682	0.0824673
a37	0.0138837	0.0263015	0.0383728	0.0746994	0.0982115	0.135201	0.145263	0.14524	0.114188	0.0849356	0.0562031	0.0675011
a5	0.0142178	0.0204677	0.0299566	0.058441	0.0804242	0.121829	0.142729	0.14832	0.11135	0.0819433	0.0675574	0.122764
a37	0.0134358	0.0167773	0.0210564	0.0365951	0.050453	0.0854935	0.11436	0.16045	0.155832	0.125461	0.0884646	0.131622
a85	0.00642239	0.00890765	0.0134365	0.0306493	0.0468567	0.0803235	0.10747	0.14735	0.151601	0.132821	0.10235	0.171811
a0	0.00523003	0.00909102	0.0138017	0.025064	0.0360946	0.0619735	0.0964914	0.156616	0.17908	0.178919	0.108549	0.12909
a75	0.00353398	0.00487311	0.00797823	0.0185281	0.0295789	0.052539	0.075395	0.110059	0.134297	0.159875	0.144862	0.258481
a5	0.00239378	0.00365314	0.00580517	0.0130378	0.0203548	0.0375859	0.0596507	0.100964	0.146231	0.200562	0.183359	0.226404
a37	0.00233051	0.00350702	0.00555191	0.0119334	0.0194834	0.035422	0.0522896	0.0815044	0.116289	0.181531	0.202619	0.287539
a61	0.002589	0.003498	0.00573015	0.0101337	0.0162337	0.0283217	0.0416147	0.0603156	0.0850883	0.15885	0.215722	0.371902
a56	0.00250957	0.0030755	0.00462228	0.00811067	0.0135262	0.0238815	0.0352611	0.0524053	0.077263	0.149365	0.240093	0.389887
a70	0.00179106	0.00235567	0.00365767	0.00623835	0.0101198	0.0194892	0.0314995	0.0473273	0.0678925	0.135545	0.227209	0.446876
a93	0.00240213	0.00246193	0.00369742	0.00558314	0.00821869	0.0125724	0.0220864	0.036229	0.0572579	0.13264	0.246234	0.470617
a90	0.00137915	0.00170346	0.00265702	0.00429064	0.00645914	0.0112245	0.0202807	0.0330796	0.0514798	0.112674	0.244181	0.510591
a56	0.000851149	0.00105193	0.00173286	0.0029609	0.0046784	0.00898079	0.0172017	0.0282234	0.043811	0.103851	0.236787	0.54987
a34	0.00168468	0.0020001	0.00297402	0.0046465	0.00659946	0.0111499	0.0189851	0.0307142	0.0454851	0.100894	0.206277	0.56859
a96	0.00129937	0.00171606	0.00275096	0.00432177	0.00615438	0.0104267	0.0176453	0.0270716	0.0411576	0.100172	0.219308	0.567977
a88	0.000996087	0.00105466	0.00176852	0.00333161	0.0051441	0.00874347	0.0158084	0.026503	0.0430936	0.107715	0.221914	0.563928
a13	0.00327231	0.00278047	0.00437339	0.00761087	0.011968	0.0179339	0.0298543	0.0458361	0.0672831	0.134325	0.202008	0.472755
a38	0.00598094	0.00537953	0.00825472	0.0134187	0.0180548	0.0255138	0.0395407	0.0560252	0.0779238	0.137938	0.179681	0.43229
a9	0.0120521	0.00956111	0.0135693	0.0203808	0.025406	0.0331469	0.0451968	0.0584144	0.0737823	0.120815	0.175727	0.411948
a82	0.0377194	0.0293164	0.0320372	0.0351798	0.0372919	0.0413899	0.0482342	0.0566913	0.0681953	0.103418	0.169215	0.341312
a38	0.10001	0.0488187	0.0368864	0.031453	0.0292765	0.0294887	0.0316292	0.0376923	0.0521718	0.0863633	0.205602	0.310608
a9	0.0531513	0.0283142	0.0225467	0.0208319	0.0206413	0.0234689	0.0275148	0.0360528	0.0521671	0.10108	0.22193	0.392301
a82	0.0400923	0.0198923	0.0145388	0.01291	0.012903	0.0146837	0.0186091	0.0271322	0.045558	0.0977806	0.262982	0.432918
</S>	0.0431409	0.0237525	0.0172847	0.0147326	0.0141354	0.0162604	0.0220567	0.0357176	0.0623524	0.122115	0.26056	0.367892
