 	j'	ai	découvert	le	baiseur	de	ta	femme	</S>
a66	0.232683	0.197917	0.163087	0.0862998	0.0895384	0.0633589	0.0686904	0.0564151	0.0420106
a87	0.538599	0.256466	0.0670378	0.0369212	0.0276723	0.0233572	0.0154075	0.0149415	0.0195972
a23	0.495173	0.274721	0.107465	0.0563857	0.0228413	0.0114243	0.00897755	0.0100978	0.0129144
a18	0.404913	0.290214	0.158889	0.0573527	0.0235042	0.0108049	0.00925122	0.0148667	0.0302042
a50	0.363458	0.204901	0.18935	0.0816719	0.049952	0.0224296	0.0186422	0.0287089	0.040886
a88	0.294158	0.140364	0.140555	0.106536	0.113356	0.0517961	0.0411278	0.053954	0.0581524
a83	0.163198	0.144816	0.179361	0.198495	0.155426	0.0678964	0.0320937	0.0302873	0.0284261
a38	0.067618	0.0779633	0.135293	0.265975	0.18119	0.113879	0.0553465	0.0538966	0.0488385
a96	0.0546268	0.0696474	0.124749	0.264001	0.169419	0.118783	0.0631787	0.0708182	0.0647762
a94	0.0373425	0.0421474	0.0754898	0.249965	0.169064	0.132025	0.0853969	0.106831	0.101738
a93	0.0402289	0.0393952	0.0605455	0.246503	0.169763	0.133019	0.0908488	0.115458	0.104238
a4	0.0496562	0.0401314	0.0449513	0.185259	0.197414	0.1586	0.11587	0.114224	0.0938948
a13	0.0289979	0.0217368	0.0243235	0.0951195	0.184946	0.183371	0.162223	0.169144	0.130138
a93	0.010178	0.00777284	0.00981244	0.0313453	0.129526	0.176524	0.206651	0.229685	0.198506
a56	0.00847997	0.00589196	0.00650594	0.0197562	0.10555	0.157056	0.222706	0.258716	0.215338
a93	0.00259371	0.00189249	0.00210092	0.0055114	0.0459101	0.0907469	0.208443	0.336156	0.306645
a96	0.00273622	0.0018031	0.0018538	0.00456589	0.0334819	0.065582	0.170606	0.349578	0.369792
a54	0.000934263	0.000543381	0.000492028	0.00102563	0.00736642	0.0272348	0.122159	0.352287	0.487958
a92	0.000103171	5.93261e-05	4.92301e-05	0.000121135	0.00125695	0.00701365	0.0799114	0.315337	0.596148
a56	0.000100201	6.97489e-05	5.47099e-05	0.000198736	0.00254768	0.0158458	0.123264	0.317923	0.539995
a75	0.000175133	0.000114909	8.63512e-05	0.000253551	0.0017258	0.0101466	0.078818	0.282225	0.626455
a79	0.000115989	7.85841e-05	6.91641e-05	0.000262464	0.00163355	0.0102704	0.094907	0.27879	0.613873
a37	7.96673e-05	6.5326e-05	5.6706e-05	0.000167695	0.00119251	0.00798634	0.075789	0.262722	0.651941
a44	0.000147212	6.98473e-05	4.04468e-05	0.000120353	0.000513404	0.00318932	0.0471734	0.266504	0.682242
a57	0.000234059	0.00010509	4.35332e-05	0.000133095	0.000604826	0.00318212	0.0495173	0.284091	0.662089
a82	0.0102728	0.00440152	0.00178768	0.00311342	0.00662291	0.018003	0.0882558	0.28479	0.582753
a97	0.184316	0.0804281	0.0187825	0.0121855	0.014295	0.0320263	0.107775	0.218084	0.332108
a87	0.297118	0.176623	0.0438713	0.0272049	0.0218612	0.0270722	0.0686242	0.140118	0.197508
a23	0.233782	0.15847	0.0596905	0.0380404	0.0341527	0.0420514	0.0946168	0.155612	0.183585
a87	0.10661	0.0776378	0.029649	0.0118751	0.0071388	0.0222108	0.0971084	0.269226	0.378544
a23	0.0260548	0.0202851	0.00943301	0.00465691	0.00485511	0.0230896	0.093254	0.303649	0.514722
a87	0.0528666	0.0494734	0.0271325	0.0139933	0.0124833	0.0359488	0.103032	0.273144	0.431926
</S>	0.0807208	0.0582423	0.0191934	0.0091325	0.0104099	0.0336388	0.0989811	0.272655	0.417026
