 	tu	ne	dois	pas	voler	autrui	</S>
a40	0.468829	0.179463	0.0907734	0.0531068	0.0578817	0.0655403	0.0844066
a73	0.150989	0.0872555	0.0820619	0.113251	0.149433	0.183834	0.233176
a44	0.423752	0.229853	0.126862	0.0728714	0.0529907	0.0495642	0.0441076
a69	0.506934	0.267973	0.106999	0.0449046	0.0263257	0.0249763	0.021887
a90	0.240525	0.236709	0.182237	0.10932	0.0850185	0.0804812	0.0657094
a38	0.203384	0.202465	0.173317	0.118996	0.100642	0.100996	0.100201
a11	0.148842	0.143149	0.14339	0.13427	0.132412	0.150776	0.14716
a13	0.171251	0.160495	0.147293	0.115751	0.10964	0.140163	0.155407
a75	0.150189	0.150382	0.145326	0.123663	0.114467	0.147236	0.168737
a73	0.0905593	0.0909264	0.1103	0.136253	0.164624	0.208432	0.198906
a58	0.116067	0.12461	0.147065	0.158616	0.153386	0.155756	0.1445
a54	0.114269	0.133367	0.169731	0.15721	0.129521	0.138872	0.15703
a73	0.0493731	0.0539726	0.0675765	0.087379	0.139506	0.249528	0.352665
a69	0.0528443	0.0589831	0.0775803	0.10326	0.156231	0.243276	0.307825
a53	0.0566132	0.0660844	0.0790811	0.0947212	0.139131	0.234359	0.33001
a90	0.0332446	0.0418018	0.0626271	0.0801505	0.108811	0.21565	0.457715
a70	0.0409666	0.0454665	0.0632057	0.0861998	0.126015	0.230179	0.407968
a13	0.0330214	0.0307991	0.0396228	0.0597146	0.0976027	0.241656	0.497584
a24	0.0152836	0.0141866	0.0192409	0.0328579	0.0647177	0.240337	0.613377
a70	0.0147304	0.0108951	0.0132975	0.0289671	0.067333	0.226501	0.638276
a44	0.0221381	0.0185992	0.0232324	0.0404438	0.074502	0.219245	0.601839
a75	0.0110973	0.00946099	0.0117429	0.0227852	0.05192	0.209188	0.683806
a56	0.0117919	0.00964665	0.0125404	0.0273151	0.0599158	0.205329	0.673461
a90	0.0183148	0.0182038	0.0230371	0.0355523	0.0613945	0.206418	0.637079
a58	0.0118009	0.0119283	0.0155898	0.0258859	0.0485132	0.188074	0.698207
a82	0.00734274	0.00718227	0.0102696	0.0214231	0.0398595	0.15288	0.761043
a87	0.00281302	0.0021756	0.00285863	0.00858748	0.0295407	0.136914	0.81711
</S>	0.00827655	0.00595634	0.00443522	0.0112694	0.041617	0.147926	0.780519
