 	dans	leur	maison	les	choses	sont	en	désordre	</S>
a66	0.379739	0.255668	0.145793	0.0798735	0.0648229	0.038028	0.019612	0.00826181	0.00820177
a87	0.341924	0.184692	0.128024	0.0866795	0.0828997	0.0527605	0.0418912	0.0421525	0.0389773
a23	0.367406	0.184742	0.132299	0.0919796	0.0585784	0.0348454	0.0301348	0.042136	0.0578794
a54	0.269987	0.13935	0.099837	0.0814555	0.054906	0.0331765	0.0452611	0.139571	0.136456
a37	0.360985	0.209995	0.148949	0.0817602	0.05267	0.0302933	0.0255293	0.0390208	0.050797
a36	0.254779	0.195706	0.178945	0.137674	0.09373	0.0400122	0.0270789	0.0405318	0.0315438
a21	0.15721	0.145352	0.181444	0.188301	0.130056	0.0602801	0.0396642	0.0548381	0.0428541
a5	0.13953	0.152909	0.209686	0.199663	0.143733	0.0566309	0.0284653	0.0364249	0.0329574
a98	0.102262	0.125404	0.168534	0.174144	0.140925	0.076141	0.0503947	0.078733	0.0834618
a47	0.0526553	0.105216	0.161218	0.17815	0.178948	0.108678	0.0668353	0.0804149	0.0678857
a6	0.0296994	0.0622565	0.0889175	0.133852	0.165383	0.109261	0.077837	0.154492	0.178302
a37	0.0293745	0.05355	0.0584708	0.0910774	0.115428	0.107664	0.0841836	0.214825	0.245426
a61	0.0278087	0.0465961	0.0432448	0.0714033	0.0989373	0.111683	0.0872327	0.238373	0.274721
a62	0.0185875	0.0306245	0.0263096	0.046757	0.0777137	0.125011	0.129492	0.216043	0.329462
a75	0.0112649	0.0174759	0.0150065	0.0264121	0.042221	0.0795232	0.131831	0.267722	0.408543
a79	0.00162948	0.00286561	0.00335346	0.00807531	0.0191469	0.0421103	0.0847031	0.232526	0.60559
a69	0.000582442	0.0012206	0.00133385	0.00347874	0.00763846	0.0218491	0.0662528	0.27889	0.618754
a32	0.000598397	0.000799166	0.00066288	0.00144077	0.00349229	0.0133126	0.052056	0.262101	0.665537
a0	0.00169475	0.00136577	0.000961546	0.00144096	0.00275394	0.0100152	0.0540531	0.311273	0.616442
a2	0.00189142	0.00166016	0.00123694	0.00200076	0.00451188	0.018868	0.0806145	0.282182	0.607034
a57	0.0338402	0.0300392	0.0247596	0.0286132	0.0405944	0.0842183	0.129695	0.254103	0.374137
a87	0.183951	0.1092	0.0772668	0.0656064	0.0664589	0.0803682	0.0887174	0.14544	0.182991
a23	0.299676	0.184284	0.127351	0.0883914	0.0717596	0.0635607	0.0561663	0.0567988	0.0520131
a87	0.146269	0.0768745	0.0505329	0.0384641	0.0517202	0.0672322	0.108392	0.233952	0.226563
</S>	0.0145527	0.00868527	0.00740059	0.00774046	0.0148523	0.0310556	0.0763949	0.386153	0.453165
