 	les	policiers	n'	ont	jamais	pitié	mais	ce	policier-ci	est	gentil	</S>
a23	0.241115	0.275691	0.174581	0.101006	0.0619917	0.0414468	0.0307639	0.0225552	0.0182204	0.0129182	0.0102985	0.00941148
a87	0.367524	0.246065	0.104336	0.0418442	0.0305359	0.0302161	0.0371637	0.039613	0.0291926	0.0263832	0.0232309	0.0238948
a23	0.143155	0.125554	0.0851503	0.0682009	0.0698676	0.0698388	0.0678826	0.0919839	0.0665376	0.0727696	0.0663217	0.072738
a40	0.24714	0.16454	0.102057	0.0734373	0.0666495	0.0571379	0.0441585	0.0614939	0.0516371	0.0524402	0.0369284	0.0423802
a44	0.439505	0.324975	0.143399	0.0407872	0.0188151	0.009332	0.00583001	0.00393806	0.00298818	0.00299406	0.00331033	0.00412634
a93	0.284162	0.315603	0.185134	0.0862334	0.0519216	0.0310744	0.0183635	0.00926909	0.00693293	0.00491551	0.00335214	0.00303895
a35	0.111613	0.165758	0.147145	0.105131	0.0829918	0.0748268	0.0692553	0.0663305	0.0536125	0.055136	0.03691	0.0312892
a90	0.114404	0.165806	0.136121	0.103647	0.0892523	0.0909692	0.080032	0.066274	0.0526977	0.0472877	0.0301449	0.0233642
a56	0.0704752	0.105775	0.10413	0.0919781	0.0877359	0.0996551	0.0983599	0.0992825	0.0755786	0.0728463	0.0516046	0.0425784
a90	0.0596054	0.0911633	0.0982501	0.0982953	0.0998086	0.123556	0.112732	0.0970424	0.0679549	0.0623838	0.0462853	0.0429234
a4	0.0355034	0.0584026	0.0828325	0.0962591	0.104204	0.133417	0.125842	0.113851	0.0779755	0.0671732	0.0515996	0.0529399
a57	0.0398688	0.0641132	0.0837621	0.103288	0.110851	0.140827	0.119385	0.0918388	0.0660091	0.0601288	0.0556362	0.0642904
a40	0.027701	0.0424938	0.0899945	0.126513	0.129425	0.136425	0.111652	0.0896786	0.0593031	0.0577513	0.0548262	0.0742361
a6	0.0213784	0.0325985	0.0516265	0.0948406	0.126778	0.17318	0.153585	0.108461	0.0775659	0.0581997	0.0479137	0.0538729
