 	onganya	a	une	nuque	proéminente	</S>
a66	0.362139	0.166065	0.121541	0.123911	0.128138	0.0982058
a87	0.41309	0.170165	0.0974008	0.10392	0.123118	0.0923057
a23	0.429249	0.258669	0.113784	0.0613379	0.071757	0.0652032
a79	0.236175	0.181653	0.132929	0.116513	0.150739	0.181991
a44	0.418892	0.202301	0.0996185	0.0819342	0.0940693	0.103185
a98	0.440606	0.24374	0.11432	0.0746118	0.0656505	0.0610727
a6	0.319235	0.281811	0.178266	0.0992827	0.0640448	0.0573606
a5	0.119865	0.156586	0.228433	0.227072	0.154415	0.113628
a12	0.0626152	0.0730365	0.132341	0.268299	0.258024	0.205684
a47	0.0318017	0.0354099	0.07407	0.227577	0.31594	0.315202
a96	0.0155477	0.0196075	0.0446469	0.145089	0.327654	0.447455
a90	0.00493918	0.0083541	0.0258564	0.0991027	0.309627	0.55212
a15	0.00408506	0.00879464	0.0384471	0.143098	0.312757	0.492818
a69	0.000745478	0.00203269	0.0146928	0.0779686	0.282959	0.621602
a58	0.000939923	0.00220869	0.0129363	0.0670509	0.261447	0.655417
a82	0.00263214	0.00542777	0.0225497	0.0902111	0.296131	0.583048
a87	0.0957556	0.0833704	0.0966684	0.141341	0.239533	0.343332
a23	0.331249	0.184369	0.143545	0.108278	0.118487	0.114073
a99	0.111155	0.106683	0.162811	0.150248	0.215916	0.253188
a97	0.0463987	0.0475915	0.0895521	0.111926	0.260096	0.444436
</S>	0.0352346	0.043937	0.103073	0.127084	0.256766	0.433905
