 	cette	pirogue	est	trouée	celle-là	est	intacte	</S>
a85	0.241914	0.20089	0.199823	0.140505	0.127353	0.0521416	0.022679	0.0146937
a87	0.232211	0.156698	0.148032	0.135186	0.131712	0.0981546	0.0582987	0.0397082
a97	0.140712	0.150113	0.131602	0.120217	0.113846	0.107121	0.109532	0.126857
a23	0.342844	0.2385	0.147775	0.0876198	0.0717659	0.0480457	0.0323516	0.0310977
a83	0.332284	0.220678	0.128005	0.0824661	0.0808408	0.0716911	0.0438705	0.0401648
a98	0.352644	0.197865	0.109156	0.0702507	0.0868322	0.0677774	0.0446166	0.0708579
a85	0.294141	0.180243	0.103922	0.0905535	0.107759	0.0804908	0.0513265	0.0915634
a21	0.296414	0.197441	0.119576	0.0990894	0.108335	0.0669423	0.042153	0.0700488
a92	0.25056	0.193437	0.113621	0.135729	0.141146	0.0734288	0.0393869	0.0526914
a70	0.181202	0.173762	0.13377	0.158095	0.141533	0.0716587	0.0509738	0.089006
a44	0.166755	0.176241	0.134683	0.158413	0.131234	0.0752991	0.0596761	0.0976989
a75	0.107802	0.132475	0.115348	0.163866	0.153937	0.10265	0.0805366	0.143386
a13	0.139618	0.171834	0.169622	0.181208	0.145599	0.0679075	0.046977	0.077234
a3	0.0845924	0.125305	0.150309	0.189989	0.174771	0.0954182	0.0675585	0.112057
a38	0.029581	0.0601869	0.102142	0.211957	0.185642	0.125477	0.115115	0.169899
a94	0.0369467	0.0561815	0.103602	0.232253	0.206999	0.117033	0.0988109	0.148175
a66	0.0314914	0.0447098	0.0934822	0.233392	0.217712	0.130871	0.100922	0.14742
a13	0.0267001	0.0359679	0.0720582	0.206371	0.211848	0.151345	0.122166	0.173543
a99	0.0435354	0.045918	0.0696612	0.176094	0.179037	0.145944	0.13224	0.20757
a87	0.0437134	0.0414752	0.0563802	0.140188	0.153978	0.163515	0.166553	0.234198
a23	0.0208982	0.026093	0.0395981	0.0851008	0.0912622	0.176468	0.224174	0.336406
a99	0.0200157	0.0263676	0.0368192	0.0573981	0.0563227	0.14913	0.216229	0.437718
a13	0.00805962	0.0156834	0.0239053	0.0378435	0.0403932	0.147104	0.250958	0.476053
a11	0.00423569	0.00873392	0.0158577	0.0373142	0.0422405	0.145367	0.257026	0.489225
a90	0.00397855	0.0081062	0.0173039	0.0483553	0.0560497	0.143653	0.219572	0.502981
a75	0.00261581	0.00405745	0.00715035	0.0253972	0.0345429	0.104692	0.235308	0.586236
a56	0.00915977	0.0109718	0.015895	0.0468287	0.0562731	0.14396	0.251561	0.465351
a13	0.00667798	0.00798848	0.0115205	0.0294121	0.0383885	0.105735	0.229823	0.570455
a34	0.0022293	0.00323842	0.00526548	0.0184851	0.0277501	0.100936	0.240364	0.601732
a93	0.00609186	0.00681625	0.00873194	0.0210078	0.0278607	0.0929664	0.241628	0.594897
a13	0.00206538	0.00260892	0.00361603	0.0120482	0.0172606	0.0672306	0.197314	0.697857
a38	0.000772521	0.00115875	0.00198996	0.00757042	0.0114335	0.0587449	0.210276	0.708054
a90	0.000469445	0.000802476	0.00132577	0.00477562	0.00732554	0.0500779	0.222761	0.712462
a98	0.000537952	0.000918432	0.00167703	0.00737468	0.0126242	0.067262	0.221549	0.688056
a44	0.000632575	0.00108039	0.00167496	0.00626282	0.00946948	0.0579609	0.215975	0.706944
a75	0.000294976	0.000510634	0.000803464	0.00288194	0.00477263	0.0361229	0.170831	0.783782
a5	0.000727764	0.00120839	0.00198705	0.00638605	0.00964198	0.0554599	0.242045	0.682544
a83	0.000717889	0.00112789	0.00175853	0.00492712	0.00649855	0.0390453	0.18323	0.762695
a61	0.000549096	0.000912365	0.001471	0.00417678	0.00620442	0.0421499	0.184943	0.759594
a18	0.0010939	0.0016598	0.0024807	0.00546984	0.00822758	0.0446017	0.17711	0.759357
a25	0.0100099	0.0114601	0.0147418	0.0285431	0.0370049	0.122446	0.294538	0.481256
a87	0.0340414	0.0304821	0.0318585	0.0389754	0.0445159	0.141559	0.273474	0.405093
a23	0.0785501	0.0729028	0.0806634	0.0956582	0.096948	0.185735	0.195356	0.194186
a99	0.0576616	0.0470771	0.0429585	0.054918	0.0607949	0.153647	0.21353	0.369413
a97	0.0393121	0.0364799	0.0415971	0.0559517	0.0540805	0.118411	0.191632	0.462536
</S>	0.0545823	0.080638	0.108587	0.0922815	0.0732899	0.107939	0.142966	0.339716
