 	l'	eau	du	fleuve	est	basse	</S>
a23	0.347025	0.227966	0.152511	0.102627	0.0553391	0.0499844	0.0645477
a85	0.499739	0.218406	0.116591	0.060795	0.0362242	0.0327937	0.0354511
a87	0.388445	0.214461	0.106358	0.0582081	0.043775	0.0748552	0.113897
a23	0.453478	0.235853	0.12568	0.0711545	0.0345664	0.0342712	0.0449967
a87	0.381525	0.20657	0.114937	0.0819328	0.0541865	0.0718542	0.0889941
a23	0.369949	0.198283	0.122023	0.103375	0.0673608	0.0673746	0.0716344
a13	0.336006	0.18474	0.115799	0.100388	0.0752757	0.0966669	0.0911235
a20	0.174623	0.183771	0.147879	0.126911	0.100525	0.145914	0.120377
a73	0.199904	0.20051	0.1671	0.143983	0.111433	0.113821	0.0632483
a26	0.197467	0.217132	0.195533	0.183731	0.112434	0.0633445	0.0303577
a20	0.163853	0.203369	0.17854	0.175031	0.133682	0.0942864	0.0512381
a73	0.206592	0.224328	0.176045	0.146699	0.0992578	0.0843442	0.0627343
a35	0.228508	0.234833	0.182107	0.147293	0.0936204	0.0672664	0.0463724
a26	0.189477	0.218816	0.178276	0.152612	0.113755	0.0869362	0.0601283
a54	0.136286	0.167994	0.157608	0.153235	0.141011	0.132908	0.110957
a73	0.151476	0.182198	0.15384	0.141603	0.131396	0.124951	0.114537
a20	0.133969	0.148397	0.127959	0.125632	0.142267	0.165531	0.156245
a41	0.0955802	0.102748	0.0907833	0.0943251	0.141931	0.214921	0.259712
a94	0.0410652	0.0400016	0.0422081	0.0562454	0.126854	0.290792	0.402833
a12	0.0278336	0.0287256	0.0301153	0.0406478	0.0967348	0.267336	0.508607
a43	0.0190594	0.0163293	0.0166117	0.0247617	0.0708869	0.253901	0.59845
a32	0.034678	0.0218459	0.0163258	0.0215115	0.0553514	0.218136	0.632151
a0	0.047091	0.021344	0.0131333	0.0163792	0.0470966	0.199906	0.65505
a11	0.0568988	0.0263793	0.0170268	0.0202653	0.0497727	0.18037	0.649287
a94	0.0723924	0.0317345	0.019711	0.021159	0.0490351	0.175227	0.630741
a66	0.0656082	0.0294357	0.017646	0.0183528	0.0485584	0.190651	0.629747
a94	0.0718761	0.0326928	0.0196356	0.0192208	0.0439394	0.169269	0.643367
a44	0.0749248	0.0383502	0.0243272	0.024474	0.0548104	0.180097	0.603016
a58	0.0894983	0.0376281	0.0216411	0.0212824	0.0507761	0.170035	0.609139
a82	0.070509	0.0335114	0.0196173	0.0195553	0.0472727	0.166065	0.64347
a87	0.0700071	0.0439683	0.0264759	0.0212094	0.0302767	0.118051	0.690012
</S>	0.118349	0.0960179	0.0715318	0.0721561	0.0814036	0.15922	0.401322
