 	la	manière	dont	mon	mari	a	refuse	de	manger	de	ma	cuisine	prouve	qu'	il	a	trouvé	une	autre	femme	dans	le	village	</S>
a66	0.0420425	0.0325202	0.0387059	0.0458808	0.06196	0.0689527	0.0672539	0.0692788	0.0847376	0.0649847	0.0654306	0.0963076	0.131011	0.035624	0.0195994	0.0152173	0.0142951	0.0118159	0.00894802	0.00675686	0.00541312	0.00454395	0.00425954	0.00446065
a87	0.165706	0.0685873	0.0590359	0.0591808	0.0475591	0.0491442	0.0547846	0.0449197	0.0471547	0.0488795	0.0394647	0.0488473	0.0462199	0.0278947	0.0160103	0.0154744	0.0199899	0.017057	0.0183601	0.0195791	0.0208304	0.0222696	0.0194753	0.0235755
a23	0.207043	0.0940738	0.0823282	0.0897981	0.070614	0.053507	0.0405835	0.0298741	0.0279617	0.0307174	0.0272548	0.0404752	0.0641427	0.0193684	0.0107824	0.0101555	0.0110091	0.0103573	0.0114518	0.0116643	0.0125672	0.0133377	0.0126646	0.0182678
a87	0.124981	0.102305	0.11049	0.102083	0.0889375	0.0708492	0.0550741	0.0317016	0.0402744	0.0419769	0.0312429	0.0343352	0.0790801	0.0101361	0.00657634	0.0069129	0.00805557	0.0074848	0.00824174	0.00844737	0.00794261	0.00756896	0.00633562	0.00896604
a23	0.124314	0.116271	0.139932	0.103521	0.089748	0.0638077	0.043107	0.0258226	0.0311095	0.0288692	0.0206662	0.0300602	0.0602406	0.0124979	0.00995815	0.0114179	0.0133798	0.0120769	0.0129465	0.013327	0.0113304	0.00958333	0.00722997	0.00878322
a50	0.135189	0.137661	0.155237	0.0933178	0.0758106	0.0508443	0.0374238	0.0192876	0.0270366	0.0217486	0.0153979	0.0228987	0.0745265	0.0117177	0.011065	0.0120065	0.0136444	0.0124783	0.0129708	0.0132884	0.0122952	0.0112001	0.00998764	0.0129674
a62	0.153896	0.13745	0.13706	0.0704328	0.0575561	0.0402818	0.0416966	0.0218437	0.0372891	0.0215553	0.0134869	0.0256229	0.124187	0.0152006	0.0143614	0.01447	0.0131396	0.0109129	0.0101842	0.00923657	0.00868584	0.00766033	0.00649073	0.00730054
a88	0.190748	0.197581	0.15187	0.0696177	0.0500597	0.0383292	0.0433413	0.0207549	0.0306275	0.0183624	0.0120525	0.0182807	0.107612	0.00950909	0.00702433	0.00690606	0.00571074	0.00475664	0.00417349	0.00324897	0.00299997	0.00242662	0.00202727	0.00197892
a11	0.109957	0.196346	0.180632	0.0871823	0.0599396	0.0452933	0.0463863	0.021666	0.0286142	0.0213019	0.0156898	0.0194497	0.0963046	0.013157	0.00838571	0.00907677	0.00670749	0.00652637	0.00601962	0.00513197	0.00493357	0.00417993	0.00363039	0.00348862
a62	0.0743884	0.151442	0.150277	0.0874026	0.0638136	0.0501211	0.0513335	0.0281902	0.034185	0.0300231	0.0244465	0.0268682	0.0866088	0.0245486	0.0141861	0.0152779	0.0107068	0.0106829	0.0103681	0.00994164	0.0106469	0.0110048	0.0114806	0.0120557
