 	cette	nourriture	est	agréable	</S>
a23	0.315749	0.25907	0.161066	0.168003	0.0961122
a38	0.530125	0.165224	0.0973555	0.147149	0.0601466
a41	0.41126	0.193544	0.13856	0.198052	0.0585837
a14	0.465945	0.266432	0.12837	0.114062	0.0251913
a35	0.394234	0.294405	0.149525	0.122555	0.0392807
a26	0.396072	0.298414	0.144874	0.112066	0.0485745
a24	0.361616	0.278076	0.167406	0.124205	0.0686985
a71	0.291996	0.270458	0.182238	0.157722	0.097586
a26	0.197712	0.199707	0.178053	0.203861	0.220668
a32	0.198634	0.183928	0.181479	0.204259	0.2317
a38	0.11764	0.105923	0.11604	0.188315	0.472082
a21	0.131802	0.0979904	0.106797	0.197211	0.466199
a41	0.0293798	0.0297936	0.0596324	0.147731	0.733464
a25	0.044401	0.0391864	0.0535169	0.131806	0.73109
a87	0.0880005	0.0629683	0.0663825	0.144214	0.638435
</S>	0.10507	0.0661867	0.0814323	0.154661	0.592649
