 	le	soldat	est	en	train	de	surveiller	le	voleur	</S>
a87	0.21	0.158495	0.119943	0.103296	0.0886497	0.0910731	0.0679771	0.0736408	0.0523625	0.0345626
a23	0.0839737	0.0726623	0.103378	0.148999	0.217166	0.187288	0.117049	0.0389235	0.0185785	0.0119823
a53	0.0434686	0.0500461	0.0728057	0.0719024	0.112178	0.163179	0.220624	0.118073	0.0863092	0.0614143
a90	0.298891	0.232487	0.152832	0.10403	0.0874013	0.0614706	0.030304	0.0128993	0.0100795	0.00960456
a44	0.206307	0.199812	0.159011	0.110371	0.0757967	0.0826459	0.0688146	0.0409086	0.0317645	0.0245687
a90	0.124006	0.143642	0.135114	0.10025	0.0730231	0.096301	0.102849	0.0776398	0.0754293	0.0717475
a25	0.0916156	0.115782	0.107721	0.0934483	0.0748805	0.0918982	0.100051	0.0916522	0.109428	0.123524
a92	0.116015	0.135957	0.132768	0.115141	0.080116	0.085954	0.0795798	0.0775545	0.0839519	0.0929625
a75	0.0417849	0.0500533	0.072286	0.0835418	0.0737122	0.0985695	0.115916	0.131566	0.155925	0.176645
a85	0.0384722	0.0447632	0.0605529	0.06453	0.0650627	0.079013	0.0896974	0.115988	0.174174	0.267746
a21	0.0306137	0.0362314	0.0416925	0.0487517	0.0603055	0.085617	0.10675	0.132546	0.191678	0.265815
a12	0.00978431	0.0104244	0.0132608	0.0145402	0.0181237	0.0348925	0.0788624	0.242089	0.279747	0.298276
a21	0.0125216	0.0131086	0.0164019	0.0173608	0.0201012	0.0281838	0.0460979	0.202993	0.30718	0.336051
a12	0.0150919	0.0128814	0.0162179	0.016216	0.0182041	0.0216802	0.0295719	0.146509	0.335498	0.388129
a43	0.00672815	0.00570209	0.00737459	0.00816583	0.00985798	0.0107687	0.015471	0.0971131	0.33333	0.505489
a75	0.00217541	0.00200685	0.00255378	0.00389931	0.00720655	0.00968427	0.0155991	0.0779999	0.306902	0.571973
a37	0.00177788	0.00181104	0.00238659	0.00286945	0.00512561	0.00813579	0.0144382	0.0750445	0.273393	0.615018
a96	0.000692642	0.00085051	0.000863434	0.00122654	0.00278178	0.00554967	0.0131727	0.0700335	0.283632	0.621198
a66	0.000724997	0.000965298	0.00104416	0.00156116	0.00356869	0.00676191	0.0131995	0.0582849	0.278336	0.635553
a9	0.0136011	0.0183719	0.0176846	0.0176945	0.0266741	0.0246029	0.0273116	0.0720244	0.244544	0.537491
a87	0.108698	0.143011	0.107494	0.0996864	0.127379	0.0940301	0.0726191	0.0454748	0.0664119	0.135196
a23	0.0791072	0.122634	0.102607	0.0954271	0.12592	0.108765	0.092982	0.0679056	0.100287	0.104365
a87	0.0314642	0.0386586	0.0342598	0.036649	0.062656	0.0863954	0.108035	0.167294	0.224844	0.209745
a23	0.00843404	0.010885	0.0127159	0.0171091	0.0460119	0.0841525	0.113397	0.171201	0.249201	0.286892
a87	0.0070047	0.010851	0.0132154	0.0174467	0.0383568	0.0740024	0.106295	0.197355	0.261515	0.273958
</S>	0.00631195	0.00997525	0.0102783	0.0150383	0.0441525	0.0936634	0.146614	0.193485	0.236932	0.24355
