 	cette	femme	est	en	train	d'	éplucher	les	tubercules	de	manioc	</S>
a66	0.138526	0.122072	0.121648	0.123382	0.114195	0.145361	0.088062	0.0441197	0.0361665	0.0256102	0.0207624	0.0200946
a87	0.220568	0.122142	0.0972729	0.0748386	0.0763239	0.0848638	0.0697656	0.0616746	0.063355	0.0483695	0.0406999	0.040126
a97	0.138191	0.104724	0.0807523	0.0734558	0.0797107	0.123881	0.143537	0.0772953	0.0698091	0.0495192	0.0320258	0.0270985
a87	0.14622	0.123812	0.0912897	0.0914543	0.0932143	0.137457	0.15398	0.060595	0.0428094	0.0261236	0.0161382	0.016906
a97	0.122997	0.102595	0.0817195	0.0879325	0.0968309	0.149446	0.158898	0.0706453	0.0534727	0.0352844	0.0203958	0.0197834
a30	0.0985449	0.0819625	0.0682711	0.0784628	0.0985778	0.178474	0.197951	0.0750951	0.0535273	0.0322772	0.0185146	0.0183419
a4	0.104013	0.0911129	0.0692991	0.0818944	0.104683	0.188868	0.223875	0.0605258	0.0383475	0.0186166	0.00975409	0.00900991
a93	0.253834	0.201046	0.110572	0.0889388	0.077414	0.08128	0.0975495	0.0338207	0.0227703	0.0130543	0.0100394	0.00968043
a96	0.233046	0.206979	0.121621	0.0972745	0.081508	0.0775052	0.0757816	0.0388939	0.027752	0.0161801	0.0118034	0.0116546
a93	0.200514	0.191893	0.129901	0.1116	0.0952116	0.0755742	0.0705818	0.0434148	0.0309504	0.0194164	0.0152526	0.0156906
a90	0.121837	0.144929	0.13378	0.136438	0.126197	0.0910827	0.0846535	0.0562697	0.0382287	0.0248155	0.0206301	0.0211397
a4	0.0921322	0.103879	0.108895	0.133413	0.137984	0.0915924	0.0877579	0.064422	0.0486456	0.0401583	0.0433181	0.0478019
a90	0.072534	0.0902062	0.115577	0.15656	0.162915	0.105422	0.0891259	0.0598853	0.0384283	0.0306928	0.0370864	0.041567
a98	0.0725164	0.0867953	0.109468	0.154202	0.154507	0.103628	0.0863763	0.062941	0.04269	0.0365012	0.0428449	0.0475299
a47	0.0421103	0.0575963	0.0797423	0.126101	0.143132	0.111861	0.0888203	0.0835355	0.0616144	0.0568806	0.0689279	0.0796783
a36	0.0439824	0.0587169	0.076288	0.115033	0.12822	0.101122	0.0746749	0.0834597	0.0729848	0.0727957	0.0824969	0.0902258
a90	0.0271739	0.0368435	0.0579225	0.0963663	0.115899	0.0867915	0.0707511	0.0651343	0.0495476	0.071875	0.132952	0.188743
a56	0.0216972	0.0270283	0.0505127	0.0904988	0.113056	0.0973791	0.0788367	0.0802153	0.0663907	0.0822773	0.12702	0.165088
a43	0.0204956	0.0200626	0.0370669	0.0624694	0.076761	0.0722697	0.0681781	0.0719777	0.0670083	0.0981548	0.167036	0.23852
a31	0.0120045	0.0103277	0.0178337	0.0315134	0.0441661	0.0473246	0.0540697	0.0737218	0.0747159	0.118826	0.207729	0.307767
a88	0.00538582	0.00451172	0.00711771	0.0109062	0.0156376	0.0191508	0.0267083	0.0547408	0.0657796	0.142761	0.267034	0.380266
a9	0.00401814	0.0033903	0.00453595	0.00695289	0.0112032	0.0151332	0.0271557	0.0549083	0.0633624	0.148655	0.265398	0.395286
a53	0.00754197	0.00625956	0.0077561	0.0106203	0.0172513	0.0207082	0.0266071	0.040136	0.0494744	0.136069	0.278342	0.399234
a69	0.0007363	0.000686235	0.000889091	0.00134596	0.00235565	0.00346663	0.00617998	0.0144718	0.0262148	0.127153	0.322938	0.493563
a58	0.000601271	0.000518642	0.000733222	0.00129192	0.00237765	0.00321209	0.00472531	0.0100384	0.0152664	0.0915866	0.30857	0.561079
a57	0.000674762	0.000463036	0.000603153	0.000856957	0.00179625	0.00260808	0.00575038	0.0161847	0.0293342	0.132724	0.315094	0.493911
a82	0.0137154	0.0077901	0.00922431	0.0118261	0.0237712	0.0412075	0.085598	0.0838762	0.0939527	0.149189	0.208592	0.271257
a3	0.0498577	0.0282019	0.0271462	0.0319836	0.0515253	0.0786832	0.107376	0.11364	0.114239	0.129677	0.132701	0.134969
a97	0.0546454	0.0344782	0.028843	0.0299661	0.0391825	0.0478103	0.0564782	0.0705762	0.0865206	0.143673	0.2003	0.207526
a87	0.0409519	0.0299754	0.0288498	0.0344596	0.0488349	0.0593328	0.0764676	0.0866525	0.105479	0.152394	0.174714	0.161889
a97	0.0313133	0.0273683	0.0339915	0.0487305	0.0696067	0.0795298	0.0942578	0.087776	0.0931382	0.131053	0.154856	0.148379
a27	0.0374793	0.0356373	0.0445366	0.0607411	0.0824033	0.0913736	0.103173	0.0846149	0.0840882	0.107898	0.133729	0.134326
a57	0.0446912	0.0509624	0.0610197	0.0675908	0.0797932	0.0810679	0.089289	0.0759581	0.0803553	0.0979769	0.132267	0.139029
</S>	0.057367	0.0607438	0.0636607	0.0646637	0.0735188	0.0750498	0.0813915	0.0716418	0.0784331	0.0960529	0.134374	0.143103
