 	elle	est	tolérante	du	fait	qu'	elle	soigne	sa	rivale	qui	est	malade	</S>
a66	0.175458	0.146031	0.109523	0.0888909	0.0896745	0.0829746	0.0719014	0.0781175	0.0753181	0.0485129	0.0145335	0.00843771	0.00537758	0.00524901
a87	0.31048	0.18846	0.06341	0.0545557	0.0601422	0.0773869	0.0652576	0.059799	0.0471868	0.0244102	0.0128359	0.0112732	0.010622	0.0141804
a23	0.27058	0.112156	0.0606604	0.0694213	0.0764212	0.103452	0.0795511	0.0674672	0.0533035	0.0359594	0.0239727	0.0177577	0.0129607	0.016337
a20	0.124668	0.0666396	0.0510499	0.101514	0.10635	0.112052	0.0846627	0.0792174	0.0663361	0.0586419	0.0461932	0.0375052	0.0279216	0.0372484
a36	0.149014	0.122131	0.130911	0.139947	0.112631	0.0753419	0.0568571	0.0543931	0.043083	0.0319852	0.0219994	0.0205244	0.0199956	0.0211869
a18	0.216265	0.219025	0.150223	0.120957	0.0594054	0.0373655	0.0239749	0.0220398	0.0198164	0.0234193	0.0223423	0.0250806	0.026953	0.0331337
a70	0.152431	0.152476	0.1863	0.155008	0.0662925	0.0378028	0.0248298	0.0262187	0.0251549	0.034762	0.0308812	0.0322981	0.0333438	0.0422001
a13	0.0849865	0.0869282	0.155064	0.169864	0.0987725	0.0718689	0.0437851	0.0406856	0.0375387	0.0428324	0.038765	0.0382893	0.0402623	0.0503576
a62	0.0767627	0.0815891	0.147994	0.163147	0.0962308	0.0800323	0.0442081	0.0354288	0.0308366	0.0322054	0.0352855	0.0421412	0.0543149	0.0798239
a96	0.0577873	0.0567318	0.1141	0.14297	0.115039	0.103766	0.0672662	0.0538953	0.0469079	0.0409639	0.0386889	0.0430208	0.0519538	0.0669086
a79	0.0460977	0.0408197	0.0921705	0.122582	0.115437	0.114231	0.0832259	0.0683842	0.0597493	0.0477608	0.0403138	0.0437772	0.0544144	0.0710373
a94	0.0273444	0.0253953	0.0817528	0.119068	0.114352	0.120192	0.0772079	0.0608346	0.0504782	0.0447257	0.0445078	0.0551676	0.073965	0.105009
a93	0.0277904	0.0273643	0.0661841	0.0993302	0.118015	0.131187	0.10223	0.0838242	0.0685362	0.0480727	0.0398111	0.0458294	0.0607203	0.0811045
a4	0.0221752	0.0226623	0.0533021	0.0829562	0.120138	0.139131	0.11553	0.0952962	0.0759116	0.051864	0.0420983	0.0456101	0.0574082	0.0759164
a62	0.0165532	0.0182167	0.0373384	0.0574796	0.0935933	0.118579	0.110584	0.0987179	0.0870559	0.0676584	0.0569801	0.0618766	0.0760302	0.099337
a88	0.00937828	0.00996565	0.0222347	0.0426828	0.0959111	0.134584	0.134076	0.118314	0.0962318	0.0678932	0.0545434	0.0566362	0.0676257	0.0899226
a50	0.0052479	0.00540021	0.013779	0.032212	0.0837823	0.135878	0.132792	0.117178	0.0954282	0.0707404	0.056293	0.0583353	0.0765411	0.116393
a62	0.00913869	0.00910599	0.0185996	0.0429029	0.0890175	0.132723	0.122976	0.10773	0.0813502	0.0572448	0.0481392	0.0515994	0.0811704	0.148302
a12	0.00586082	0.00603981	0.0127553	0.0304581	0.0793538	0.124349	0.13228	0.123201	0.100677	0.0794988	0.0672326	0.0616301	0.0712618	0.105401
a18	0.00439876	0.00431816	0.00912714	0.0231814	0.0595752	0.101862	0.111506	0.103307	0.0837541	0.0726532	0.0731778	0.0762416	0.103062	0.173836
a62	0.0111668	0.0101372	0.0164315	0.0330807	0.0633844	0.101753	0.0896435	0.0843817	0.0658699	0.0499716	0.0620778	0.0801143	0.11289	0.219098
a21	0.0046526	0.00446946	0.00778105	0.019083	0.045168	0.069664	0.0756975	0.0727576	0.060165	0.0607235	0.086233	0.107592	0.151787	0.234226
a5	0.00242233	0.00220815	0.00300891	0.0058986	0.0156444	0.030144	0.0539762	0.0564296	0.0562546	0.073565	0.116287	0.147621	0.183843	0.252697
a15	0.00235683	0.00215528	0.00339934	0.00818749	0.0217912	0.038308	0.0493408	0.047294	0.0422632	0.0495998	0.0858151	0.135145	0.207113	0.307231
a69	0.000621366	0.000674348	0.00176485	0.00539656	0.0148446	0.0287525	0.0386216	0.037768	0.035784	0.0509551	0.107856	0.164029	0.213248	0.299684
a54	0.000553372	0.000556855	0.00118808	0.00413106	0.0119756	0.0238139	0.0356263	0.0362108	0.0351954	0.0487394	0.106749	0.161305	0.226747	0.307209
a47	0.000512366	0.000569643	0.00126575	0.00361086	0.00974597	0.0190923	0.0369336	0.0420652	0.0435113	0.0576225	0.105212	0.142587	0.219424	0.317847
a5	0.000291165	0.000313835	0.000811827	0.00234588	0.0069197	0.0138806	0.0307407	0.038102	0.0412722	0.057516	0.118664	0.168094	0.225114	0.295934
a12	0.000332588	0.000342633	0.000784753	0.00211191	0.00536762	0.00951211	0.0210018	0.0261073	0.0300769	0.0444758	0.1101	0.182365	0.256387	0.311035
a88	0.000805561	0.000735982	0.00111311	0.00218228	0.00563904	0.0127169	0.0235026	0.0218494	0.0207008	0.0261592	0.0798641	0.156702	0.263952	0.384077
a71	0.000576628	0.00061247	0.00131161	0.00270554	0.00661723	0.0135388	0.0181524	0.0154484	0.0124753	0.0140168	0.0454976	0.105926	0.258226	0.504894
a53	0.000447716	0.000405292	0.000819531	0.00154383	0.00323631	0.0072467	0.00761563	0.00660291	0.00544046	0.00649364	0.0295728	0.0923099	0.274102	0.564164
a44	0.000356482	0.000327702	0.000684991	0.00144939	0.00333188	0.00672135	0.00770694	0.00702875	0.00665328	0.00855778	0.0334645	0.100086	0.292342	0.531289
a57	0.000206943	0.000200524	0.000490893	0.00108024	0.00277326	0.00613815	0.00702276	0.00637986	0.00625712	0.00778986	0.0290375	0.085613	0.280883	0.566127
a82	0.000577664	0.000479056	0.000864322	0.00157795	0.00303534	0.00625827	0.00627159	0.00565845	0.00476034	0.00668791	0.043394	0.129012	0.305029	0.486394
a87	0.0358027	0.0189594	0.0156927	0.0182708	0.0182684	0.0215271	0.0262381	0.0263621	0.0268021	0.0391009	0.0896267	0.144355	0.236295	0.282699
a23	0.167836	0.0639592	0.0193464	0.0218153	0.0278661	0.0363655	0.0652028	0.0866651	0.102656	0.112975	0.0943931	0.0835977	0.060987	0.0563354
a87	0.0411067	0.0187424	0.00584299	0.00568224	0.0102227	0.0219076	0.0545548	0.0723066	0.0939572	0.113992	0.136296	0.141973	0.138563	0.144853
</S>	0.00669113	0.00272076	0.00171921	0.00205004	0.0050106	0.0148171	0.0384384	0.0494294	0.0642046	0.0882884	0.124047	0.143095	0.196674	0.262815
