 	cette	sauterelle	est	différente	des	autres	</S>
a66	0.321826	0.198265	0.274594	0.142137	0.0288335	0.0172483	0.0170956
a87	0.618915	0.168264	0.105841	0.040767	0.0201592	0.0221614	0.0238917
a23	0.749712	0.126936	0.0475503	0.024942	0.0160603	0.0179	0.0168995
a83	0.586126	0.109321	0.0534641	0.0381047	0.0474916	0.0760079	0.0894843
a54	0.207366	0.16091	0.122666	0.0859229	0.108668	0.139467	0.175001
a6	0.153551	0.314302	0.171696	0.112076	0.085806	0.0806624	0.0819059
a0	0.144409	0.252013	0.147893	0.11992	0.108136	0.127219	0.100409
a70	0.113512	0.276277	0.174554	0.127402	0.0970696	0.115982	0.095203
a93	0.211932	0.306791	0.203881	0.126446	0.0689647	0.045099	0.0368866
a15	0.278427	0.356091	0.172977	0.0846463	0.0440256	0.0348502	0.0289829
a47	0.132681	0.237981	0.195843	0.120323	0.0855776	0.110287	0.117308
a6	0.145811	0.235018	0.237984	0.121362	0.0662417	0.0922208	0.101363
a37	0.102656	0.23958	0.29416	0.138143	0.0626127	0.0809991	0.0818487
a61	0.102361	0.190306	0.308482	0.175087	0.0783724	0.0760879	0.0693031
a18	0.0735321	0.144598	0.276647	0.209628	0.104414	0.0972516	0.0939299
a26	0.0795044	0.0666926	0.140345	0.226996	0.152616	0.154876	0.17897
a75	0.10777	0.0886746	0.140988	0.252659	0.156886	0.119898	0.133124
a21	0.0103139	0.0229963	0.0513858	0.124183	0.198329	0.265002	0.32779
a92	0.0195893	0.0326053	0.0565238	0.138478	0.215072	0.262737	0.274996
a85	0.0129198	0.0240884	0.0465394	0.106619	0.222705	0.27526	0.311868
a47	0.00257168	0.005039	0.0137437	0.0541569	0.193326	0.311422	0.419741
a37	0.00300782	0.0042766	0.00975145	0.0288816	0.155591	0.335125	0.463367
a85	0.00277918	0.00305563	0.00617709	0.017683	0.128145	0.337609	0.504551
a6	0.00100327	0.00159295	0.00387807	0.0129753	0.120343	0.368557	0.49165
a0	0.00125556	0.00216709	0.00418398	0.0129519	0.127279	0.366786	0.485376
a75	0.00101151	0.00141616	0.00226779	0.00831984	0.100035	0.329842	0.557107
a47	0.000555844	0.00109873	0.00173931	0.00771275	0.111021	0.345661	0.532212
a0	0.000889646	0.00142759	0.00205367	0.00866462	0.114755	0.350826	0.521384
a11	0.00670394	0.00725611	0.00952192	0.0258642	0.158247	0.337648	0.454759
a0	0.0220433	0.026109	0.0240934	0.0497113	0.181612	0.310345	0.386087
a10	0.0224187	0.0243098	0.0201597	0.0418124	0.174642	0.310612	0.406046
a87	0.0662429	0.0705196	0.0697943	0.0914172	0.174747	0.252037	0.275241
a23	0.129584	0.0955126	0.113879	0.133458	0.176589	0.182707	0.168271
a87	0.0719855	0.0560373	0.034042	0.040597	0.132711	0.3188	0.345828
</S>	0.0239084	0.0191053	0.0157961	0.0319928	0.130701	0.335869	0.442627
