 	cet	écolier	est	gaucher	</S>
a66	0.626986	0.212529	0.0751509	0.0536058	0.031729
a87	0.351308	0.208529	0.156246	0.136721	0.147196
a23	0.491497	0.171548	0.108867	0.0983169	0.129772
a53	0.384105	0.170501	0.119369	0.142874	0.183151
a54	0.706652	0.157809	0.0514921	0.045565	0.0384825
a47	0.588867	0.265849	0.0695463	0.0451394	0.0305986
a85	0.423339	0.424745	0.106377	0.0326963	0.012843
a92	0.235559	0.47455	0.187174	0.0730734	0.0296426
a21	0.325829	0.394821	0.169382	0.0813013	0.0286662
a5	0.309587	0.34232	0.180307	0.115264	0.0525213
a36	0.20389	0.283205	0.231789	0.183634	0.0974806
a90	0.0634666	0.149251	0.218625	0.291456	0.277202
a25	0.0334866	0.0984314	0.206044	0.354354	0.307683
a92	0.00344717	0.0203209	0.101855	0.328169	0.546208
a56	0.0032395	0.017991	0.084758	0.373413	0.520599
a93	0.00216055	0.00934142	0.0459439	0.263681	0.678873
a90	0.000855391	0.00532078	0.0348778	0.256633	0.702313
a98	0.000467479	0.00283924	0.0241824	0.224178	0.748333
a92	0.000266365	0.00248931	0.0193713	0.1993	0.778573
a56	0.000366387	0.00252771	0.0197356	0.202338	0.775033
a43	0.000757026	0.00329804	0.0250082	0.203348	0.767588
a62	0.00154581	0.00575993	0.035721	0.196443	0.76053
a12	0.00326287	0.00987886	0.051514	0.231509	0.703835
a18	0.00205179	0.00659114	0.0375682	0.201481	0.752308
a71	0.0238021	0.045603	0.122645	0.291531	0.516418
a3	0.0573745	0.08462	0.163553	0.259438	0.435015
a87	0.228184	0.166184	0.188937	0.207746	0.208949
a23	0.386688	0.221557	0.141249	0.131827	0.118679
a99	0.0173818	0.0175451	0.0608821	0.196261	0.70793
a87	0.0117227	0.0170107	0.0637697	0.217993	0.689504
a97	0.00253518	0.00643262	0.0341346	0.17306	0.783837
</S>	0.00661572	0.0104954	0.0369108	0.154507	0.791472
