 	la	poule	mange	le	cafard	</S>
a66	0.43208	0.268487	0.140975	0.0746247	0.0495552	0.0342773
a87	0.28053	0.227315	0.190325	0.177416	0.0809043	0.0435096
a23	0.482502	0.27765	0.110168	0.0721935	0.0345118	0.0229746
a30	0.462993	0.232571	0.113829	0.0789722	0.056938	0.0546973
a70	0.424203	0.230247	0.117586	0.0802294	0.0701955	0.0775395
a11	0.390436	0.288972	0.166721	0.0760195	0.0459951	0.0318569
a56	0.299217	0.291607	0.22581	0.122423	0.0388674	0.0220754
a98	0.200705	0.299269	0.297939	0.155683	0.0310094	0.0153941
a47	0.165594	0.268465	0.293443	0.18886	0.0525191	0.0311191
a6	0.105474	0.166465	0.258419	0.23452	0.134308	0.100814
a36	0.14272	0.191551	0.250683	0.218162	0.110918	0.0859651
a85	0.090884	0.0922219	0.128775	0.163649	0.240065	0.284405
a47	0.040767	0.0428672	0.077139	0.147109	0.300425	0.391693
a36	0.0129635	0.0119694	0.0248173	0.0645343	0.312247	0.573468
a5	0.015935	0.0114535	0.01798	0.0487496	0.27711	0.628772
a61	0.0225813	0.0167731	0.0252832	0.0562403	0.250352	0.62877
a18	0.0170421	0.0141857	0.0254118	0.0651987	0.291704	0.586458
a0	0.0198416	0.0171798	0.0271048	0.0624985	0.26005	0.613325
a24	0.0318146	0.0277999	0.0341861	0.060912	0.237481	0.607806
a9	0.0261851	0.0256259	0.0344702	0.0638909	0.240552	0.609276
a10	0.169416	0.10345	0.0864449	0.0851143	0.161906	0.393669
a87	0.342478	0.19289	0.113028	0.095612	0.106095	0.149897
a23	0.325497	0.204024	0.131904	0.116178	0.110607	0.11179
a87	0.328647	0.16867	0.107108	0.116872	0.120527	0.158176
</S>	0.0935949	0.0661748	0.0709247	0.121986	0.226103	0.421217
