 	il	se	mit	à	bailler	</S>
a23	0.337761	0.160484	0.117419	0.0560081	0.155646	0.172682
a87	0.315826	0.187446	0.151796	0.086963	0.125101	0.132868
a23	0.290112	0.230825	0.216283	0.10432	0.083084	0.0753765
a53	0.208101	0.138927	0.179958	0.121058	0.19033	0.161626
a20	0.413789	0.257177	0.24455	0.0537341	0.0238828	0.00686648
a58	0.297949	0.272223	0.300819	0.0878257	0.0289218	0.0122607
a82	0.257271	0.258823	0.292456	0.126878	0.0429795	0.0215918
a38	0.232004	0.222876	0.274233	0.161062	0.0675638	0.0422615
a90	0.21654	0.241337	0.280542	0.16361	0.0638618	0.0341093
a94	0.187429	0.246575	0.269263	0.184547	0.0710884	0.0410976
a24	0.162744	0.215733	0.236181	0.203246	0.104009	0.0780862
a98	0.138874	0.175671	0.191916	0.213937	0.144017	0.135585
a25	0.167407	0.191059	0.201318	0.201972	0.115251	0.122993
a87	0.0851739	0.102107	0.137091	0.249601	0.189595	0.236432
a79	0.0382562	0.0497302	0.0697705	0.18469	0.22982	0.427733
a41	0.0511009	0.039548	0.0488044	0.13912	0.263496	0.457931
a24	0.0305423	0.0319341	0.041116	0.132082	0.293497	0.470829
a98	0.0184732	0.0189686	0.0180089	0.0733144	0.238157	0.633078
a25	0.0201689	0.017807	0.0161256	0.0561078	0.233225	0.656565
a38	0.00874918	0.0070552	0.00685156	0.0339676	0.224611	0.718765
a73	0.0105865	0.00730908	0.00656958	0.0250236	0.162904	0.787607
a27	0.0119112	0.00739338	0.00755082	0.0293812	0.2153	0.728463
a54	0.00313643	0.00195587	0.00208859	0.0113654	0.121653	0.859801
a73	0.0234427	0.0136881	0.0135348	0.0264769	0.152745	0.770113
a84	0.0146262	0.00853761	0.00925594	0.0230383	0.154097	0.790445
a57	0.00690662	0.00408075	0.00550076	0.0326063	0.170763	0.780143
a87	0.0125395	0.00909054	0.0133464	0.0573902	0.210603	0.69703
</S>	0.00969268	0.00694766	0.0127	0.0677375	0.23711	0.665812
