 	le	prix	du	manioc	a	augmenté	</S>
a23	0.435392	0.167499	0.0822212	0.077236	0.0831761	0.0765863	0.077889
a87	0.438487	0.186472	0.127017	0.0770463	0.0551099	0.0507903	0.065078
a23	0.407192	0.185586	0.134113	0.0823201	0.0601384	0.0564312	0.0742193
a32	0.448933	0.186352	0.107311	0.0643322	0.048328	0.0525404	0.0922037
a25	0.621773	0.229616	0.0682805	0.0286851	0.0176414	0.0132165	0.0207872
a38	0.448845	0.272039	0.129219	0.060889	0.0328051	0.022353	0.0338509
a20	0.396793	0.312204	0.153213	0.0628085	0.0298771	0.0195012	0.0256031
a35	0.386085	0.277353	0.155625	0.0822197	0.04447	0.0289248	0.0253222
a73	0.383719	0.2966	0.155952	0.0774371	0.0408726	0.0265991	0.0188194
a84	0.284623	0.240463	0.201272	0.128314	0.0704	0.043409	0.0315189
a94	0.134373	0.145635	0.179293	0.182829	0.147854	0.109297	0.100717
a41	0.158226	0.162159	0.180344	0.179308	0.141087	0.100537	0.0783399
a61	0.203551	0.190555	0.173142	0.169295	0.128679	0.0850277	0.0497503
a62	0.109249	0.152441	0.167125	0.178201	0.16811	0.140233	0.0846417
a24	0.0602589	0.0875947	0.137195	0.190984	0.203695	0.183842	0.13643
a41	0.040196	0.0486384	0.0786464	0.157216	0.215525	0.234735	0.225043
a27	0.0362917	0.0402331	0.0792193	0.168058	0.224689	0.231032	0.220477
a38	0.0138722	0.0140823	0.0315556	0.0870848	0.183689	0.283606	0.386109
a41	0.019599	0.0181973	0.0340028	0.0800991	0.168351	0.275512	0.404239
a35	0.0177706	0.0174734	0.0401675	0.112009	0.204789	0.29451	0.31328
a61	0.0206815	0.0180012	0.0326839	0.0860164	0.184517	0.306176	0.351924
a62	0.0100261	0.0127476	0.0231743	0.061937	0.140327	0.278847	0.472941
a24	0.00736632	0.00839816	0.0181077	0.0479482	0.120083	0.262694	0.535402
a9	0.00375082	0.00329508	0.00913097	0.0292346	0.0818129	0.245396	0.62738
a87	0.00316511	0.00288015	0.00769757	0.0271693	0.0781261	0.248805	0.632157
</S>	0.00286473	0.00242773	0.00539054	0.0210314	0.0749273	0.249913	0.643445
