 	la	rigidité	de	l'	oranger	est	plus	que	celle	du	safoutier	</S>
a23	0.190143	0.11552	0.127004	0.104212	0.0872564	0.0829061	0.10929	0.0899199	0.0505215	0.0219352	0.0114877	0.00980418
a99	0.198138	0.101936	0.11853	0.093192	0.0753326	0.073233	0.0719293	0.0727238	0.0604123	0.0437509	0.0416178	0.0492041
a75	0.129736	0.166043	0.176204	0.169031	0.103876	0.0652774	0.0399368	0.0259041	0.0201224	0.0198698	0.029253	0.0547473
a43	0.246828	0.221129	0.190542	0.160457	0.100221	0.0365336	0.0160025	0.00805056	0.00478678	0.00455263	0.00526827	0.00562962
a75	0.193433	0.216185	0.189042	0.175435	0.13057	0.0577303	0.0228028	0.00677208	0.00262909	0.00174176	0.0017081	0.00195043
a70	0.161481	0.24654	0.200833	0.188104	0.125643	0.0432175	0.0166116	0.00620718	0.00319914	0.00267129	0.00266132	0.00283149
a93	0.145366	0.248078	0.166731	0.182251	0.125859	0.0648953	0.0355908	0.0147736	0.00619012	0.00365188	0.00315972	0.00345315
a75	0.0878781	0.13635	0.129081	0.175589	0.16485	0.117622	0.077474	0.0470078	0.0244483	0.0153632	0.0124482	0.0118892
a25	0.134551	0.160813	0.137273	0.165568	0.147066	0.0961426	0.065672	0.0359036	0.02028	0.0145446	0.0115146	0.0106725
a90	0.115587	0.107239	0.109288	0.145831	0.157428	0.12184	0.0997869	0.0555055	0.0323869	0.0211688	0.0171233	0.0168152
a38	0.0878699	0.0727231	0.0810307	0.117978	0.145543	0.15144	0.132859	0.0849183	0.049141	0.0307955	0.0234558	0.0222452
a75	0.0904417	0.0620193	0.0668037	0.0796016	0.0977523	0.136465	0.141232	0.127147	0.0798676	0.048598	0.0358935	0.0341791
a66	0.102269	0.0773903	0.0645586	0.0755421	0.0912695	0.113498	0.112603	0.0965984	0.0692928	0.0643744	0.0672597	0.0653442
a0	0.0593641	0.0396511	0.0395067	0.0487791	0.0593718	0.0891588	0.119121	0.169127	0.138412	0.0967057	0.0665548	0.0742472
a56	0.0452039	0.0288931	0.0294859	0.0336202	0.040976	0.0653919	0.0895738	0.159745	0.159479	0.14982	0.0988486	0.0989626
a34	0.0401627	0.0227339	0.0219095	0.0237123	0.0286045	0.0481224	0.0724769	0.145457	0.162252	0.19298	0.13667	0.104919
a56	0.0210631	0.0124018	0.0119822	0.0133738	0.016518	0.0287047	0.045674	0.110698	0.146094	0.227754	0.207085	0.158652
a13	0.0183806	0.0112859	0.0104809	0.0116685	0.0142184	0.0235355	0.0371028	0.0992381	0.131656	0.217844	0.237133	0.187457
a9	0.00397385	0.00246215	0.00260482	0.00295712	0.00379675	0.00753289	0.0129331	0.0531523	0.100835	0.21703	0.281863	0.310859
a38	0.00228207	0.00140078	0.00135452	0.00151796	0.00197397	0.0032953	0.00515764	0.019715	0.0467176	0.133278	0.306269	0.477037
a75	0.00126956	0.000945854	0.000864784	0.000921217	0.00104564	0.0017671	0.0024185	0.00959572	0.0281007	0.108545	0.332025	0.512501
a96	0.00611003	0.0038313	0.00324577	0.00352696	0.00398877	0.00590651	0.00771392	0.024569	0.0479258	0.129513	0.273961	0.489708
a83	0.000888266	0.000504218	0.000420568	0.000442207	0.000595771	0.00115558	0.00155407	0.00658942	0.0182035	0.082038	0.317362	0.570247
a61	0.000311968	0.000171209	0.000145897	0.000140317	0.000172645	0.00039551	0.00060415	0.00333813	0.0117217	0.0610582	0.281885	0.640055
a66	0.00042256	0.000230393	0.000192759	0.000190791	0.000272438	0.000574925	0.000911553	0.00446024	0.0133949	0.0628461	0.285561	0.630942
a90	0.000657611	0.000419707	0.000448837	0.00044593	0.000395989	0.000893324	0.00123776	0.00626188	0.0202758	0.080908	0.2771	0.610955
a92	0.000243441	0.000146451	0.000109465	0.000112618	0.000164964	0.000360158	0.000612699	0.00352031	0.0123012	0.0618765	0.265857	0.654695
a11	0.001105	0.000823257	0.000639477	0.000656754	0.000884519	0.00171757	0.00238568	0.00803155	0.0196342	0.0699414	0.259434	0.634747
a75	0.000278285	0.000171764	0.000171112	0.000170524	0.000167076	0.000452426	0.000607148	0.00269342	0.00895351	0.0483053	0.246427	0.691602
a47	0.000650059	0.000437462	0.000324016	0.000298635	0.000390215	0.000796975	0.00116471	0.00453217	0.0132681	0.0592362	0.256012	0.662889
a7	0.000352166	0.000329111	0.000251726	0.000284934	0.000385299	0.000819303	0.00116014	0.00509988	0.0147472	0.0698406	0.289254	0.617475
a57	0.000253517	0.000236526	0.000302944	0.000369335	0.00033979	0.000695525	0.000826	0.0033196	0.0119744	0.0712581	0.274187	0.636237
a87	0.0117743	0.00746305	0.00763861	0.00722332	0.00515144	0.00765092	0.00826898	0.0168717	0.0381186	0.108021	0.256386	0.525432
a10	0.0980149	0.0626579	0.0515189	0.0471565	0.03041	0.0337276	0.0373961	0.0686108	0.0885193	0.123121	0.159737	0.199131
a9	0.136933	0.131196	0.096276	0.0744108	0.0391136	0.0307642	0.0281465	0.0403875	0.0463357	0.0776467	0.132183	0.166607
</S>	0.103413	0.104789	0.0699051	0.0619701	0.0347905	0.0378277	0.0355605	0.0415078	0.0430482	0.0671254	0.139458	0.260605
