 	j'	ai	des	irruptions	cutanées	dues	aux	piqûres	des	moucherons	</S>
a66	0.0895063	0.117626	0.168246	0.343429	0.157063	0.0740962	0.0168096	0.0115614	0.0103073	0.00725379	0.00410007
a87	0.466771	0.256461	0.127253	0.109978	0.0155335	0.00493175	0.0027576	0.00282464	0.00386106	0.00556724	0.00406101
a23	0.443535	0.241705	0.130604	0.114026	0.0284259	0.00950755	0.00599303	0.00519662	0.00718512	0.00628894	0.00753214
a18	0.370656	0.239676	0.124536	0.124477	0.0353928	0.0268769	0.015658	0.0167054	0.0170868	0.0152184	0.0137172
a75	0.325926	0.193288	0.116104	0.168947	0.0577373	0.0319438	0.0215952	0.0175061	0.0243503	0.0207272	0.0218753
a6	0.264743	0.170621	0.132874	0.226973	0.0759659	0.0375739	0.0236075	0.00980394	0.0223341	0.0144113	0.0210931
a36	0.14588	0.1225	0.152147	0.362286	0.113404	0.0450376	0.0216226	0.00769926	0.0149353	0.00624766	0.0082401
a5	0.150518	0.118197	0.147588	0.289285	0.132885	0.0663801	0.0324272	0.0177692	0.0229675	0.0102371	0.0117458
a75	0.127755	0.096173	0.131837	0.294081	0.143797	0.0846767	0.044372	0.0253279	0.0301523	0.0115267	0.0103013
a12	0.0918076	0.0937189	0.150151	0.265168	0.139006	0.0902099	0.0546983	0.0331946	0.0437781	0.019351	0.0189163
a62	0.113088	0.0950666	0.141933	0.243852	0.164819	0.103345	0.048481	0.0306702	0.0332027	0.0142677	0.0112742
a0	0.0608868	0.0786464	0.14242	0.225283	0.183467	0.124849	0.0572802	0.0407434	0.0464438	0.023547	0.0164334
a62	0.0304165	0.0557735	0.113685	0.172499	0.17239	0.164423	0.0779898	0.0578982	0.0736465	0.0453202	0.035958
a34	0.0173813	0.0391988	0.0970876	0.153637	0.166823	0.186409	0.0916625	0.0685751	0.0818206	0.0547336	0.0426708
a75	0.0137225	0.0288756	0.0816469	0.168076	0.181641	0.17052	0.0869593	0.0694344	0.0844506	0.0624456	0.0522287
a92	0.00644373	0.0127698	0.0415598	0.109753	0.118203	0.108728	0.0823032	0.0815721	0.131812	0.130891	0.175964
a79	0.00762139	0.014128	0.043001	0.0990142	0.121604	0.133375	0.0857655	0.0814804	0.113657	0.119869	0.180485
a56	0.00981819	0.0184674	0.0447391	0.0845194	0.103794	0.128182	0.0857431	0.0830579	0.115333	0.120699	0.205647
a96	0.0111949	0.0197335	0.0460632	0.114479	0.141448	0.147477	0.0926696	0.0884644	0.102523	0.0943802	0.141566
a47	0.00583126	0.0107804	0.0255902	0.0621786	0.0929365	0.146773	0.11626	0.108083	0.121049	0.116414	0.194103
a61	0.00379847	0.00716164	0.0167431	0.0357564	0.0591688	0.135624	0.101224	0.100786	0.115548	0.130469	0.293722
a75	0.00220772	0.00446183	0.0136495	0.0372391	0.0595958	0.141975	0.11704	0.110159	0.127043	0.136799	0.249831
a92	0.000713314	0.00118551	0.00277373	0.00639778	0.0131035	0.051479	0.0883948	0.108153	0.130059	0.163617	0.434123
a37	0.000735193	0.00118408	0.0023424	0.00489426	0.00910382	0.0425521	0.0831674	0.113992	0.140799	0.170015	0.431215
a92	0.000752536	0.00110623	0.00224914	0.00438063	0.00723091	0.0377586	0.0717311	0.110204	0.140097	0.189162	0.435328
a54	0.000312955	0.000465554	0.000909866	0.0018927	0.00346735	0.0276741	0.0770088	0.11433	0.155255	0.193015	0.425668
a79	9.73622e-05	0.000148354	0.000358571	0.000561796	0.00114855	0.0160839	0.0615273	0.105392	0.153113	0.209432	0.452138
a7	0.00018597	0.000249553	0.000444053	0.000665623	0.00130875	0.0158799	0.0576811	0.0988204	0.14901	0.199912	0.475843
a13	0.0001323	0.000126652	0.000199446	0.00032965	0.000470157	0.00513746	0.0267574	0.0654707	0.121436	0.211913	0.568027
a9	0.00036396	0.000254866	0.000338914	0.00049129	0.000554173	0.00501486	0.0308359	0.0942594	0.17122	0.307465	0.389202
a13	0.00200016	0.00122402	0.00151245	0.00299721	0.00481415	0.0191799	0.0617851	0.147214	0.219023	0.323548	0.216703
a99	0.00097614	0.000672732	0.00104102	0.00169504	0.00280518	0.0145859	0.0561899	0.112165	0.208978	0.319091	0.281801
a13	0.00194772	0.00101616	0.00125995	0.00187911	0.00361613	0.0211568	0.0634918	0.131631	0.201532	0.295402	0.277067
a99	0.000586282	0.000352347	0.000488719	0.000652442	0.00139243	0.00991918	0.0519198	0.104399	0.196564	0.284254	0.349471
a97	0.00220609	0.00106589	0.0012535	0.00198622	0.00439407	0.0251029	0.0736219	0.145385	0.215218	0.27205	0.257716
a99	0.0193751	0.00707774	0.00511825	0.00718562	0.017986	0.0586678	0.10976	0.179659	0.208428	0.208397	0.178346
a87	0.0241672	0.00960764	0.00681511	0.0084687	0.0186025	0.0499941	0.0864762	0.140397	0.205878	0.232444	0.21715
a23	0.0481025	0.0228021	0.0167366	0.0229506	0.0400252	0.079326	0.0888284	0.145485	0.173379	0.183188	0.179178
a97	0.0220051	0.0098691	0.00696374	0.00723771	0.01089	0.0255419	0.0784658	0.111865	0.204092	0.20229	0.32078
a87	0.00760891	0.00414953	0.00439361	0.00768421	0.0117542	0.0234289	0.0686829	0.101223	0.203225	0.236579	0.33127
a23	0.0317811	0.0164305	0.0132769	0.0184169	0.0213205	0.0304109	0.0529494	0.0863982	0.148619	0.198307	0.38209
</S>	0.0176482	0.00956543	0.00745136	0.00751205	0.00905712	0.0179524	0.0633565	0.109031	0.186218	0.209667	0.36254
