 	celui	qui	a	exigé	ta	présence	en	ce	lieu	c'	est	ngakosso	</S>
a66	0.140689	0.0990849	0.0934344	0.111045	0.154314	0.198702	0.0981669	0.0439794	0.0205604	0.0158434	0.0105454	0.00717604	0.00645853
a87	0.238916	0.145871	0.113864	0.103865	0.10794	0.119066	0.0663664	0.0382028	0.0237889	0.0155579	0.00883031	0.00829632	0.00943568
a23	0.312771	0.208511	0.141252	0.113897	0.0820962	0.0473975	0.0217993	0.0140617	0.0127978	0.0108372	0.0103584	0.0112483	0.0129732
a87	0.265766	0.229273	0.158187	0.115516	0.0781654	0.0435596	0.0197832	0.00858155	0.00668585	0.00652704	0.0108314	0.0246833	0.0324412
a23	0.234463	0.203857	0.158412	0.119368	0.0895837	0.0656345	0.03821	0.0163918	0.00841463	0.00811927	0.0109765	0.0213282	0.0252411
a30	0.212177	0.196112	0.147266	0.119579	0.0959386	0.06967	0.0345695	0.0161197	0.0116822	0.0126237	0.0192566	0.031697	0.0333088
a93	0.181432	0.188149	0.142804	0.118544	0.1192	0.106215	0.0545211	0.0299923	0.0142042	0.0103455	0.0102847	0.0114918	0.0128172
a34	0.0950404	0.148198	0.157343	0.138166	0.135951	0.144438	0.082501	0.0363227	0.0194942	0.0140574	0.0126856	0.00801178	0.00779082
a62	0.0596411	0.0954745	0.119672	0.114204	0.132473	0.174848	0.135731	0.0713845	0.0384509	0.0259481	0.0177032	0.00799294	0.00647683
a61	0.0385961	0.0588292	0.0813359	0.0875558	0.113474	0.157006	0.179456	0.117786	0.0693312	0.0490374	0.0293025	0.0108012	0.00748742
a62	0.0397628	0.0507085	0.0697876	0.0747461	0.097978	0.120761	0.155252	0.132399	0.103298	0.0821276	0.0449237	0.0165745	0.0116824
a47	0.0516527	0.0468893	0.0652109	0.0725709	0.0945734	0.107264	0.13412	0.121318	0.118574	0.101619	0.0536942	0.0186814	0.0138326
a34	0.0532161	0.0407431	0.0569159	0.0639907	0.0928824	0.0949885	0.10604	0.104411	0.114311	0.127805	0.0809656	0.0359753	0.0277557
a21	0.0351696	0.0253264	0.0377405	0.0432724	0.0686324	0.0633528	0.0776358	0.0813999	0.121247	0.165223	0.138101	0.0800452	0.0628538
a47	0.0208365	0.0144426	0.0195167	0.0238292	0.0345238	0.0313104	0.0427925	0.0750142	0.15288	0.212635	0.189939	0.105858	0.0764226
a96	0.0270961	0.0199269	0.0197633	0.0135652	0.0149206	0.0138034	0.0201424	0.0372563	0.0576554	0.120648	0.168032	0.21025	0.276941
a75	0.0120487	0.00869962	0.00923724	0.00781849	0.0095379	0.0100849	0.0144804	0.0351392	0.0594306	0.103961	0.155816	0.210482	0.363265
a6	0.00181797	0.00118923	0.00105067	0.000926911	0.000874858	0.000793271	0.00191442	0.0100227	0.0297033	0.0908561	0.193478	0.27146	0.395912
a7	0.00165132	0.000915852	0.00082692	0.000623244	0.000469078	0.000326305	0.00066609	0.00398144	0.0129086	0.0452823	0.128033	0.251005	0.553311
a44	0.00248443	0.0011394	0.000773094	0.000525693	0.000428689	0.000321898	0.000507908	0.00260782	0.00906352	0.0269349	0.0832213	0.228881	0.64311
a11	0.00440421	0.0024453	0.00156933	0.0012545	0.000945652	0.000866985	0.00132603	0.00354937	0.0104008	0.0375449	0.0844227	0.230341	0.620929
a24	0.0292444	0.0172638	0.0117075	0.00899974	0.00616911	0.00498161	0.00652932	0.0107478	0.0231954	0.0631433	0.10143	0.204755	0.511832
a9	0.0200574	0.012154	0.00866794	0.00679774	0.00517051	0.00497803	0.00676644	0.0131259	0.0310965	0.0829505	0.137328	0.222399	0.448507
a10	0.162956	0.0859351	0.048315	0.0370935	0.0282298	0.0223074	0.0210239	0.0229142	0.0364542	0.0755934	0.0959142	0.119468	0.243796
a87	0.293869	0.14858	0.0912087	0.0767247	0.0658397	0.0391212	0.026876	0.0227245	0.0295732	0.0449459	0.0467212	0.0484583	0.0653571
a23	0.223887	0.151112	0.104633	0.0929218	0.0839024	0.0552015	0.0333412	0.0293072	0.0414479	0.0527125	0.0480178	0.0387957	0.0447192
a87	0.143102	0.0935176	0.0616849	0.0434837	0.0335792	0.0203629	0.0156247	0.0179499	0.0263394	0.0420437	0.073902	0.153477	0.274933
</S>	0.0135673	0.00774701	0.00522124	0.00328698	0.00291493	0.00275321	0.00512829	0.0131777	0.0340204	0.0646439	0.126182	0.258802	0.462555
