 	j'	en	ai	marre	du	mauvais	comportement	de	cet	enfant	</S>
a66	0.232131	0.117321	0.0866908	0.0887543	0.10499	0.116516	0.123584	0.0757354	0.0305296	0.0141447	0.0096018
a87	0.216499	0.116044	0.092059	0.0671358	0.0822766	0.0997623	0.121226	0.0839482	0.0442257	0.0342513	0.0425725
a23	0.214535	0.163258	0.119132	0.0936685	0.0833007	0.0920202	0.0692106	0.0524125	0.0362489	0.0357148	0.040499
a62	0.170783	0.140851	0.133252	0.142256	0.127664	0.134466	0.063015	0.0303718	0.0186014	0.0179437	0.0207962
a96	0.272415	0.175619	0.11636	0.109107	0.092517	0.0907536	0.0625573	0.0345492	0.01861	0.0150125	0.0124998
a62	0.157395	0.185559	0.159474	0.146216	0.113761	0.10885	0.0548735	0.0287283	0.017532	0.0140814	0.0135292
a0	0.153343	0.191334	0.162782	0.139546	0.121093	0.119765	0.0557763	0.022384	0.0128415	0.0102555	0.01088
a75	0.10544	0.14501	0.14227	0.134948	0.113571	0.116683	0.0750012	0.0496637	0.0373596	0.0345065	0.0455475
a25	0.111025	0.127713	0.116503	0.108581	0.145972	0.176707	0.111271	0.0409729	0.0221845	0.0173658	0.0217042
a85	0.103629	0.12128	0.126369	0.119734	0.139705	0.154893	0.0996932	0.0420887	0.0281158	0.026403	0.0380895
a98	0.0681149	0.0864102	0.123738	0.140276	0.158696	0.164753	0.124276	0.0525923	0.0291301	0.0231057	0.0289084
a47	0.0453309	0.0594032	0.104449	0.132001	0.149221	0.149936	0.138473	0.0707889	0.0497268	0.0442062	0.0564643
a98	0.041946	0.0492488	0.0975905	0.124277	0.127902	0.115714	0.100935	0.0520389	0.0573508	0.082802	0.150195
a92	0.0351447	0.0381449	0.0785883	0.101905	0.106431	0.0962662	0.0911489	0.0551023	0.0678345	0.109171	0.220264
a44	0.0319714	0.0328109	0.0692381	0.0968751	0.11906	0.12671	0.132949	0.0877375	0.0786073	0.0880174	0.136022
a56	0.0267013	0.0262492	0.0532668	0.0762925	0.0991447	0.1103	0.132223	0.104728	0.100781	0.106869	0.163445
a47	0.0195132	0.0191121	0.036405	0.0502519	0.0683785	0.0868544	0.114789	0.122602	0.137485	0.142096	0.202512
a96	0.0171826	0.014982	0.0252036	0.0273035	0.034662	0.0395911	0.0623047	0.096804	0.154688	0.20463	0.322648
a62	0.006263	0.00533979	0.00788583	0.00854158	0.0111303	0.0133914	0.0250464	0.0595345	0.161648	0.276694	0.424525
a88	0.00242793	0.00218741	0.00311686	0.00316443	0.00428698	0.00469875	0.00868138	0.0280998	0.120156	0.292144	0.531037
a62	0.00149623	0.00130947	0.001922	0.00194146	0.00266592	0.00301098	0.00683778	0.025791	0.109487	0.278797	0.566741
a83	0.00143672	0.00132382	0.00191135	0.00186899	0.0024367	0.00249155	0.00502633	0.0204829	0.101339	0.288449	0.573234
a9	0.000446266	0.000314739	0.000440772	0.000518992	0.000868562	0.00106322	0.00382758	0.0192239	0.0991539	0.283454	0.590688
a99	0.00868752	0.00504841	0.00439281	0.00406809	0.00391223	0.0033144	0.00975875	0.0244425	0.0926799	0.291268	0.552427
a87	0.0555965	0.0292221	0.0212161	0.0166012	0.0194688	0.0235774	0.051795	0.0736489	0.117439	0.217445	0.373989
a97	0.134869	0.0753485	0.0524228	0.0394426	0.0506613	0.0570071	0.0781972	0.097458	0.112955	0.145495	0.156144
a87	0.110082	0.0619127	0.0476554	0.0418963	0.0534311	0.0638084	0.0984859	0.124821	0.131605	0.136117	0.130185
a23	0.10258	0.0633595	0.0409976	0.0299559	0.0334617	0.0428685	0.0692809	0.104104	0.135349	0.16444	0.213603
a87	0.0259951	0.0173688	0.0138804	0.0089768	0.0103069	0.0164299	0.0319581	0.0688626	0.130742	0.238996	0.436483
a97	0.0319488	0.023862	0.0175251	0.0101	0.0121866	0.0209782	0.0381793	0.0770314	0.117245	0.203855	0.447089
</S>	0.0833166	0.0627437	0.0500603	0.0343052	0.0426179	0.0615532	0.074361	0.0832642	0.0884125	0.135754	0.283611
