 	la	femme	est	en	train	de	cueillir	le	koko	</S>
a66	0.24915	0.179239	0.144482	0.12278	0.101992	0.0799281	0.0513361	0.0348841	0.0213223	0.0148875
a87	0.236643	0.167695	0.129044	0.0975817	0.0853138	0.0722789	0.0546622	0.0513758	0.0493224	0.0560832
a10	0.279101	0.165021	0.1192	0.0814522	0.0755488	0.0694758	0.0680423	0.0701048	0.0434804	0.0285746
a87	0.261491	0.154563	0.121846	0.0934072	0.0882432	0.0843233	0.0763659	0.0601987	0.0358979	0.0236641
a97	0.198596	0.131511	0.115468	0.100559	0.105143	0.11146	0.102179	0.0739356	0.0384191	0.022729
a30	0.162647	0.124388	0.115753	0.111399	0.114124	0.117339	0.106357	0.080724	0.042933	0.0243369
a4	0.179953	0.12492	0.105508	0.0929755	0.101991	0.120756	0.121593	0.0908138	0.0411692	0.0203211
a70	0.195241	0.176955	0.148897	0.131223	0.0956249	0.0652117	0.0611311	0.0606603	0.0389704	0.0260855
a34	0.23404	0.184415	0.140827	0.112494	0.0799028	0.0522627	0.0502112	0.0597195	0.0464671	0.0396599
a70	0.215895	0.17135	0.129741	0.0989009	0.0734194	0.0534955	0.0543409	0.0733374	0.0668114	0.0627078
a93	0.163752	0.123118	0.100885	0.0847427	0.0769507	0.0689014	0.0724647	0.0972229	0.104782	0.107181
a90	0.137498	0.102271	0.0825889	0.07114	0.0708846	0.0695016	0.0767908	0.11392	0.133991	0.141414
a98	0.0866826	0.0754032	0.0727658	0.0746876	0.0862796	0.0921823	0.0972323	0.132836	0.141863	0.140067
a79	0.113561	0.104468	0.0990081	0.0948242	0.0976647	0.0917129	0.0850931	0.1095	0.103939	0.10023
a44	0.0573162	0.0635081	0.0765728	0.0939847	0.12065	0.115482	0.104496	0.132824	0.124531	0.110635
a93	0.0352422	0.0353687	0.0445345	0.0588001	0.0932491	0.105429	0.116348	0.175258	0.1768	0.158971
a90	0.0239088	0.023893	0.0317512	0.0451022	0.077389	0.0999553	0.12315	0.19481	0.197763	0.182277
a75	0.0245531	0.0246896	0.0342607	0.0491601	0.0890888	0.119553	0.139278	0.187321	0.175353	0.156742
a98	0.0113623	0.0110249	0.0153602	0.0232875	0.045738	0.078508	0.129814	0.216089	0.239276	0.22954
a79	0.0121513	0.0127154	0.0179999	0.0260071	0.0470437	0.0756564	0.125228	0.20897	0.234359	0.239869
a7	0.00757547	0.0076881	0.0110291	0.0163252	0.034937	0.0606046	0.109073	0.21762	0.259943	0.275204
a44	0.00188144	0.00154272	0.00192021	0.00251674	0.00697315	0.0169921	0.0549199	0.179927	0.298557	0.43477
a13	0.00323478	0.00274857	0.00314001	0.00392519	0.00870179	0.0160813	0.0458979	0.149095	0.295938	0.471238
a9	0.00218448	0.00189054	0.00228824	0.00287257	0.00763899	0.0178713	0.0503676	0.136772	0.276804	0.50131
a99	0.0864571	0.0474666	0.0409749	0.0410392	0.0676342	0.115593	0.144154	0.164161	0.146559	0.145961
a97	0.0781961	0.043848	0.0383101	0.034199	0.0484035	0.0799568	0.11714	0.185042	0.189672	0.185232
a99	0.0429088	0.0262438	0.0225411	0.0202345	0.0325063	0.0577687	0.108557	0.218022	0.249732	0.221486
a97	0.0196184	0.0127724	0.0121689	0.0111439	0.0175526	0.0308958	0.0827579	0.243848	0.289749	0.279493
a87	0.0176139	0.0147623	0.0185762	0.0207666	0.0330035	0.0566034	0.110297	0.225037	0.24581	0.257531
a97	0.021514	0.0173197	0.021116	0.0235611	0.0385372	0.0625114	0.10621	0.203622	0.237052	0.268557
a3	0.0366619	0.0310549	0.0381842	0.0410118	0.0601374	0.0832515	0.11743	0.185613	0.193426	0.21323
</S>	0.054353	0.0484765	0.0544629	0.0500981	0.06007	0.0716591	0.0983279	0.1649	0.175452	0.2222
