 	ondongo	est	en	train	de	diviser	le	bambou	</S>
a79	0.20535	0.163078	0.136666	0.116114	0.130715	0.0955659	0.0677745	0.043785	0.0409518
a4	0.244148	0.22428	0.153552	0.0816307	0.0575688	0.0383448	0.0644215	0.0612689	0.0747856
a90	0.400819	0.249196	0.140973	0.0854742	0.049649	0.0242006	0.024413	0.0129645	0.0123116
a94	0.287996	0.216088	0.152849	0.126658	0.0986073	0.0507326	0.0387241	0.0155846	0.0127605
a90	0.254865	0.202105	0.15228	0.135506	0.111648	0.0602746	0.0426973	0.0204255	0.0201984
a53	0.146121	0.125803	0.125761	0.135469	0.146144	0.121475	0.093803	0.0527121	0.0527121
a90	0.123782	0.112012	0.119876	0.133168	0.142727	0.12129	0.101108	0.069361	0.0766744
a15	0.10474	0.0980088	0.106804	0.12501	0.128424	0.13539	0.12318	0.0844081	0.0940363
a73	0.111404	0.111279	0.114422	0.124604	0.114037	0.12598	0.112349	0.0838322	0.102093
a26	0.101301	0.104915	0.118974	0.124488	0.122591	0.141303	0.111742	0.0837475	0.0909388
a53	0.0914552	0.101691	0.112732	0.0944205	0.0941072	0.132017	0.122585	0.116242	0.134749
a90	0.0558758	0.0603844	0.0775111	0.0875094	0.100807	0.15871	0.160325	0.122804	0.176074
a98	0.0430385	0.0484168	0.0653193	0.0763242	0.0923014	0.160397	0.175483	0.145123	0.193596
a73	0.0530611	0.0581628	0.0692531	0.0718638	0.0809842	0.140154	0.158233	0.1599	0.208387
a37	0.0566943	0.0574851	0.0692181	0.0709103	0.0776042	0.162826	0.157179	0.145524	0.202559
a44	0.0531993	0.0453344	0.0479182	0.0426305	0.046564	0.137459	0.171659	0.181586	0.27365
a98	0.0417472	0.0347728	0.0354618	0.0327013	0.0352641	0.120042	0.176895	0.203128	0.319987
a73	0.0475392	0.0395388	0.0376177	0.0343828	0.0334248	0.101608	0.148298	0.212773	0.344818
a2	0.0632004	0.0423749	0.0315553	0.0250774	0.0204766	0.0719582	0.131821	0.221039	0.392497
a57	0.0169791	0.0112724	0.00787957	0.00508392	0.00332717	0.0127517	0.0592286	0.249821	0.633656
a87	0.0349166	0.0250709	0.0204603	0.0146044	0.00854638	0.017794	0.0663325	0.241048	0.571227
a23	0.0351359	0.0250089	0.0225318	0.0242018	0.0199166	0.0486254	0.125037	0.252131	0.447411
a87	0.0201838	0.0153384	0.0140489	0.021806	0.020115	0.05757	0.129018	0.234937	0.486983
a23	0.0219683	0.0152155	0.01549	0.0228851	0.0219562	0.071027	0.129069	0.223681	0.478708
a87	0.0403767	0.0297006	0.0255693	0.0339218	0.0294221	0.0578005	0.102594	0.214128	0.466487
</S>	0.0461917	0.0314633	0.0269356	0.0320019	0.0293111	0.0552856	0.106575	0.191669	0.480566
