 	cet	enfant	a	grandi	</S>
a66	0.597625	0.187704	0.109443	0.0643754	0.0408517
a87	0.522826	0.230817	0.131322	0.0697494	0.0452862
a23	0.638422	0.240245	0.062554	0.032585	0.0261937
a53	0.587635	0.202201	0.0720919	0.0691221	0.0689497
a15	0.734647	0.145379	0.0609126	0.0368552	0.0222059
a47	0.299204	0.311106	0.262033	0.0892789	0.0383779
a92	0.142626	0.243864	0.332498	0.168029	0.112983
a25	0.131857	0.216352	0.280231	0.210775	0.160784
a90	0.111397	0.218935	0.267862	0.231165	0.170641
a25	0.079579	0.116063	0.192911	0.27911	0.332337
a92	0.0441881	0.079144	0.161856	0.307428	0.407384
a56	0.0442659	0.0716184	0.147403	0.310338	0.426375
a43	0.0300097	0.0465706	0.104134	0.29618	0.523105
a0	0.00945601	0.0143474	0.0366199	0.185529	0.754048
a90	0.00739017	0.0119819	0.035276	0.184949	0.760403
a15	0.012692	0.0204744	0.0436619	0.206792	0.71638
a7	0.00482233	0.0086472	0.0213748	0.129168	0.835987
a84	0.0165193	0.0259087	0.0538354	0.159744	0.743993
a87	0.145613	0.130858	0.168248	0.2249	0.33038
a23	0.535011	0.201531	0.109981	0.0756581	0.0778186
a87	0.434599	0.181375	0.100544	0.0989607	0.184522
a10	0.0673453	0.057919	0.0765995	0.159507	0.638629
</S>	0.161441	0.116564	0.101791	0.159677	0.460526
