 	il	est	bête	</S>
a23	0.673047	0.210038	0.0592605	0.0576544
a87	0.58511	0.250835	0.0921606	0.0718947
a23	0.360134	0.327074	0.176084	0.136708
a20	0.238125	0.210278	0.227951	0.323646
a73	0.416827	0.266028	0.222806	0.0943402
a44	0.423648	0.412424	0.134099	0.0298291
a26	0.381829	0.398296	0.169143	0.050732
a24	0.408733	0.38382	0.148759	0.0586876
a35	0.330305	0.334728	0.206403	0.128564
a53	0.242647	0.299126	0.265812	0.192415
a90	0.26886	0.305712	0.255484	0.169945
a13	0.200765	0.218947	0.300781	0.279507
a24	0.0922259	0.109627	0.323904	0.474244
a18	0.032091	0.0541592	0.24821	0.66554
a94	0.0224677	0.0372069	0.198574	0.741751
a96	0.011422	0.0198423	0.153352	0.815384
a24	0.0085312	0.0195086	0.16357	0.80839
a83	0.0111865	0.0242031	0.178	0.78661
a9	0.0122399	0.0262203	0.175088	0.786452
a87	0.0197821	0.0346011	0.147982	0.797635
</S>	0.0435304	0.0688563	0.179817	0.707797
