 	cette	fille	baise	bien	</S>
a23	0.337749	0.327016	0.182922	0.0695776	0.0827356
a87	0.461605	0.304657	0.147101	0.0428624	0.0437747
a23	0.424564	0.305965	0.134126	0.0637087	0.071636
a53	0.462655	0.262611	0.0812011	0.0750134	0.11852
a54	0.559751	0.232031	0.0902832	0.0575184	0.0604161
a37	0.455514	0.301417	0.126971	0.0630768	0.0530216
a56	0.368626	0.38926	0.157178	0.0447713	0.0401651
a34	0.321262	0.376256	0.225088	0.0439165	0.0334773
a61	0.281508	0.350155	0.270807	0.052298	0.0452323
a34	0.293062	0.363909	0.266571	0.04216	0.0342988
a93	0.308787	0.323295	0.273789	0.0527425	0.0413856
a90	0.282885	0.344475	0.259192	0.0685089	0.0449392
a92	0.212707	0.313631	0.285403	0.108165	0.0800943
a85	0.157349	0.240044	0.25547	0.185027	0.162111
a37	0.0756267	0.117232	0.226072	0.310252	0.270817
a62	0.102699	0.165064	0.235521	0.30295	0.193765
a75	0.0439174	0.0588479	0.173376	0.433741	0.290118
a25	0.0311556	0.0455538	0.129256	0.393762	0.400273
a44	0.0157379	0.0215338	0.0797693	0.416467	0.466492
a75	0.0116057	0.0171723	0.0604321	0.354989	0.555801
a25	0.0260742	0.0348381	0.0908294	0.335845	0.512414
a56	0.0208452	0.0239884	0.0566903	0.312333	0.586143
a34	0.00819589	0.0100865	0.0448453	0.313312	0.62356
a75	0.00465504	0.00532224	0.0204633	0.238188	0.731371
a96	0.00719231	0.00903444	0.031251	0.248919	0.703603
a83	0.00155348	0.00189303	0.00773547	0.171075	0.817743
a47	0.00163184	0.00187213	0.00827676	0.166498	0.821721
a0	0.00169935	0.00208735	0.00922473	0.198745	0.788243
a93	0.0169977	0.01596	0.0324875	0.207711	0.726843
a99	0.00253204	0.0029935	0.0135437	0.19242	0.788511
a47	0.00718153	0.0070267	0.0229265	0.19159	0.771275
a83	0.00236186	0.00271415	0.0123375	0.169258	0.813328
a9	0.00589322	0.00698483	0.019721	0.191348	0.776053
a10	0.0451773	0.0301869	0.0571132	0.228574	0.638949
a87	0.20153	0.102665	0.0881676	0.201103	0.406534
a23	0.237145	0.133692	0.087967	0.195784	0.345412
a87	0.0715769	0.0408488	0.0511076	0.268176	0.568291
</S>	0.0250513	0.0185862	0.0412303	0.251304	0.663828
