 	il	est	venu	me	demander	du	sel	</S>
a66	0.266371	0.254996	0.213849	0.143997	0.0571058	0.0337299	0.0163582	0.0135942
a87	0.322567	0.283553	0.171436	0.110392	0.0711233	0.0236544	0.00859427	0.00868028
a23	0.327018	0.295063	0.204496	0.129807	0.0272558	0.00708585	0.00427602	0.0049981
a53	0.270334	0.284024	0.197163	0.132753	0.067706	0.0181845	0.0110334	0.0188019
a15	0.222967	0.268966	0.201301	0.162315	0.075319	0.0357873	0.0177297	0.0156145
a5	0.0718688	0.121812	0.187147	0.32354	0.209848	0.0495061	0.0200527	0.0162251
a12	0.0986925	0.137445	0.16692	0.284799	0.253454	0.038542	0.0117638	0.00838388
a75	0.1234	0.18175	0.171391	0.238678	0.219643	0.0399017	0.0143576	0.0108782
a25	0.0794477	0.137433	0.134944	0.210836	0.255665	0.0853765	0.0556136	0.0406836
a92	0.0482586	0.0689341	0.095682	0.173607	0.231686	0.182396	0.121214	0.0782226
a75	0.0687252	0.0773696	0.0867097	0.0949989	0.162355	0.21452	0.173439	0.121882
a85	0.0452605	0.0509459	0.0567644	0.0657394	0.167065	0.250687	0.207541	0.155996
a92	0.0326116	0.0353804	0.0406037	0.0448442	0.133605	0.259541	0.252043	0.201371
a37	0.0187111	0.0171335	0.0223883	0.0271428	0.0951387	0.243024	0.304332	0.272129
a76	0.0220696	0.0141205	0.0161643	0.020452	0.0606824	0.18347	0.310331	0.37271
a69	0.00256382	0.00161433	0.00199017	0.00335701	0.018924	0.119465	0.317352	0.534733
a58	0.00207881	0.00100413	0.00111663	0.00162238	0.00976822	0.0837035	0.298751	0.601956
a98	0.0043205	0.00150991	0.00116481	0.00108221	0.00446972	0.0588492	0.270222	0.658381
a92	0.00117174	0.000458504	0.000424093	0.000646165	0.00392183	0.0487513	0.263007	0.681619
a37	0.000574032	0.000266816	0.000307727	0.000417979	0.00251232	0.0333873	0.237295	0.725239
a54	0.00302677	0.00111073	0.00102695	0.00139065	0.00719359	0.0672606	0.270456	0.648535
a36	0.00270169	0.00112755	0.00129342	0.00265704	0.0111194	0.0647283	0.245532	0.67084
a2	0.015746	0.00793275	0.00787186	0.0106706	0.0237753	0.110712	0.266424	0.556868
a57	0.131403	0.089521	0.0813873	0.0595152	0.0588623	0.11136	0.195913	0.272038
a87	0.378543	0.267061	0.180472	0.0853849	0.0280059	0.0191682	0.0205276	0.0208372
a23	0.341923	0.241074	0.188074	0.125491	0.0453809	0.0187971	0.0201421	0.0191175
a87	0.23613	0.101243	0.0714357	0.0460143	0.0643256	0.0708556	0.165634	0.244362
a23	0.0477464	0.0196518	0.0130101	0.0101751	0.0150804	0.0637421	0.265257	0.565338
</S>	0.0504716	0.0243892	0.0209495	0.0229532	0.0403936	0.0873381	0.261084	0.49242
