 	il	ne	me	cause	pas	</S>
a66	0.303773	0.229837	0.138163	0.132241	0.105574	0.0904129
a87	0.292524	0.216662	0.140204	0.12329	0.108883	0.118436
a23	0.468976	0.197815	0.0876243	0.0758805	0.0731498	0.0965547
a30	0.386097	0.231596	0.116142	0.0876527	0.0801592	0.0983525
a53	0.332714	0.190183	0.0978921	0.093049	0.113667	0.172496
a15	0.402826	0.300036	0.128229	0.0678989	0.0504027	0.0506067
a6	0.314841	0.29278	0.195106	0.0929357	0.0545995	0.0497372
a5	0.261222	0.251086	0.192287	0.116585	0.0894624	0.0893574
a61	0.273608	0.237181	0.186272	0.114052	0.090541	0.0983456
a24	0.323316	0.23618	0.162235	0.107066	0.0809347	0.090269
a25	0.26878	0.232395	0.182079	0.122785	0.0894199	0.104542
a56	0.155087	0.168065	0.189108	0.167424	0.141795	0.17852
a90	0.144771	0.145715	0.167583	0.186346	0.159037	0.196548
a25	0.0944051	0.102799	0.149701	0.225079	0.209768	0.218248
a56	0.0322161	0.0426706	0.0918925	0.207737	0.277865	0.347619
a90	0.042101	0.0465139	0.0801977	0.191229	0.276082	0.363877
a69	0.0314919	0.0348035	0.0635747	0.173657	0.292818	0.403655
a20	0.011701	0.0119365	0.0242691	0.0927045	0.268949	0.59044
a54	0.00886403	0.00933027	0.0187169	0.0703518	0.253415	0.639322
a47	0.00636733	0.00675737	0.0150107	0.0617359	0.246846	0.663283
a36	0.00361776	0.00429927	0.0117482	0.0572256	0.248532	0.674577
a2	0.0127232	0.0125532	0.0236395	0.0704231	0.229287	0.651374
a57	0.173091	0.131779	0.134393	0.146613	0.174807	0.239317
a87	0.301924	0.176928	0.1212	0.111603	0.121316	0.167029
a23	0.372622	0.206198	0.114691	0.0933037	0.098366	0.114819
a87	0.184327	0.112485	0.081874	0.118186	0.202768	0.300359
</S>	0.023734	0.0203442	0.0339153	0.101505	0.269431	0.551071
